high 1220
medium 1270
low 1220
high 1160
medium 1200
low 850
high 950
medium 970
low 880
high 1070
medium 720
low 920
high 1110
medium 1070
low 910
high 1150
medium 860
low 1260
high 1440
medium 980
low 830
high 1280
medium 800
low 810
high 1020
medium 900
low 820
high 1080
medium 1330
low 1170
high 1120
medium 1140
low 810
high 1210
medium 870
low 1040
high 1030
medium 1010
low 960
high 1020
medium 760
low 920
high 1400
medium 830
low 1260
high 1170
medium 910
low 1060
high 1350
medium 1230
low 1090
high 1070
medium 1110
low 1050
high 1320
medium 970
low 880
high 1200
medium 1090
low 750
high 1070
medium 1300
low 960
high 1240
medium 1090
low 970
