Year,Members,Wards,Stakes,Missions,Missionaries
1830,280,4,0,0,16
1831,680,6,0,0,58
1832,2661,33,0,0,72
1833,3140,40,0,0,41
1834,4372,40,2,0,111
1835,8835,48,2,0,84
1836,13293,54,2,0,80
1837,16282,67,2,1,52
1838,17881,91,2,1,16
1839,16460,86,3,2,67
1840,16865,87,3,2,80
1841,19856,103,2,2,100
1842,23564,225,2,2,45
1843,25980,269,2,2,374
1844,26146,272,2,3,586
1845,30332,311,1,4,84
1846,33993,341,0,5,32
1847,34694,405,1,5,40
1848,40477,481,1,5,55
1849,48160,590,1,5,58
1850,51839,698,1,9,50
1851,52165,777,4,11,44
1852,52640,860,5,13,158
1853,64154,960,5,14,33
1854,68429,938,6,13,119
1855,63974,957,6,14,65
1856,63881,965,7,12,130
1857,55236,819,6,12,88
1858,55755,742,4,9,0
1859,57038,733,4,9,18
1860,61082,721,4,8,96
1861,66211,714,4,7,19
1862,68780,698,4,7,27
1863,71770,667,4,7,50
1864,74348,632,4,8,52
1865,76771,600,4,8,71
1866,77884,587,4,8,32
1867,81124,582,4,8,133
1868,84622,563,5,8,32
1869,88432,570,9,7,250
1870,90130,558,9,7,46
1871,95596,542,9,7,167
1872,98152,553,9,7,132
1873,101538,561,9,7,35
1874,103916,525,10,7,98
1875,107167,524,10,7,197
1876,111111,537,10,8,211
1877,115065,537,20,8,154
1878,125046,526,21,9,152
1879,128386,552,22,10,179
1880,133628,559,23,10,219
1881,140733,576,23,10,199
1882,145604,583,24,10,237
1883,151593,609,27,11,248
1884,158242,636,29,13,205
1885,164130,659,29,12,235
1886,166653,657,30,12,209
1887,173029,686,31,12,282
1888,180294,709,32,13,242
1889,183144,727,32,12,249
1890,188263,725,32,12,283
1891,195445,741,32,12,331
1892,200961,789,33,14,324
1893,214534,807,34,15,317
1894,222369,813,34,15,162
1895,231116,835,37,15,526
1896,241427,837,37,17,746
1897,255736,867,37,18,922
1898,267251,917,40,20,943
1899,271681,918,40,20,1059
1900,283765,967,43,20,796
1901,292931,1019,50,21,522
1902,299105,1076,50,22,848
1903,304901,1089,51,23,658
1904,324289,1094,55,21,699
1905,332048,1141,55,22,716
1906,345014,1177,55,22,1015
1907,357913,1192,55,22,930
1908,371472,1261,59,22,919
1909,377279,1274,60,21,1014
1910,398478,1310,62,21,933
1911,407291,1338,62,21,822
1912,417555,1363,65,22,769
1913,431607,1399,66,22,858
1914,454718,1373,68,21,684
1915,466238,1391,72,21,621
1916,477321,1367,73,22,722
1917,488038,1453,75,22,1
1918,495962,1452,75,22,245
1919,507961,1442,79,23,1211
1920,525987,1527,83,24,889
1921,548803,1598,86,25,880
1922,566358,1607,87,25,886
1923,575896,1659,90,26,812
1924,597861,1685,94,25,867
1925,613572,1705,94,28,1131
1926,623909,1731,96,28,1236
1927,644745,1763,99,28,1017
1928,655686,1817,101,29,1193
1929,663652,1827,104,30,1058
1930,670017,1868,104,30,896
1931,688435,1865,104,31,678
1932,703949,1879,104,31,399
1933,717619,1889,105,31,525
1934,730738,1927,110,31,843
1935,746384,1964,115,32,960
1936,760690,2014,118,33,899
1937,767752,2052,118,35,1079
1938,784764,2084,126,36,1146
