agent,clean
A,2
A,4
A,3
A,3
A,2
A,4
A,5
A,3
A,2
A,4
A,3
A,2
A,5
A,4
A,3
A,NA
A,NA
A,NA
A,NA
A,NA
A,NA
A,NA
A,NA
A,NA
A,NA
A,NA
A,NA
A,NA
A,NA
A,NA
A,NA
A,NA
A,NA
A,NA
A,NA
A,NA
A,NA
A,NA
A,NA
A,NA
A,NA
A,NA
A,NA
A,NA
A,NA
B,6
B,7
B,9
B,8
B,6
B,6
B,8
B,6
B,7
B,8
B,5
B,6
B,7
B,8
B,8
B,NA
B,NA
B,NA
B,NA
B,NA
B,NA
B,NA
B,NA
B,NA
B,NA
B,NA
B,NA
B,NA
B,NA
B,NA
B,NA
B,NA
B,NA
B,NA
B,NA
B,NA
B,NA
B,NA
B,NA
B,NA
B,NA
B,NA
B,NA
B,NA
B,NA
C,5
C,6
C,5
C,4
C,7
C,5
C,6
C,5
C,4
C,6
C,7
C,6
C,7
C,6
C,7
C,NA
C,NA
C,NA
C,NA
C,NA
C,NA
C,NA
C,NA
C,NA
C,NA
C,NA
C,NA
C,NA
C,NA
C,NA
C,NA
C,NA
C,NA
C,NA
C,NA
C,NA
C,NA
C,NA
C,NA
C,NA
C,NA
C,NA
C,NA
C,NA
C,NA
