"cost" "mwatts" "date" "mwd"
"1" 345.39 514 67.92 34910.88
"2" 460.05 687 68.58 47114.46
"3" 452.99 1065 67.33 71706.45
"4" 443.22 1065 67.33 71706.45
"5" 652.32 1065 68 72420
"6" 642.23 1065 68 72420
"7" 272.37 822 68.17 56035.74
"8" 317.21 457 68.42 31267.94
"9" 457.12 822 68.42 56241.24
"10" 690.19 792 68.33 54117.36
"11" 350.63 560 68.58 38404.8
"12" 402.59 790 68.75 54312.5
"13" 412.18 530 68.42 36262.6
"14" 495.58 1050 68.92 72366
"15" 394.36 850 68.92 58582
"16" 423.32 778 68.42 53230.76
"17" 712.27 845 69.5 58727.5
"18" 289.66 530 68.42 36262.6
"19" 881.24 1090 69.17 75395.3
"20" 490.88 1050 68.92 72366
"21" 567.79 913 68.75 62768.75
"22" 665.99 828 70.92 58721.76
"23" 621.45 786 69.67 54760.62
"24" 608.8 821 70.08 57535.68
"25" 473.64 538 70.42 37885.96
"26" 697.14 1130 71.08 80320.4
"27" 207.51 745 67.25 50101.25
"28" 288.48 821 67.17 55146.57
"29" 284.88 886 67.83 60097.38
"30" 280.36 886 67.83 60097.38
"31" 217.38 745 67.25 50101.25
"32" 270.71 886 67.83 60097.38
