weight,rod,damage,count
10,R1,D1,5
10,R2,D1,8
10,R3,D1,6
10,R4,D1,2
10,R5,D1,11
10,R6,D1,12
10,R7,D1,8
10,R8,D1,15
10,R1,D1,4
10,R2,D1,8
10,R3,D1,3
10,R4,D1,1
10,R5,D1,16
10,R6,D1,16
10,R7,D1,11
10,R8,D1,10
10,R1,D1,3
10,R2,D1,18
10,R3,D1,5
10,R4,D1,1
10,R5,D1,12
10,R6,D1,16
10,R7,D1,20
10,R8,D1,18
10,R1,D1,4
10,R2,D1,12
10,R3,D1,10
10,R4,D1,2
10,R5,D1,17
10,R6,D1,18
10,R7,D1,19
10,R8,D1,15
10,R1,D1,9
10,R2,D1,17
10,R3,D1,15
10,R4,D1,12
10,R5,D1,16
10,R6,D1,20
10,R7,D1,20
10,R8,D1,20
10,R1,D1,5
10,R2,D1,18
10,R3,D1,5
10,R4,D1,5
10,R5,D1,15
10,R6,D1,19
10,R7,D1,18
10,R8,D1,18
20,R1,D1,5
20,R2,D1,6
20,R3,D1,5
20,R4,D1,2
20,R5,D1,16
20,R6,D1,15
20,R7,D1,9
20,R8,D1,0
20,R1,D1,5
20,R2,D1,13
20,R3,D1,5
20,R4,D1,0
20,R5,D1,10
20,R6,D1,10
20,R7,D1,11
20,R8,D1,13
20,R1,D1,6
20,R2,D1,12
20,R3,D1,10
20,R4,D1,2
20,R5,D1,16
20,R6,D1,14
20,R7,D1,16
20,R8,D1,16
20,R1,D1,4
20,R2,D1,17
20,R3,D1,10
20,R4,D1,4
20,R5,D1,18
20,R6,D1,19
20,R7,D1,20
20,R8,D1,20
20,R1,D1,10
20,R2,D1,19
20,R3,D1,14
20,R4,D1,7
20,R5,D1,15
20,R6,D1,19
20,R7,D1,17
20,R8,D1,18
20,R1,D1,6
20,R2,D1,18
20,R3,D1,13
20,R4,D1,0
20,R5,D1,16
20,R6,D1,19
20,R7,D1,17
20,R8,D1,15
30,R1,D1,0
30,R2,D1,7
30,R3,D1,1
30,R4,D1,4
30,R5,D1,15
30,R6,D1,11
30,R7,D1,11
30,R8,D1,17
30,R1,D1,9
30,R2,D1,18
30,R3,D1,13
30,R4,D1,0
30,R5,D1,16
30,R6,D1,15
30,R7,D1,14
30,R8,D1,12
30,R1,D1,3
30,R2,D1,10
30,R3,D1,8
30,R4,D1,3
30,R5,D1,16
30,R6,D1,15
30,R7,D1,15
30,R8,D1,16
30,R1,D1,10
30,R2,D1,16
30,R3,D1,15
30,R4,D1,5
30,R5,D1,17
30,R6,D1,16
30,R7,D1,17
30,R8,D1,17
30,R1,D1,0
30,R2,D1,0
30,R3,D1,16
30,R4,D1,11
30,R5,D1,0
30,R6,D1,0
30,R7,D1,0
30,R8,D1,0
30,R1,D1,7
30,R2,D1,17
30,R3,D1,8
30,R4,D1,0
30,R5,D1,0
30,R6,D1,0
30,R7,D1,0
30,R8,D1,16
10,R1,D1,2
10,R2,D1,8
10,R3,D1,3
10,R4,D1,0
10,R5,D1,9
10,R6,D1,5
10,R7,D1,9
10,R8,D1,19
10,R1,D1,0
10,R2,D1,6
10,R3,D1,1
10,R4,D1,0
10,R5,D1,6
10,R6,D1,16
10,R7,D1,11
10,R8,D1,11
10,R1,D1,1
10,R2,D1,10
10,R3,D1,2
10,R4,D1,1
10,R5,D1,14
10,R6,D1,11
10,R7,D1,14
10,R8,D1,12
