date,road,home,start_eastern,TV
10/24/23,L.A. Lakers,Denver,7:30 PM,TNT
10/24/23,Phoenix,Golden State,10:00 PM,TNT
10/25/23,Atlanta,Charlotte,7:00 PM,
10/25/23,Washington,Indiana,7:00 PM,
10/25/23,Boston,New York,7:00 PM,ESPN
10/25/23,Houston,Orlando,7:00 PM,
10/25/23,Cleveland,Brooklyn,7:30 PM,
10/25/23,Detroit,Miami,7:30 PM,
10/25/23,Minnesota,Toronto,7:30 PM,
10/25/23,Oklahoma City,Chicago,8:00 PM,
10/25/23,New Orleans,Memphis,8:00 PM,
10/25/23,Sacramento,Utah,9:00 PM,
10/25/23,Dallas,San Antonio,9:30 PM,ESPN
10/25/23,Portland,LA Clippers,10:30 PM,
10/26/23,Philadelphia,Milwaukee,7:30 PM,TNT
10/26/23,Phoenix,L.A. Lakers,10:00 PM,TNT
10/27/23,Detroit,Charlotte,7:00 PM,
10/27/23,Denver,Memphis,7:00 PM,
10/27/23,New York,Atlanta,7:30 PM,
10/27/23,Miami,Boston,7:30 PM,ESPN
10/27/23,Oklahoma City,Cleveland,7:30 PM,
10/27/23,Toronto,Chicago,8:00 PM,
10/27/23,Houston,San Antonio,8:00 PM,
10/27/23,Brooklyn,Dallas,8:30 PM,
10/27/23,LA Clippers,Utah,9:30 PM,
10/27/23,Orlando,Portland,10:00 PM,
10/27/23,Golden State,Sacramento,10:00 PM,ESPN
10/28/23,Chicago,Detroit,7:00 PM,
10/28/23,Memphis,Washington,7:00 PM,
10/28/23,New York,New Orleans,7:00 PM,NBA TV
10/28/23,Indiana,Cleveland,7:30 PM,
10/28/23,Philadelphia,Toronto,7:30 PM,
10/28/23,Miami,Minnesota,8:00 PM,
10/28/23,Utah,Phoenix,10:00 PM,NBA TV
10/29/23,Denver,Oklahoma City,3:30 PM,
10/29/23,Golden State,Houston,7:00 PM,
10/29/23,Atlanta,Milwaukee,7:00 PM,
10/29/23,Portland,Philadelphia,7:30 PM,
10/29/23,San Antonio,LA Clippers,9:00 PM,
10/29/23,L.A. Lakers,Sacramento,9:00 PM,
10/30/23,Brooklyn,Charlotte,7:00 PM,
10/30/23,Chicago,Indiana,7:00 PM,
10/30/23,Boston,Washington,7:00 PM,
10/30/23,Minnesota,Atlanta,7:30 PM,
10/30/23,Portland,Toronto,7:30 PM,
10/30/23,Dallas,Memphis,8:00 PM,
10/30/23,Miami,Milwaukee,8:00 PM,
10/30/23,Golden State,New Orleans,8:00 PM,NBA TV
10/30/23,Detroit,Oklahoma City,8:00 PM,
10/30/23,Utah,Denver,9:00 PM,
10/30/23,Orlando,L.A. Lakers,10:30 PM,NBA TV
10/31/23,New York,Cleveland,7:30 PM,TNT
10/31/23,San Antonio,Phoenix,10:00 PM,TNT
10/31/23,Orlando,LA Clippers,10:30 PM,
11/1/23,Portland,Detroit,7:00 PM,
11/1/23,Milwaukee,Toronto,7:00 PM,
11/1/23,Washington,Atlanta,7:30 PM,
11/1/23,Indiana,Boston,7:30 PM,
11/1/23,Brooklyn,Miami,7:30 PM,
11/1/23,Cleveland,New York,7:30 PM,
11/1/23,New Orleans,Oklahoma City,7:30 PM,ESPN
11/1/23,Charlotte,Houston,8:00 PM,
11/1/23,Denver,Minnesota,8:00 PM,
11/1/23,Chicago,Dallas,8:30 PM,
11/1/23,Memphis,Utah,9:00 PM,
11/1/23,Sacramento,Golden State,10:00 PM,
11/1/23,LA Clippers,L.A. Lakers,10:00 PM,ESPN
11/2/23,Toronto,Philadelphia,7:00 PM,NBA TV
11/2/23,Detroit,New Orleans,8:00 PM,
11/2/23,Orlando,Utah,9:00 PM,
11/2/23,San Antonio,Phoenix,10:00 PM,NBA TV
11/3/23,Cleveland,Indiana,7:00 PM,I
11/3/23,New York,Milwaukee,7:30 PM,ESPN
11/3/23,Washington,Miami,8:00 PM,I
11/3/23,Brooklyn,Chicago,8:00 PM,I
11/3/23,Golden State,Oklahoma City,8:00 PM,I
11/3/23,Dallas,Denver,10:00 PM,ESPN
11/3/23,Memphis,Portland,10:00 PM,I
11/4/23,Phoenix,Philadelphia,1:00 PM,
11/4/23,Charlotte,Indiana,7:00 PM,
11/4/23,L.A. Lakers,Orlando,7:00 PM,
11/4/23,Atlanta,New Orleans,7:00 PM,
11/4/23,Boston,Brooklyn,8:00 PM,
11/4/23,Sacramento,Houston,8:00 PM,
11/4/23,Utah,Minnesota,8:00 PM,
11/4/23,Chicago,Denver,9:00 PM,NBA TV
11/5/23,Phoenix,Detroit,3:00 PM,
11/5/23,Toronto,San Antonio,3:30 PM,
11/5/23,Golden State,Cleveland,6:00 PM,
11/5/23,Charlotte,Dallas,7:30 PM,
11/5/23,Memphis,Portland,9:00 PM,
11/6/23,Golden State,Detroit,7:00 PM,
11/6/23,San Antonio,Indiana,7:00 PM,
11/6/23,Dallas,Orlando,7:00 PM,
11/6/23,Washington,Philadelphia,7:00 PM,
11/6/23,Milwaukee,Brooklyn,7:30 PM,
11/6/23,L.A. Lakers,Miami,7:30 PM,NBA TV
11/6/23,LA Clippers,New York,7:30 PM,
11/6/23,Utah,Chicago,8:00 PM,
11/6/23,Sacramento,Houston,8:00 PM,
11/6/23,Boston,Minnesota,8:00 PM,
11/6/23,Atlanta,Oklahoma City,8:00 PM,
11/6/23,New Orleans,Denver,9:00 PM,
11/8/23,Washington,Charlotte,7:00 PM,
11/8/23,Utah,Indiana,7:00 PM,
11/8/23,Boston,Philadelphia,7:00 PM,
11/8/23,LA Clippers,Brooklyn,7:30 PM,
11/8/23,San Antonio,New York,7:30 PM,ESPN
11/8/23,Phoenix,Chicago,8:00 PM,
11/8/23,L.A. Lakers,Houston,8:00 PM,
11/8/23,Miami,Memphis,8:00 PM,
11/8/23,Detroit,Milwaukee,8:00 PM,
11/8/23,New Orleans,Minnesota,8:00 PM,
11/8/23,Cleveland,Oklahoma City,8:00 PM,
11/8/23,Toronto,Dallas,8:30 PM,
11/8/23,Golden State,Denver,10:00 PM,ESPN
11/8/23,Portland,Sacramento,10:00 PM,
11/9/23,Milwaukee,Indiana,7:00 PM,NBA TV
11/9/23,Atlanta,Orlando,9:30 PM,NBA TV
11/10/23,Philadelphia,Detroit,7:00 PM,I
11/10/23,Charlotte,Washington,7:00 PM,I
11/10/23,Brooklyn,Boston,7:30 PM,ESPN
11/10/23,New Orleans,Houston,8:00 PM,I
11/10/23,Utah,Memphis,8:00 PM,I
11/10/23,Minnesota,San Antonio,8:00 PM,I
11/10/23,LA Clippers,Dallas,8:30 PM,I
11/10/23,L.A. Lakers,Phoenix,10:00 PM,ESPN
11/10/23,Oklahoma City,Sacramento,10:00 PM,I
11/11/23,Milwaukee,Orlando,6:00 PM,
11/11/23,Toronto,Boston,7:00 PM,
11/11/23,Miami,Atlanta,7:30 PM,
11/11/23,Cleveland,Golden State,8:30 PM,NBA TV
11/12/23,Charlotte,New York,12:00 PM,
11/12/23,Washington,Brooklyn,3:00 PM,
11/12/23,Memphis,LA Clippers,3:30 PM,
11/12/23,Indiana,Philadelphia,6:00 PM,
11/12/23,Detroit,Chicago,7:00 PM,
11/12/23,Denver,Houston,7:00 PM,
11/12/23,Dallas,New Orleans,7:00 PM,
11/12/23,Miami,San Antonio,7:00 PM,
11/12/23,Oklahoma City,Phoenix,8:00 PM,
11/12/23,Minnesota,Golden State,8:30 PM,
11/12/23,Portland,L.A. Lakers,10:00 PM,
11/13/23,New York,Boston,7:30 PM,NBA TV
11/13/23,Washington,Toronto,7:30 PM,
11/13/23,Chicago,Milwaukee,8:00 PM,
11/13/23,Cleveland,Sacramento,10:00 PM,NBA TV
11/14/23,Miami,Charlotte,7:00 PM,I
11/14/23,Atlanta,Detroit,7:00 PM,I
11/14/23,Indiana,Philadelphia,7:00 PM,I
11/14/23,Orlando,Brooklyn,7:30 PM,I
11/14/23,San Antonio,Oklahoma City,7:30 PM,TNT
11/14/23,Dallas,New Orleans,8:00 PM,I
11/14/23,Portland,Utah,9:00 PM,I
11/14/23,LA Clippers,Denver,10:00 PM,TNT
11/14/23,Minnesota,Golden State,10:00 PM,I
