Month,Flow
1911-10,180.38
1911-11,86.37
1911-12,111.85
1912-01,47.86
1912-02,65.13
1912-03,65.13
1912-04,402.1
1912-05,416.26
1912-06,656.95
1912-07,951.44
1912-08,671.11
1912-09,464.4
1912-10,263.06
1912-11,210.11
1912-12,93.45
1913-01,35.4
1913-02,56.07
1913-03,68.81
1913-04,450.24
1913-05,336.97
1913-06,917.46
1913-07,685.27
1913-08,421.92
1913-09,258.82
1913-10,223.99
1913-11,166.22
1913-12,106.19
1914-01,76.46
1914-02,60.31
1914-03,86.08
1914-04,178.96
1914-05,393.6
1914-06,747.56
1914-07,642.79
1914-08,276.37
1914-09,225.12
1914-10,291.66
1914-11,230.78
1914-12,90.61
1915-01,95.71
1915-02,66.26
1915-03,94.01
1915-04,382.28
1915-05,560.67
1915-06,1022.24
1915-07,1713.17
1915-08,954.28
1915-09,464.4
1915-10,359.62
1915-11,173.3
1915-12,109.02
1916-01,72.21
1916-02,69.38
1916-03,433.25
1916-04,563.5
1916-05,382.28
1916-06,1461.15
1916-07,1608.39
1916-08,756.06
1916-09,841.01
1916-10,399.27
1916-11,228.52
1916-12,140.17
1917-01,100.81
1917-02,88.07
1917-03,77.87
1917-04,472.89
1917-05,716.42
1917-06,1633.88
1917-07,855.17
1917-08,339.8
1917-09,252.59
1917-10,158.29
1917-11,129.12
1917-12,56.92
1918-01,72.49
1918-02,94.01
1918-03,122.89
1918-04,376.61
1918-05,365.29
1918-06,654.12
1918-07,421.92
1918-08,247.49
1918-09,173.87
1918-10,145.55
1918-11,120.06
1918-12,56.92
1919-01,53.24
1919-02,70.51
1919-03,54.37
1919-04,215.77
1919-05,267.03
1919-06,549.35
1919-07,291.66
1919-08,272.97
1919-09,174.15
1919-10,90.9
1919-11,47.86
1919-12,45.59
1920-01,58.33
1920-02,54.65
1920-03,70.79
1920-04,441.74
1920-05,1005.25
1920-06,719.25
1920-07,891.98
1920-08,382.28
1920-09,164.52
1920-10,39.93
1920-11,80.99
1920-12,58.9
1921-01,40.78
1921-02,46.16
1921-03,83.25
1921-04,334.14
1921-05,365.29
1921-06,736.24
1921-07,427.58
1921-08,230.22
1921-09,120.91
1921-10,85.23
1921-11,79
1921-12,50.97
1922-01,45.31
1922-02,41.34
1922-03,56.07
1922-04,331.31
1922-05,436.08
1922-06,741.9
1922-07,390.77
1922-08,222.85
1922-09,163.95
1922-10,101.66
1922-11,69.66
1922-12,41.63
1923-01,45.87
1923-02,34.55
1923-03,41.06
1923-04,187.46
1923-05,240.41
1923-06,1594.24
1923-07,906.14
1923-08,393.6
1923-09,263.63
1923-10,158.86
1923-11,93.73
1923-12,75.89
1924-01,44.74
1924-02,59.18
1924-03,69.38
1924-04,227.67
1924-05,328.47
1924-06,586.16
1924-07,526.69
1924-08,379.45
1924-09,215.49
1924-10,142.15
1924-11,83.82
1924-12,69.94
1925-01,61.16
1925-02,64.85
1925-03,97.69
1925-04,696.59
1925-05,453.07
1925-06,747.56
1925-07,498.38
1925-08,259.95
1925-09,249.75
1925-10,243.81
1925-11,165.09
1925-12,107.89
1926-01,72.21
1926-02,76.46
1926-03,250.04
1926-04,297.33
1926-05,261.65
1926-06,182.08
1926-07,424.75
1926-08,172.73
1926-09,563.5
1926-10,487.05
1926-11,257.4
1926-12,116.38
1927-01,88.63
1927-02,75.04
1927-03,141.87
1927-04,710.75
1927-05,637.13
1927-06,1452.65
1927-07,1013.74
1927-08,557.84
1927-09,588.99
1927-10,481.39
1927-11,206.15
1927-12,145.55
1928-01,258.53
1928-02,123.46
1928-03,283.17
1928-04,506.87
1928-05,549.35
1928-06,1146.83
1928-07,1302.57
1928-08,404.93
1928-09,237.58
1928-10,190.57
1928-11,143.28
1928-12,73.34
1929-01,62.58
1929-02,50.12
1929-03,140.45
1929-04,210.39
1929-05,345.46
1929-06,1211.96
1929-07,339.8
1929-08,151.21
1929-09,108.17
1929-10,64.28
1929-11,60.03
1929-12,35.96
1930-01,45.31
1930-02,64
1930-03,174.71
1930-04,297.33
1930-05,376.61
1930-06,628.63
1930-07,453.07
1930-08,216.91
1930-09,142.15
1930-10,101.09
1930-11,100.81
1930-12,81.84
1931-01,52.95
1931-02,69.66
1931-03,77.02
1931-04,131.96
1931-05,126.01
1931-06,291.66
1931-07,322.81
1931-08,150.08
1931-09,127.43
1931-10,95.71
1931-11,52.95
1931-12,39.08
1932-01,34.55
1932-02,38.23
1932-03,90.33
1932-04,235.88
1932-05,450.24
1932-06,1211.96
1932-07,495.54
1932-08,184.91
1932-09,205.86
1932-10,125.44
1932-11,92.03
1932-12,73.34
1933-01,58.33
1933-02,47.01
1933-03,63.43
1933-04,348.3
1933-05,492.71
1933-06,764.55
