az  1.06  9.2  151  54.4  1.6  9077  0.0  0.628  Arizona_Public
ma  0.89  10.3  202  57.9  2.2  5088  25.3  1.555  Boston_Edison
la  1.43  15.4  113  53.0  3.4  9212  0.0  1.058  Central_Louisiana_electric
ma  1.02  11.2  168  56.0  0.3  6423  34.3  0.700  Commonwealth_Edison
ny  1.49  8.8  192  51.2  1.0  3300  15.6  2.044  Consolidated_Edison_NY
fl  1.32  13.5  111  60.0  -2.2  11127  22.5  1.241  Florida_Power
hi  1.22  12.2  175  67.6  2.2  7642  0.0  1.652  Hawaiian_Electric
id  1.10  9.2  245  57.0  3.3  13082  0.0  0.309  Idaho_Power
ky  1.34  13.0  168  60.4  7.2  8406  0.0  0.862  Kentucky_Utilities
wi  1.12  12.4  197  53.0  2.7  6455  39.2  0.623  Madison_Gas_Electric
nv  0.75  7.5  173  51.5  6.5  17441  0.0  0.768  Nevada_Power
ma  1.13  10.9  178  62.0  3.7  6154  0.0  1.897  NewEngland_Electric
mi  1.15  12.7  199  53.7  6.4  7179  50.2  0.527  Northern_States_Power
ok  1.09  12.0  96  49.8  1.4  9673  0.0  0.588  Oklahoma_Gas_Electric
ca  0.96  7.6  164  62.2  -0.1  6468  0.9  1.400  Pacific_Gas_Electric
wa  1.16  9.9  252  56.0  9.2  15991  0.0  0.620  Puget_Sound_Power
ca  0.76  6.4  136  61.9  9.0  5714  8.3  1.920  SanDiego_Gas_Electric
ms  1.05  12.6  150  56.7  2.7  10140  0.0  1.108  Southern_Co
tx  1.16  11.7  104  54.0  -2.1  13507  0.0  0.636  Texas_Utilities
wi  1.20  11.8  148  59.9  3.5  7287  41.1  0.702  Wisconsin_Electric
ct  1.04  8.6  204  61.0  3.5  6650  0.0  2.116  United_Illuminating
va  1.07  9.3  174  54.3  5.9  10093  26.6  1.306  Virginia_Electric
