"response" "group"
8.68887933226883 "a"
9.78119843352522 "a"
8.57478844013886 "a"
11.4149802362053 "a"
3.11320161064776 "a"
11.658064228082 "a"
12.8904600119333 "a"
7.85654310881645 "a"
13.8379787378888 "a"
11.3845976514786 "a"
11.5536764997333 "a"
10.1808525326215 "a"
8.91539540651787 "a"
7.65690200976345 "a"
11.4229863541064 "a"
7.4220475505825 "a"
7.38750336928084 "a"
12.6215925811454 "a"
6.95041591446026 "a"
7.44140218646255 "a"
12.3303255122498 "b"
6.61742005730635 "b"
7.15968289559687 "b"
12.2864897665904 "b"
10.5364325204538 "b"
7.26143862147886 "b"
11.7020603447405 "b"
8.16038414736619 "b"
6.90486129033962 "b"
9.17309078206261 "b"
12.2510351617563 "b"
11.1373428374408 "b"
13.8551183047425 "b"
11.6060877771162 "b"
10.895438267615 "b"
9.94544440513951 "b"
9.98281382552367 "b"
10.0892690908795 "b"
9.97557515687652 "b"
12.0815195561707 "b"
10.7203384209065 "c"
13.136245739169 "c"
14.9374585433958 "c"
13.1636412436962 "c"
18.2817628018282 "c"
16.6339016781987 "c"
17.6792036543677 "c"
11.7090855732522 "c"
18.5220427636809 "c"
10.0291122059346 "c"
12.2040229178457 "c"
13.2349739909922 "c"
18.574916079502 "c"
15.2609863949331 "c"
16.4987093457457 "c"
12.8016692119277 "c"
18.1109121500861 "c"
18.6354531863503 "c"
15.6509119103678 "c"
14.3157793441289 "c"
16.6859749816274 "d"
10.3393696724345 "d"
14.7028643583152 "d"
18.3360872090917 "d"
21.3771367561275 "d"
10.6784229940214 "d"
16.2016113640426 "d"
15.5169355381628 "d"
14.6949291075227 "d"
16.9844562562224 "d"
17.0932730399621 "d"
16.0679136597715 "d"
14.8192841451018 "d"
14.4826642798254 "d"
12.6386389472953 "d"
17.6661342088636 "d"
22.9072019840673 "d"
16.5798215368181 "d"
8.7276237760615 "d"
12.3169666396438 "d"
