station rainfall altitude latitude fromcoast
Eureka         39.57   43 40.8   1
RedBluff       23.27  341 40.2  97
Thermal        18.20 4152 33.8  70
FortBragg      37.48   74 39.4   1
SodaSprings    49.26 6752 39.3 150
SanFrancisco   21.82   52 37.8   5
Sacramento     18.07   25 38.5  80
SanJose        14.17   95 37.4  28
GiantForest    42.63 6360 36.6 145
Salinas        13.85   74 36.7  12
Fresno          9.44  331 36.7 114
PtPiedras      19.33   57 35.7   1
PasaRobles     15.67  740 35.7  31
Bakersfield     6.00  489 35.4  75
Bishop          5.73 4108 37.3 198
Mineral        47.82 4850 40.4 142
SantaBarbara   17.95  120 34.4   1
Susanville     18.20 4152 40.3 198
TuleLake       10.03 4036 41.9 140
Needles         4.63  913 34.8 192
Burbank        14.74  699 34.2  47
LosAngeles     15.02  312 34.1  16
LongBeach      12.36   50 33.8  12
LosBanos        8.26  125 37.8  74
Blythe          4.05  268 33.6 155
SanDiego        9.94   19 32.7   5
Daggett         4.25 2105 34.1  85
DeathValley     1.66 -178 36.5 194
CrescentCity   74.87   35 41.7   1
Colusa         15.95   60 39.2  91
