bird_name,count,Year,Transect,Temp,ObservCond,Bay
Barrow's Goldeneye,0,1986,101,4.5,Good,Uyak
Black Scoter,0,1986,101,4.5,Good,Uyak
Common Merganser,0,1986,101,4.5,Good,Uyak
Common Murre,11,1986,101,4.5,Good,Uyak
Cormorant,0,1986,101,4.5,Good,Uyak
Harlequin Duck,0,1986,101,4.5,Good,Uyak
Horned Grebe,0,1986,101,4.5,Good,Uyak
Loon,1,1986,101,4.5,Good,Uyak
Marbled Murrelet,4,1986,101,4.5,Good,Uyak
Long-tailed Duck,5,1986,101,4.5,Good,Uyak
Pigeon Guillemot,0,1986,101,4.5,Good,Uyak
Red-breasted Merganser,0,1986,101,4.5,Good,Uyak
Red-necked Grebe,0,1986,101,4.5,Good,Uyak
Surf Scoter,0,1986,101,4.5,Good,Uyak
White-winged Scoter,0,1986,101,4.5,Good,Uyak
Barrow's Goldeneye,0,1987,101,4.8,Excellent,Uyak
Black Scoter,0,1987,101,4.8,Excellent,Uyak
Common Merganser,0,1987,101,4.8,Excellent,Uyak
Common Murre,14,1987,101,4.8,Excellent,Uyak
Cormorant,1,1987,101,4.8,Excellent,Uyak
Harlequin Duck,0,1987,101,4.8,Excellent,Uyak
Horned Grebe,0,1987,101,4.8,Excellent,Uyak
Loon,22,1987,101,4.8,Excellent,Uyak
Marbled Murrelet,6,1987,101,4.8,Excellent,Uyak
Long-tailed Duck,0,1987,101,4.8,Excellent,Uyak
Pigeon Guillemot,0,1987,101,4.8,Excellent,Uyak
Red-breasted Merganser,0,1987,101,4.8,Excellent,Uyak
Red-necked Grebe,0,1987,101,4.8,Excellent,Uyak
Surf Scoter,0,1987,101,4.8,Excellent,Uyak
White-winged Scoter,3,1987,101,4.8,Excellent,Uyak
Barrow's Goldeneye,0,1988,101,4.5,Excellent,Uyak
Black Scoter,0,1988,101,4.5,Excellent,Uyak
Common Merganser,0,1988,101,4.5,Excellent,Uyak
Common Murre,1,1988,101,4.5,Excellent,Uyak
Cormorant,0,1988,101,4.5,Excellent,Uyak
Harlequin Duck,0,1988,101,4.5,Excellent,Uyak
Horned Grebe,0,1988,101,4.5,Excellent,Uyak
Loon,0,1988,101,4.5,Excellent,Uyak
Marbled Murrelet,3,1988,101,4.5,Excellent,Uyak
