a,c,m,r,g,count
yes,yes,yes,white,female,405
yes,yes,yes,other,female,23
yes,no,yes,white,female,13
yes,no,yes,other,female,2
no,yes,yes,white,female,1
no,yes,yes,other,female,0
no,no,yes,white,female,1
no,no,yes,other,female,0
yes,yes,no,white,female,268
yes,yes,no,other,female,23
yes,no,no,white,female,218
yes,no,no,other,female,19
no,yes,no,white,female,17
no,yes,no,other,female,1
no,no,no,white,female,117
no,no,no,other,female,12
yes,yes,yes,white,male,453
yes,yes,yes,other,male,30
yes,no,yes,white,male,28
yes,no,yes,other,male,1
no,yes,yes,white,male,1
no,yes,yes,other,male,1
no,no,yes,white,male,1
no,no,yes,other,male,0
yes,yes,no,white,male,228
yes,yes,no,other,male,19
yes,no,no,white,male,201
yes,no,no,other,male,18
no,yes,no,white,male,17
no,yes,no,other,male,8
no,no,no,white,male,133
no,no,no,other,male,17
