 28.4     2.670         4        90  U.S.        
 30.9     2.230         4        75  U.S.        
 20.8     3.070         6        85  U.S.        
 37.3     2.130         4        69  Italy       
 16.2     3.410         6       133  France      
 31.9     1.925         4        71  Germany     
 34.2     2.200         4        70  U.S.        
 34.1     1.975         4        65  Japan       
 16.9     4.360         8       155  U.S.        
 20.3     2.830         5       103  Germany     
 19.2     3.605         8       125  U.S.        
 18.6     3.620         6       110  U.S.        
 30.5     2.190         4        78  Germany     
 26.5     2.585         4        88  U.S.        
 35.1     1.915         4        80  Japan       
 22.0     2.815         6        97  Japan       
 31.5     1.990         4        71  Germany     
 28.8     2.595         6       115  U.S.        
 26.8     2.700         6       115  U.S.        
 18.5     3.940         8       150  U.S.        
 27.2     2.300         4        97  Japan       
 18.1     3.410         6       120  U.S.        
 20.6     3.380         6       105  U.S.        
 21.6     2.795         4       115  Sweden      
 31.8     2.020         4        65  Japan       
 17.6     3.725         8       129  U.S.        
 17.0     3.140         6       125  Sweden      
 18.2     3.830         8       135  U.S.        
 27.5     2.560         4        95  Japan       
 30.0     2.155         4        68  U.S.        
 21.9     2.910         6       109  U.S.        
 27.4     2.670         4        80  U.S.        
 15.5     4.054         8       142  U.S.        
 21.5     2.600         4       110  Germany     
 33.5     2.556         4        90  U.S.        
 29.5     2.135         4        68  Japan       
 16.5     3.955         8       138  U.S.        
 17.0     3.840         8       130  U.S.        
