g,series
76,S1
82,S1
83,S1
54,S1
35,S1
46,S1
87,S1
68,S1
87,S2
95,S2
98,S2
100,S2
109,S2
109,S2
100,S2
81,S2
75,S2
68,S2
67,S2
105,S3
83,S3
76,S3
75,S3
51,S3
76,S3
93,S3
75,S3
62,S3
95,S4
90,S4
76,S4
76,S4
87,S4
79,S4
77,S4
71,S4
76,S5
76,S5
78,S5
79,S5
72,S5
68,S5
75,S5
78,S5
78,S6
78,S6
78,S6
86,S6
87,S6
81,S6
73,S6
67,S6
75,S6
82,S6
83,S6
82,S7
79,S7
81,S7
79,S7
77,S7
79,S7
79,S7
78,S7
79,S7
82,S7
76,S7
73,S7
64,S7
84,S8
86,S8
85,S8
82,S8
77,S8
76,S8
77,S8
80,S8
83,S8
81,S8
78,S8
78,S8
78,S8
