Release,date
0.16,NA
0.49,"April 23, 1997"
0.60,"December 05, 1997"
0.65.1,"October 07, 1999"
1.0,"February 29, 2000"
1.4,"December 19, 2001"
1.8,"October 08, 2003"
2.0,"October 04, 2004"
2.1,"April 18, 2005"
2.6.2,"February 08, 2008"
2.11,"April 22, 2010"
2.12.2,"February 25, 2011"
2.13,"April 14, 2011"
2.14,"October 31, 2011"
2.15,"March 30, 2012"
3.0.0,"April 03, 2013"
3.3.3,"March 06, 2017"
3.4.0,"April 21, 2017"
3.5.0,"April 23, 2018"
3.6.0,"April 26, 2019"
4.0.0,"April 24, 2020"
4.1.0,"May 18, 2021"
