Gender,Year,WinTime
Men,1897,2.9194444444444443
Men,1898,2.7
Men,1899,2.9105555555555553
Men,1900,2.6622222222222223
Men,1901,2.4897222222222224
Men,1902,2.72
Men,1903,2.691388888888889
Men,1904,2.6344444444444446
Men,1905,2.640277777777778
Men,1906,2.7625
Men,1907,2.4066666666666667
Men,1908,2.428611111111111
Men,1909,2.8933333333333335
Men,1910,2.4811111111111113
Men,1911,2.3608333333333333
Men,1912,2.355
Men,1913,2.4205555555555556
Men,1914,2.4205555555555556
Men,1915,2.5280555555555555
Men,1916,2.4544444444444444
Men,1917,2.4769444444444444
Men,1918,2.4980555555555557
Men,1919,2.4869444444444446
Men,1920,2.4919444444444445
Men,1921,2.3158333333333334
Men,1922,2.3027777777777776
Men,1923,2.3963888888888887
Men,1924,2.4944444444444445
Men,1925,2.55
Men,1926,2.4277777777777776
Men,1927,2.6727777777777777
Men,1928,2.618611111111111
Men,1929,2.5522222222222224
Men,1930,2.58
Men,1931,2.779166666666667
Men,1932,2.56
Men,1933,2.5169444444444444
Men,1934,2.5480555555555555
Men,1935,2.535277777777778
Men,1936,2.561111111111111
Men,1937,2.5555555555555554
Men,1938,2.5927777777777776
Men,1939,2.4808333333333334
Men,1940,2.4744444444444444
Men,1941,2.5105555555555554
Men,1942,2.4475
Men,1943,2.473611111111111
Men,1944,2.5305555555555554
Men,1945,2.511111111111111
Men,1946,2.4908333333333332
Men,1947,2.4275
Men,1948,2.5172222222222222
Men,1949,2.5305555555555554
Men,1950,2.5441666666666665
Men,1951,2.4625
Men,1952,2.531388888888889
Men,1953,2.3141666666666665
Men,1954,2.3441666666666667
Men,1955,2.306111111111111
Men,1956,2.237222222222222
Men,1957,2.334722222222222
Men,1958,2.4316666666666666
Men,1959,2.3783333333333334
Men,1960,2.348333333333333
Men,1961,2.3941666666666666
Men,1962,2.3966666666666665
Men,1963,2.3161111111111112
Men,1964,2.3330555555555557
Men,1965,2.2758333333333334
Men,1966,2.286388888888889
Men,1967,2.2625
Men,1968,2.3713888888888888
Men,1969,2.230277777777778
Men,1970,2.175
Men,1971,2.3125
Men,1972,2.2608333333333333
Men,1973,2.2675
Men,1974,2.2275
Men,1975,2.165277777777778
Men,1976,2.338611111111111
Men,1977,2.246111111111111
Men,1978,2.1702777777777778
Men,1979,2.1575
Men,1980,2.2030555555555558
Men,1981,2.1572222222222224
Men,1982,2.147777777777778
Men,1983,2.15
Men,1984,2.176111111111111
Men,1985,2.234722222222222
Men,1986,2.1308333333333334
Men,1987,2.1972222222222224
Men,1988,2.145277777777778
Men,1989,2.151666666666667
Men,1990,2.138611111111111
Men,1991,2.185
Men,1992,2.1372222222222224
Men,1993,2.1591666666666667
Men,1994,2.120833333333333
Men,1995,2.156111111111111
Men,1996,2.154166666666667
Men,1997,2.176111111111111
Men,1998,2.1261111111111113
Men,1999,2.1644444444444444
Men,2000,2.1630555555555557
Men,2001,2.1619444444444444
Men,2002,2.1505555555555556
Men,2003,2.169722222222222
Men,2004,2.1769444444444446
Men,2005,2.1955555555555555
Men,2006,2.1205555555555557
Men,2007,2.2369444444444446
Men,2008,2.129166666666667
Men,2009,2.145
Men,2010,2.097777777777778
Men,2011,2.0505555555555555
Men,2012,2.2111111111111112
Men,2013,2.1727777777777777
Men,2014,2.143611111111111
Men,2015,2.1547222222222224
Men,2016,2.2125
Men,2017,2.160277777777778
Men,2018,2.266111111111111
Women,1966,3.361111111111111
Women,1967,3.4547222222222222
Women,1968,3.5
Women,1969,3.3794444444444443
Women,1970,3.085277777777778
Women,1971,3.1416666666666666
Women,1972,3.173888888888889
Women,1973,3.0997222222222223
Women,1974,2.786388888888889
Women,1975,2.7066666666666666
Women,1976,2.786111111111111
Women,1977,2.8091666666666666
Women,1978,2.747777777777778
Women,1979,2.5875
Women,1980,2.5744444444444445
Women,1981,2.446111111111111
Women,1982,2.4925
Women,1983,2.3786111111111112
Women,1984,2.491111111111111
Women,1985,2.5683333333333334
Women,1986,2.415277777777778
Women,1987,2.4225
Women,1988,2.408333333333333
Women,1989,2.4091666666666667
Women,1990,2.4233333333333333
Women,1991,2.405
Women,1992,2.395277777777778
Women,1993,2.424166666666667
Women,1994,2.3625
Women,1995,2.419722222222222
Women,1996,2.453333333333333
Women,1997,2.439722222222222
Women,1998,2.3891666666666667
Women,1999,2.390277777777778
Women,2000,2.4363888888888887
Women,2001,2.3980555555555556
Women,2002,2.3452777777777776
Women,2003,2.4219444444444442
Women,2004,2.4075
Women,2005,2.42
Women,2006,2.3938888888888887
Women,2007,2.4883333333333333
Women,2008,2.423611111111111
Women,2009,2.537777777777778
Women,2010,2.4363888888888887
Women,2011,2.3766666666666665
Women,2012,2.5305555555555554
Women,2013,2.4402777777777778
Women,2014,2.3158333333333334
Women,2014,2.3330555555555557
Women,2015,2.415277777777778
Women,2016,2.488611111111111
Women,2017,2.3644444444444446
Women,2018,2.665
