    price     floor   from_elev    view       end   furnish method
      199         1         2         0         0         0 F     
      204         1        13         0         0         0 F     
      275         1        15         1         0         0 F     
      209         2        14         0         0         0 F     
      259         1         2         1         0         0 F     
      264         1         9         1         0         0 F     
      264         1        12         1         0         0 F     
      264         1        13         1         0         0 F     
      254         3         9         1         0         0 F     
      264         3        15         1         0         0 F     
      279         8        15         1         0         0 F     
      204         1        12         0         0         0 F     
      199         2        13         0         0         0 F     
      249         2        15         1         0         0 F     
      264         3        11         1         0         0 F     
      209         3        14         0         0         0 F     
      259         4        15         1         0         0 F     
      204         1        14         0         0         0 F     
      274         7        15         1         0         0 F     
      199         1         3         0         0         0 F     
      199         1        11         0         0         0 F     
      274         2        14         1         0         0 F     
      180         3        11         0         0         0 F     
      254         3        12         1         0         0 F     
      284         4        14         1         0         0 F     
      269         3         5         1         0         0 F     
      159         2         3         0         0         0 F     
      199         1         6         0         0         0 F     
      204         1         9         0         0         0 F     
      190         2        11         0         0         0 F     
      261         2        12         1         0         0 F     
      159         2        12         0         0         0 F     
      261         2        13         1         0         0 F     
      169         3         6         0         0         0 F     
      199         4        14         0         0         0 F     
      189         5        14         0         0         0 F     
      294         6        15         1         0         0 F     
      199         6        14         0         0         0 F     
      204         2         6         0         0         0 F     
      279         3        14         1         0         0 F     
      159         6         9         0         0         0 F     
      151         2         4         0         0         0 F     
      151         2         5         0         0         0 F     
      159         2        10         0         0         0 F     
      190         8        12         0         0         0 F     
      190         8        13         0         0         0 F     
      175         1         4         0         0         0 F     
      175         1         5         0         0         0 F     
      175         1        10         0         0         0 F     
      159         2         2         0         0         0 F     
      163         3        13         0         0         0 F     
      219         8        14         0         0         0 F     
      161         3         5         0         0         0 F     
      169         3         3         0         0         0 F     
      169         3         4         0         0         0 F     
      165         3        10         0         0         0 F     
      169         3        12         0         0         0 F     
      269         3        13         1         0         0 F     
      176         4        11         0         0         0 F     
      186         5        11         0         0         0 F     
      195         8        11         0         0         0 F     
      259         1         3         1         0         0 F     
      235         1         4         1         0         0 F     
      240         1        11         1         0         0 F     
      159         2         1         0         0         0 F     
      169         3         1         0         0         0 F     
      260         4         1         1         0         0 F     
      209         4         1         0         0         0 F     
      176         4         6         0         0         0 F     
      179         4         9         0         0         0 F     
      179         4        12         0         0         0 F     
      274         4        13         1         0         0 F     
      179         5        13         0         0         0 F     
      180         6         2         0         0         0 F     
      199         6         6         0         0         0 F     
      190         6        12         0         0         0 F     
      210         1         1         1         0         0 A     
      225         1         5         1         0         1 A     
      200         1         6         1         1         1 A     
      220         1        10         1         0         0 A     
      210         2         1         1         0         0 A     
      225         2         3         1         0         1 A     
      225         2         4         1         0         1 A     
      220         2         5         1         0         1 A     
      195         2         6         1         1         0 A     
      190         2         9         1         0         0 A     
      195         2        10         1         0         0 A     
      200         3         1         1         0         0 A     
      210         3         2         1         0         1 A     
      170         3         2         0         0         1 A     
      200         3         3         1         0         0 A     
      180         3         6         1         1         0 A     
      205         3        10         1         0         1 A     
      215         4         2         1         0         0 A     
      175         4         2         0         0         1 A     
      200         4         3         1         0         0 A     
      175         4         3         0         0         1 A     
      195         4         4         1         0         0 A     
      165         4         4         0         0         1 A     
      195         4         5         1         0         0 A     
      175         4         6         1         1         0 A     
      200         4         9         1         0         1 A     
      190         4        10         1         0         0 A     
      160         4        10         0         0         0 A     
      205         4        11         1         0         1 A     
      190         4        12         1         0         0 A     
      205         5         1         1         0         0 A     
      175         5         1         0         0         1 A     
      215         5         2         1         0         1 A     
      220         5         3         1         0         1 A     
      265         5         4         1         0         1 A     
      175         5         4         0         0         1 A     
      200         5         5         1         0         1 A     
      195         5         6         1         1         1 A     
      185         5         6         0         0         1 A     
      195         5         9         1         0         1 A     
      160         5         9         0         0         1 A     
      205         5        10         1         0         1 A     
      175         5        10         0         0         1 A     
      205         5        11         1         0         1 A     
      205         5        12         1         0         1 A     
      166         5        12         0         0         1 A     
      195         5        13         1         0         0 A     
      205         5        15         1         0         0 A     
      210         6         1         0         0         1 A     
      165         6         1         0         0         0 A     
      220         6         2         1         0         0 A     
      180         6         2         0         0         1 A     
      215         6         3         1         0         0 A     
      175         6         3         0         0         0 A     
      200         6         4         1         0         1 A     
      165         6         4         0         0         0 A     
      175         6         5         0         0         1 A     
      185         6         6         1         0         0 A     
      200         6         9         1         0         1 A     
      165         6         9         0         0         0 A     
      175         6        10         1         0         0 A     
      170         6        10         0         0         1 A     
      190         6        11         1         0         0 A     
      170         6        11         0         0         0 A     
      200         6        12         1         0         1 A     
      195         6        13         1         0         0 A     
      195         6        14         1         0         0 A     
      205         7         1         1         0         0 A     
      180         7         1         0         0         1 A     
      195         7         2         1         0         0 A     
      170         7         2         0         0         0 A     
      195         7         3         1         0         0 A     
      186         7         3         0         0         1 A     
      200         7         4         1         0         0 A     
      175         7         4         0         0         1 A     
      190         7         5         1         0         0 A     
      190         7         6         1         1         1 A     
      195         7         9         1         0         0 A     
      170         7         9         0         0         0 A     
      200         7        10         1         0         0 A     
      180         7        10         0         0         1 A     
      190         7        11         1         0         0 A     
      180         7        11         0         0         1 A     
      190         7        12         1         0         0 A     
      175         7        12         0         0         0 A     
      195         7        14         1         0         0 A     
      190         8         1         1         0         0 A     
      180         8         1         0         0         1 A     
      205         8         2         1         0         0 A     
      175         8         2         0         0         0 A     
      215         8         3         1         0         1 A     
      175         8         3         0         0         0 A     
      195         8         4         1         0         0 A     
      170         8         4         0         0         0 A     
      185         8         5         1         0         0 A     
      175         8         5         0         0         0 A     
      175         8         6         1         1         0 A     
      175         8         6         0         0         0 A     
      205         8         9         1         0         1 A     
      165         8         9         0         0         0 A     
      200         8        10         1         0         0 A     
      175         8        10         0         0         0 A     
      205         8        11         1         0         0 A     
      190         8        12         1         0         0 A     
      205         8        13         1         0         1 A     
      195         8        14         1         0         0 A     
      150         3        13         0         0         1 F     
      140         5         1         1         0         1 F     
      130         5         2         0         0         1 F     
      182         6         5         1         0         1 F     
      175         5         1         0         0         1 F     
      164         5        14         1         0         1 F     
      249         4         1         1         0         1 F     
      215         7        13         1         0         1 F     
      199         2        12         0         0         1 F     
      190         8         5         0         0         1 F     
      295         1        13         1         0         1 F     
      217         2        13         0         0         1 F     
      265         3        10         1         0         1 F     
      202         4         1         0         0         1 F     
      177         4         4         0         0         1 F     
      189         8        11         0         0         1 F     
      197         3        12         0         0         1 F     
      205         3         1         0         0         1 F     
      206         2        13         0         0         1 F     
      231         7         4         1         0         1 F     
      255         4        10         1         0         1 F     
      250         7        14         1         0         1 F     
      230         1        14         0         0         1 F     
      279         4        12         1         0         1 F     
      215         6         1         0         0         1 F     
      306         3        15         1         0         1 F     
      190         3         6         0         0         1 F     
