Station,Code,Latitude,Longitude,MeanWind
Valentia,VAL,51.93333333333333,-10.25,5.48
Belmullet,BEL,54.233333333333334,-10,6.75
Claremorris,CLA,53.71666666666667,-8.983333333333333,4.32
Shannon,SHA,52.7,-8.916666666666666,5.38
Roche's Point,RPT,51.8,-8.25,6.36
Birr,BIR,53.083333333333336,-7.883333333333333,3.65
Mullingar,MUL,53.53333333333333,-7.366666666666666,4.38
Malin Head,MAL,55.36666666666667,-7.333333333333333,8.03
Kilkenny,KIL,52.666666666666664,-7.266666666666667,3.25
Clones,CLO,54.18333333333333,-7.233333333333333,4.48
Dublin,DUB,53.43333333333333,-6.25,5.05
Roslare,ROS,52.266666666666666,-6.35,6
