"year" "snow" "rain" "winter.type"
1849 94.2 106.2 "rainy"
1850 97.4 85.4 "mixed"
1851 101 103 "mixed"
1852 154.3 44.5 "mixed"
1853 102.3 135.5 "mixed"
1854 121.4 86 "mixed"
1855 148.8 77.8 "snowy"
1856 134.4 47.7 "snowy"
1857 126.8 123.6 "mixed"
1858 101.3 111.8 "rainy"
 1859 89.5 91.5 "mixed"
1860 165.5 79.5 "snowy"
1861 162.3 73.3 "mixed"
1862 145.8 22.2 "snowy"
1863 134.6 115.7 "mixed"
1864 109.4 115.4 "mixed"
1865 149.5 84.5 "snowy"
 1866 82.4 78.9 "mixed"
1867 180.5 105.3 "mixed"
1868 155.3 37.2 "mixed"
1869 165.4 27.5 "snowy"
1870 123.5 166.2 "rainy"
1871 210.2 84.6 "mixed"
 1872 65.1 38.4 "snowy"
1873 223.1 38.2 "snowy"
1874 128.7 126.7 "mixed"
1875 133.6 13.4 "snowy"
1876 107.3 149.8 "mixed"
1877 133.9 1 "snowy"
 1878 70.4 100.6 "rainy"
1879 117.4 68.2 "mixed"
 1880 86.4 125.2 "rainy"
 1881 87.8 57 "snowy"
 1882 44.8 113.5 "rainy"
1883 145.4 60.2 "snowy"
1884 150.1 42.6 "snowy"
1885 119.8 80.5 "mixed"
1886 122.7 150.9 "mixed"
1887 159.5 82.3 "snowy"
 1888 86.4 92.3 "mixed"
1889 112.7 57.2 "mixed"
 1890 65.4 233.2 "rainy"
1891 104.9 92.2 "mixed"
 1892 87.1 83.5 "mixed"
1893 143.7 56 "mixed"
1894 107.2 109.9 "rainy"
1895 107.1 75.7 "mixed"
1896 141.1 166.6 "mixed"
 1897 63.4 69.4 "snowy"
1898 127.6 136.4 "rainy"
 1899 73.7 108.1 "mixed"
1900 125.3 120.6 "mixed"
 1901 85.5 35.5 "mixed"
1902 114.3 81.7 "mixed"
1903 103 93.6 "mixed"
1904 120.4 67.7 "mixed"
1905 120.4 36.4 "mixed"
 1906 35.8 87.2 "rainy"
1907 96.2 101.8 "rainy"
1908 165.4 122.1 "mixed"
1909 127.5 73.5 "snowy"
1910 141.8 96.8 "mixed"
1911 110.7 40.8 "mixed"
1912 116.4 74.7 "mixed"
 1913 63.6 124.7 "rainy"
1914 123.7 38 "snowy"
1915 129.9 72.1 "snowy"
1916 115.4 75.5 "mixed"
1917 93 57.1 "snowy"
1918 147.5 76.1 "snowy"
 1919 62 94.4 "rainy"
1920 125.7 1.4 "snowy"
 1921 69 59.8 "mixed"
 1922 72.4 99.4 "mixed"
1923 129.3 22.1 "snowy"
1924 160.9 123.2 "mixed"
1925 104.4 97.4 "mixed"
1926 114.8 47.2 "snowy"
1927 97.8 30.6 "snowy"
 1928 39.7 136.1 "rainy"
 1929 75.3 132.6 "rainy"
1930 118.8 82.4 "mixed"
1931 97.8 27.1 "snowy"
 1932 88.9 231.8 "rainy"
 1933 28.3 113.1 "rainy"
 1934 82.9 53.9 "mixed"
1935 109.9 91.1 "mixed"
1936 117 56.8 "snowy"
 1937 33.7 239.6 "rainy"
 1938 57.8 118.9 "rainy"
1939 136.3 69.9 "snowy"
 1940 76.6 44.6 "mixed"
 1941 81.2 116.8 "mixed"
 1942 61.9 78.4 "rainy"
1943 126 114 "mixed"
 1944 59 35.4 "rainy"
1945 168.8 37.4 "snowy"
1946 130 75.6 "mixed"
1947 109.9 79.5 "mixed"
1948 120.3 60.7 "snowy"
1949 94.8 116.1 "mixed"
1950 123.6 155.7 "rainy"
 1951 53.3 91.7 "rainy"
1952 136.2 74.5 "snowy"
 1953 44.5 71.4 "rainy"
 1954 88.8 79.2 "mixed"
 1955 91.2 71.9 "mixed"
1956 111.3 50.4 "snowy"
 1957 84.1 100.5 "mixed"
 1958 91.9 118.5 "mixed"
1959 117.1 74.5 "mixed"
1960 115.3 172.2 "mixed"
1961 103.6 18 "snowy"
 1962 58.7 69.1 "rainy"
 1963 78 37.1 "mixed"
1964 107.2 97.6 "mixed"
1965 92.9 88.1 "mixed"
1966 134.6 64.5 "mixed"
 1967 77.1 123.4 "mixed"
 1968 81.4 129 "rainy"
 1969 81.1 90.8 "mixed"
1970 106.2 86.5 "snowy"
1971 149 54.3 "snowy"
 1972 89.9 98.6 "mixed"
 1973 86.1 110.3 "rainy"
1974 118.2 114.3 "mixed"
 1975 45.9 114.3 "mixed"
1976 123.3 84 "snowy"
1977 140.2 13.6 "snowy"
1978 157.2 116.4 "mixed"
 1979 84.5 125.1 "rainy"
 1980 91.1 188.5 "rainy"
 1981 64.7 65.2 "mixed"
1982 103.7 90.1 "snowy"
 1983 88.3 123.4 "rainy"
1984 125.6 113.8 "mixed"
1985 97.6 68.7 "mixed"
 1986 64.8 46.4 "snowy"
1987 146.2 106.1 "mixed"
 1988 52.2 79.8 "rainy"
 1989 70.2 105.4 "rainy"
 1990 88.6 31.8 "mixed"
 1991 73 139.8 "mixed"
1992 105.4 51.1 "mixed"
1993 108.4 83.3 "mixed"
1994 92.4 61.6 "mixed"
 1995 62.4 178 "rainy"
 1996 77.6 140.4 "mixed"
 1997 89.4 147.8 "mixed"
 1998 87.4 50.5 "mixed"
1999 162.2 77.2 "mixed"
 2000 62 114 "mixed"
2001 99 62.2 "mixed"
 2002 66.2 82.4 "mixed"
 2003 84.6 29.5 "mixed"
2004 120.7 101.7 "mixed"
 2005 82 147.9 "rainy"
 2006 77.4 94.9 "mixed"
 2007 87.9 122.3 "rainy"
2008 96.6 154.6 "mixed"
2009 140.5 54 "snowy"
 2010 52.6 120.8 "rainy"
