xdrug,xshock,response
drug_yes,shock_yes,3
drug_yes,shock_yes,1
drug_yes,shock_yes,2
drug_yes,shock_yes,1
drug_yes,shock_yes,4
drug_yes,shock_yes,3
drug_yes,shock_yes,2
drug_yes,shock_yes,4
drug_yes,shock_yes,2
drug_yes,shock_yes,1
drug_yes,shock_yes,3
drug_yes,shock_yes,4
drug_yes,shock_yes,5
drug_yes,shock_yes,3
drug_yes,shock_yes,4
drug_yes,shock_yes,3
drug_yes,shock_no,2
drug_yes,shock_no,3
drug_yes,shock_no,4
drug_yes,shock_no,0
drug_yes,shock_no,2
drug_yes,shock_no,4
drug_yes,shock_no,2
drug_yes,shock_no,4
drug_yes,shock_no,5
drug_yes,shock_no,6
drug_yes,shock_no,2
drug_yes,shock_no,3
drug_yes,shock_no,5
drug_yes,shock_no,6
drug_yes,shock_no,2
drug_yes,shock_no,3
drug_no,shock_yes,1
drug_no,shock_yes,2
drug_no,shock_yes,2
drug_no,shock_yes,0
drug_no,shock_yes,1
drug_no,shock_yes,2
drug_no,shock_yes,3
drug_no,shock_yes,1
drug_no,shock_yes,0
drug_no,shock_yes,3
drug_no,shock_yes,1
drug_no,shock_yes,3
drug_no,shock_yes,2
drug_no,shock_yes,0
drug_no,shock_yes,1
drug_no,shock_yes,2
drug_no,shock_no,5
drug_no,shock_no,3
drug_no,shock_no,2
drug_no,shock_no,3
drug_no,shock_no,4
drug_no,shock_no,6
drug_no,shock_no,5
drug_no,shock_no,4
drug_no,shock_no,6
drug_no,shock_no,3
drug_no,shock_no,4
drug_no,shock_no,5
drug_no,shock_no,6
drug_no,shock_no,4
drug_no,shock_no,2
drug_no,shock_no,4
