bacon  4092  1190   337   770  1361  1267   580   220  1090   580  1215   520
buttr  1190 10449   758  1763  3063  3132  1274   498  2771  1404  1918  1229
tooth   337   758  2853   771   846  1201   831   196   993   386   640   574
deter   770  1763   771  6789  1653  2556  1256   403  2330   819  1255  1703
eggs   1361  3063   846  1653  9844  2999  1263   461  2546  1370  2113  1129
tissu  1267  3132  1201  2556  2999 13274  1911   658  4531  1422  2304  1628
soap    580  1274   831  1256  1263  1911  4510   347  1624   604  1007   802
analg   220   498   196   403   461   658   347  1647   607   221   367   275
towel  1090  2771   993  2330  2546  4531  1624   607 11219  1178  1970  1490
sugar   580  1404   386   819  1370  1422   604   221  1178  4224   889   535
htdog  1215  1918   640  1255  2113  2304  1007   367  1970   889  7552   908
sftnr   520  1229   574  1703  1129  1628   802   275  1490   535   908  4326
