egg_length bird_species
19.65 MeadowPipet
20.05 MeadowPipet
20.65 MeadowPipet
20.85 MeadowPipet
21.65 MeadowPipet
21.65 MeadowPipet
21.65 MeadowPipet
21.85 MeadowPipet
21.85 MeadowPipet
21.85 MeadowPipet
22.05 MeadowPipet
22.05 MeadowPipet
22.05 MeadowPipet
22.05 MeadowPipet
22.05 MeadowPipet
22.05 MeadowPipet
22.05 MeadowPipet
22.05 MeadowPipet
22.05 MeadowPipet
22.05 MeadowPipet
22.25 MeadowPipet
22.25 MeadowPipet
22.25 MeadowPipet
22.25 MeadowPipet
22.25 MeadowPipet
22.25 MeadowPipet
22.25 MeadowPipet
22.25 MeadowPipet
22.45 MeadowPipet
22.45 MeadowPipet
22.45 MeadowPipet
22.65 MeadowPipet
22.65 MeadowPipet
22.85 MeadowPipet
22.85 MeadowPipet
22.85 MeadowPipet
22.85 MeadowPipet
23.05 MeadowPipet
23.25 MeadowPipet
23.25 MeadowPipet
23.45 MeadowPipet
23.65 MeadowPipet
23.85 MeadowPipet
24.25 MeadowPipet
24.45 MeadowPipet
21.05 TreePipet
21.85 TreePipet
22.05 TreePipet
22.45 TreePipet
22.65 TreePipet
23.25 TreePipet
23.25 TreePipet
23.25 TreePipet
23.45 TreePipet
23.45 TreePipet
23.65 TreePipet
23.85 TreePipet
24.05 TreePipet
24.05 TreePipet
24.05 TreePipet
20.85 HedgeSparrow
21.65 HedgeSparrow
22.05 HedgeSparrow
22.85 HedgeSparrow
23.05 HedgeSparrow
23.05 HedgeSparrow
23.05 HedgeSparrow
23.05 HedgeSparrow
23.45 HedgeSparrow
23.85 HedgeSparrow
23.85 HedgeSparrow
23.85 HedgeSparrow
24.05 HedgeSparrow
25.05 HedgeSparrow
21.05 Robin
21.85 Robin
22.05 Robin
22.05 Robin
22.05 Robin
22.25 Robin
22.45 Robin
22.45 Robin
22.65 Robin
23.05 Robin
23.05 Robin
23.05 Robin
23.05 Robin
23.05 Robin
23.25 Robin
23.85 Robin
21.05 PiedWagtail
21.85 PiedWagtail
21.85 PiedWagtail
21.85 PiedWagtail
22.05 PiedWagtail
22.45 PiedWagtail
22.65 PiedWagtail
23.05 PiedWagtail
23.05 PiedWagtail
23.25 PiedWagtail
23.45 PiedWagtail
24.05 PiedWagtail
24.05 PiedWagtail
24.05 PiedWagtail
24.85 PiedWagtail
19.85 Wren
20.05 Wren
20.25 Wren
20.85 Wren
20.85 Wren
20.85 Wren
21.05 Wren
21.05 Wren
21.05 Wren
21.25 Wren
21.45 Wren
22.05 Wren
22.05 Wren
22.05 Wren
22.25 Wren
