"hard.work" "good.luck" "ability" "who.you.know" "performance" "office.politics" "adaptability" "service"
"1" 4 4 4 5 4 4 4 4
"2" 2 5 3 6 4 5 4 2
"3" 2 2 2 5 2 5 1 1
"4" 3 3 3 3 3 3 3 3
"5" 5 3 6 6 5 3 5 6
"6" 4 4 5 5 5 4 4 5
"7" 2 1 2 5 3 5 3 1
"8" 6 1 4 3 5 2 3 3
"9" 4 6 5 6 4 6 6 3
"10" 1 6 1 6 1 6 1 1
"11" 5 5 5 5 6 2 6 5
"12" 5 5 5 6 5 6 4 4
"13" 5 4 6 4 6 5 6 2
"14" 4 4 4 5 4 6 6 6
"16" 1 6 1 6 1 6 5 3
"17" 4 3 4 6 4 4 5 4
"18" 5 3 5 5 5 5 5 6
"19" 2 6 2 6 2 6 4 3
"21" 2 4 3 2 4 1 2 1
"22" 6 1 5 1 6 1 3 2
"23" 5 5 5 5 5 5 5 5
"24" 5 5 4 4 5 4 4 2
"25" 4 2 5 4 5 3 5 3
"26" 4 3 4 3 5 3 5 3
"27" 6 5 6 2 6 4 6 6
"28" 5 4 5 3 5 2 5 4
"29" 4 3 3 4 4 4 3 3
"30" 5 1 4 2 6 1 5 2
"31" 4 2 5 1 5 5 5 5
"32" 3 3 3 5 3 5 3 3
"33" 3 3 3 6 4 1 3 4
"34" 6 4 6 4 6 4 6 6
"35" 4 2 4 2 4 4 4 1
"36" 6 2 5 1 5 4 4 4
"37" 4 5 5 3 5 5 4 3
"38" 3 4 4 4 4 5 4 4
"39" 5 4 4 4 6 1 4 2
"40" 3 4 3 1 3 3 3 3
"41" 1 3 3 3 1 1 1 1
"42" 4 5 3 4 4 4 3 1
"44" 5 5 6 4 5 5 5 5
"45" 4 2 5 4 6 3 5 2
"46" 5 4 5 4 5 4 6 5
"47" 5 5 3 6 5 5 5 3
"48" 3 3 3 5 4 3 4 2
"49" 4 3 3 5 5 5 3 4
"50" 2 2 2 5 2 5 2 2
"51" 1 3 2 5 2 5 2 1
"52" 2 2 2 2 3 4 2 2
"53" 6 4 5 6 6 6 6 5
"54" 5 3 6 1 6 3 6 5
"55" 3 5 4 6 2 6 1 5
"56" 4 4 4 5 4 5 5 4
"57" 1 4 2 5 2 5 4 3
"58" 2 4 2 6 2 6 2 4
"60" 4 4 5 6 5 6 4 4
"61" 4 5 3 5 4 5 4 3
"62" 4 4 4 4 4 3 4 3
"63" 3 2 3 6 2 4 3 6
"64" 1 6 2 5 3 3 3 4
"65" 1 3 3 6 3 5 3 3
"66" 5 3 5 3 5 3 3 3
"67" 4 5 4 4 6 2 4 1
"68" 5 1 2 6 3 5 2 2
"69" 4 2 5 4 5 3 5 3
"70" 6 3 5 5 6 2 3 4
"71" 2 6 3 5 3 5 4 4
"72" 4 3 5 5 6 4 4 2
"73" 5 2 4 4 5 5 5 3
"74" 5 1 2 4 5 2 5 2
"75" 3 4 5 6 6 3 6 6
"76" 5 1 3 4 5 5 5 1
