Condition Rating
charismatic 1.6667
punitive 2.6667
punitive 2
charismatic 3
charismatic 1.6667
charismatic 2.3333
punitive 2
punitive 1.3333
punitive 1.6667
charismatic 4
punitive 2.3333
charismatic 2.3333
punitive 2.6667
punitive 2
punitive 1.6667
charismatic 2
charismatic 2.6667
charismatic 2.6667
charismatic 2.3333
punitive 1.3333
charismatic 3.3333
punitive 2.3333
punitive 2
charismatic 2.3333
punitive 2.3333
charismatic 2.3333
punitive 2.3333
punitive 2.3333
charismatic 2.6667
charismatic 3
charismatic 2.6667
charismatic 3
punitive 2.3333
charismatic 2
punitive 1.6667
charismatic 2.3333
punitive 3.6667
charismatic 2.6667
punitive 2.3333
charismatic 3
punitive 2.6667
charismatic 3.3333
charismatic 3
charismatic 2.6667
punitive 2
punitive 2.3333
punitive 2.3333
punitive 3.3333
charismatic 2.3333
