site,a,b,c,d,e,depth,pollution,temp,sediment
s1,0,2,9,14,2,72,4.8,3.5,s
s2,26,4,13,11,0,75,2.8,2.5,c
s3,0,10,9,8,0,59,5.4,2.7,c
s4,0,0,15,3,0,64,8.2,2.9,s
s5,13,5,3,10,7,61,3.9,3.1,c
s6,31,21,13,16,5,94,2.6,3.5,g
s7,9,6,0,11,2,53,4.6,2.9,s
s8,2,0,0,0,1,61,5.1,3.3,c
s9,17,7,10,14,6,68,3.9,3.4,c
s10,0,5,26,9,0,69,10.0,3.0,s
s11,0,8,8,6,7,57,6.5,3.3,c
s12,14,11,13,15,0,84,3.8,3.1,s
s13,0,0,19,0,6,53,9.4,3.0,s
s14,13,0,0,9,0,83,4.7,2.5,c
s15,4,0,10,12,0,100,6.7,2.8,c
s16,42,20,0,3,6,84,2.8,3.0,g
s17,4,0,0,0,0,96,6.4,3.1,c
s18,21,15,33,20,0,74,4.4,2.8,g
s19,2,5,12,16,3,79,3.1,3.6,s
s20,0,10,14,9,0,73,5.6,3.0,s
s21,8,0,0,4,6,59,4.3,3.4,c
s22,35,10,0,9,17,54,1.9,2.8,s
s23,6,7,1,17,10,95,2.4,2.9,g
s24,18,12,20,7,0,64,4.3,3.0,c
s25,32,26,0,23,0,97,2.0,3.0,g
s26,32,21,0,10,2,78,2.5,3.4,s
s27,24,17,0,25,6,85,2.1,3.0,g
s28,16,3,12,20,2,92,3.4,3.3,g
s29,11,0,7,8,0,51,6.0,3.0,s
s30,24,37,5,18,1,99,1.9,2.9,g
