recipe,batch,temp,breakang
R1,B1,175C,42
R1,B1,185C,46
R1,B1,195C,47
R1,B1,205C,39
R1,B1,215C,53
R1,B1,225C,42
R1,B2,175C,47
R1,B2,185C,29
R1,B2,195C,35
R1,B2,205C,47
R1,B2,215C,57
R1,B2,225C,45
R1,B3,175C,32
R1,B3,185C,32
R1,B3,195C,37
R1,B3,205C,43
R1,B3,215C,45
R1,B3,225C,45
R1,B4,175C,26
R1,B4,185C,32
R1,B4,195C,35
R1,B4,205C,24
R1,B4,215C,39
R1,B4,225C,26
R1,B5,175C,28
R1,B5,185C,30
R1,B5,195C,31
R1,B5,205C,37
R1,B5,215C,41
R1,B5,225C,47
R1,B6,175C,24
R1,B6,185C,22
R1,B6,195C,22
R1,B6,205C,29
R1,B6,215C,35
R1,B6,225C,26
R1,B7,175C,26
R1,B7,185C,23
R1,B7,195C,25
R1,B7,205C,27
R1,B7,215C,33
R1,B7,225C,35
R1,B8,175C,24
R1,B8,185C,33
R1,B8,195C,23
R1,B8,205C,32
R1,B8,215C,31
R1,B8,225C,34
R1,B9,175C,24
R1,B9,185C,27
R1,B9,195C,28
R1,B9,205C,33
R1,B9,215C,34
R1,B9,225C,23
R1,B10,175C,24
R1,B10,185C,33
R1,B10,195C,27
R1,B10,205C,31
R1,B10,215C,30
R1,B10,225C,33
R1,B11,175C,33
R1,B11,185C,39
R1,B11,195C,33
R1,B11,205C,28
R1,B11,215C,33
R1,B11,225C,30
R1,B12,175C,28
R1,B12,185C,31
R1,B12,195C,27
R1,B12,205C,39
R1,B12,215C,35
R1,B12,225C,43
R1,B13,175C,29
R1,B13,185C,28
R1,B13,195C,31
R1,B13,205C,29
R1,B13,215C,37
R1,B13,225C,33
R1,B14,175C,24
R1,B14,185C,40
R1,B14,195C,29
R1,B14,205C,40
R1,B14,215C,40
R1,B14,225C,31
R1,B15,175C,26
R1,B15,185C,28
R1,B15,195C,32
R1,B15,205C,25
R1,B15,215C,37
R1,B15,225C,33
R2,B1,175C,39
R2,B1,185C,46
R2,B1,195C,51
R2,B1,205C,49
R2,B1,215C,55
R2,B1,225C,42
R2,B2,175C,35
R2,B2,185C,46
R2,B2,195C,47
R2,B2,205C,39
R2,B2,215C,52
R2,B2,225C,61
R2,B3,175C,34
R2,B3,185C,30
R2,B3,195C,42
R2,B3,205C,35
R2,B3,215C,42
R2,B3,225C,35
R2,B4,175C,25
R2,B4,185C,26
R2,B4,195C,28
R2,B4,205C,46
R2,B4,215C,37
R2,B4,225C,37
R2,B5,175C,31
R2,B5,185C,30
R2,B5,195C,29
R2,B5,205C,35
R2,B5,215C,40
R2,B5,225C,36
R2,B6,175C,24
R2,B6,185C,29
R2,B6,195C,29
R2,B6,205C,29
R2,B6,215C,24
R2,B6,225C,35
R2,B7,175C,22
R2,B7,185C,25
R2,B7,195C,26
R2,B7,205C,26
R2,B7,215C,29
R2,B7,225C,36
R2,B8,175C,26
R2,B8,185C,23
R2,B8,195C,24
R2,B8,205C,31
R2,B8,215C,27
R2,B8,225C,37
R2,B9,175C,27
R2,B9,185C,26
R2,B9,195C,32
R2,B9,205C,28
R2,B9,215C,32
R2,B9,225C,33
R2,B10,175C,21
R2,B10,185C,24
R2,B10,195C,24
R2,B10,205C,27
R2,B10,215C,37
R2,B10,225C,30
R2,B11,175C,20
R2,B11,185C,27
R2,B11,195C,33
R2,B11,205C,31
R2,B11,215C,28
R2,B11,225C,33
R2,B12,175C,23
R2,B12,185C,28
R2,B12,195C,31
R2,B12,205C,34
R2,B12,215C,31
R2,B12,225C,29
R2,B13,175C,32
R2,B13,185C,35
R2,B13,195C,30
R2,B13,205C,27
R2,B13,215C,35
R2,B13,225C,30
R2,B14,175C,23
R2,B14,185C,25
R2,B14,195C,22
R2,B14,205C,19
R2,B14,215C,21
R2,B14,225C,35
R2,B15,175C,21
R2,B15,185C,21
R2,B15,195C,28
R2,B15,205C,26
R2,B15,215C,27
R2,B15,225C,20
R3,B1,175C,46
R3,B1,185C,44
R3,B1,195C,45
R3,B1,205C,46
R3,B1,215C,48
R3,B1,225C,63
R3,B2,175C,43
R3,B2,185C,43
R3,B2,195C,43
R3,B2,205C,46
R3,B2,215C,47
R3,B2,225C,58
R3,B3,175C,33
R3,B3,185C,24
R3,B3,195C,40
R3,B3,205C,37
R3,B3,215C,41
R3,B3,225C,38
R3,B4,175C,38
R3,B4,185C,41
