age gender survived
23 male no
40 female yes
40 male yes
30 male no
28 male no
40 male no
45 female no
62 male no
65 male no
45 female no
25 female no
28 male yes
28 male no
23 male no
22 female yes
23 female yes
28 male yes
15 female yes
47 female no
57 male no
20 female yes
18 male yes
25 male no
60 male no
25 male yes
20 male yes
32 male yes
32 female yes
24 female yes
30 male yes
15 male no
50 female no
21 female yes
25 male no
46 male yes
32 female yes
30 male no
25 male no
25 male no
25 male no
30 male no
35 male no
23 male yes
24 male no
25 female yes
