Player,Position,Age,Games,Goals,Assists,Points,PlusMinus,PenMins,MinPerGame,Forward
Chris Tierney,C,24,81,9,39,48,-22,26,17,yes
Magnus Paajarvi,LW,27,80,11,8,19,-14,6,13.5,yes
Bobby Ryan,LW,31,78,15,27,42,-29,35,15.7,yes
Dylan DeMelo,D,25,77,4,18,22,-1,32,19.3,no
Cody Ceci,D,25,74,7,19,26,-22,18,22.6,no
Brady Tkachuk,LW,19,71,22,23,45,-10,75,16,yes
Colin White,C,22,71,14,27,41,-24,24,16.2,yes
Mikkel Boedker,RW,29,71,7,28,35,-23,6,14,yes
Thomas Chabot,D,22,70,14,41,55,-12,32,24.3,no
Zack Smith,C,30,70,9,19,28,-6,81,16.4,yes
Christian Jaros,D,22,61,1,9,10,-14,27,14.4,no
Mark Stone,RW,26,59,28,34,62,13,22,20.6,yes
Ryan Dzingel,C,26,57,22,22,44,-13,29,17.8,yes
Maxime Lajoie,D,21,56,7,8,15,-25,20,18.9,no
Mark Borowiecki,D,29,53,1,4,5,-12,89,15.6,no
Ben Harpur,D,24,51,1,4,5,-13,56,17.6,no
Matt Duchene,C,28,50,27,31,58,-2,6,19.2,yes
Jean-Gabriel Pageau,C,26,39,4,8,12,-12,14,17.8,yes
Tom Pyatt,C,31,37,0,2,2,-16,2,11.7,yes
Rudolfs Balcers,LW,21,36,5,9,14,-7,10,12.4,yes
Christian Wolanin,D,23,30,4,8,12,3,6,17.3,no
Anthony Duclair,LW,23,21,8,6,14,1,2,13.7,yes
Brian Gibbons,C,30,20,6,8,14,3,4,12.2,yes
Drake Batherson,C,20,20,3,6,9,-2,6,13.4,yes
Oscar Lindberg,C,27,20,5,3,8,1,4,13.2,yes
Nick Paul,LW,23,20,1,1,2,-10,4,8.5,yes
