epi_1 epi_2 epi_3 epi_4 location child
89.5724528256692 253.002499581718 213.867155772294 209.469320828972 1 1
-55.5026861420143 -1.44893478498295 26.0415990709122 258.689187691239 1 2
200.577773524154 280.436231710724 264.661773174326 174.430887970231 1 3
448.140792423901 348.796678334462 386.092954414972 224.572426962887 1 4
-4.59959805786085 314.535597085474 330.899377781479 333.21188764473 1 5
231.380069961067 237.381580806464 488.02448693021 319.176155751224 1 6
226.939291189371 469.194742926431 382.495816066619 359.446123536786 1 7
335.880015282692 280.19390162835 362.150649748713 471.560906331098 1 8
16.7672253148079 190.487107963226 90.8847504532241 145.423647577432 1 9
54.4563337303085 358.674093128674 453.754801154826 199.400414909968 1 10
224.038051124877 367.172924021781 361.957903491311 399.278468522219 1 11
248.708380536356 304.88098870733 441.726397122509 369.282686304377 1 12
238.325032463835 364.85861714868 214.708035820499 66.9475574558799 1 13
351.050659378582 502.405254956174 527.275375142525 368.466207185346 1 14
160.100734105694 537.642699480112 330.871737944791 332.688321520747 1 15
391.816572350907 512.167815650768 358.769401154929 633.702896297136 1 16
302.876620899423 296.368968718764 343.044278832085 471.758554155996 1 17
388.238959896487 187.456191533776 552.426002571755 342.061952208295 1 18
300.137351979691 355.828545566531 209.362737624218 428.501803248291 1 19
156.274159740375 196.633295760386 0.480003236969139 277.888528730162 1 20
165.657042279469 209.08790948252 150.374079621533 20.2454470155162 1 21
156.161261602614 86.1515054080471 -19.7110598306767 196.65710047784 1 22
338.001616754623 324.799985997138 432.649386562204 570.312080072195 1 23
240.947723130662 411.259524845031 220.668670924709 228.799082523867 1 24
70.7410316765098 223.690971796404 258.769999656864 109.432010535056 1 25
496.403657742859 391.196879899829 322.471794497707 472.620864255118 1 26
265.817577534316 241.682867340567 447.395580047634 328.949712609267 1 27
143.355921915964 435.780234737662 443.965316609834 378.020086864517 1 28
358.583408280096 552.937425772177 474.264293956798 302.334601938346 1 29
139.977479508941 365.059792409813 262.67153709366 143.295035360786 1 30
156.980756895618 313.908292390827 148.736471764453 214.139098256162 1 31
294.747786003431 338.601017633041 407.687271441645 433.758322417763 1 32
-172.014492150594 85.6278191885959 89.3969501537478 108.562081489076 1 33
362.791114932516 233.276623325474 330.735938215086 373.746782705556 1 34
291.434396425233 505.734132404715 309.207804514189 464.386973941642 1 35
263.864656418189 349.920749635065 556.168882754325 393.383451699912 1 36
157.278845271479 135.066917778274 260.750400246072 -87.3086170400944 1 37
291.852732730915 410.811095765108 478.425159320641 333.973498873283 1 38
195.434471065286 189.228445712939 102.17186294415 39.4874442839915 1 39
111.785473066698 215.16616359666 257.029538605988 330.538570208727 1 40
387.787777647297 361.253815704775 278.422756464157 458.425692855282 1 41
375.299386860888 250.096775177151 449.454652587702 369.572152031459 1 42
175.842285161061 336.537313770724 500.637726731523 216.767716326635 1 43
444.607999509968 561.436660213063 798.407635976649 642.028386834576 1 44
150.390383865391 389.357336161881 633.495074776035 209.126192471023 1 45
324.81871800375 251.761265360786 244.817630884421 313.574958958534 1 46
248.736108378972 306.990000891437 171.661939629601 233.12817928307 1 47
