Area,Water,Work,birth_type,n
Cardiff,110,NonManual,NoCNS,4091
Cardiff,110,NonManual,An,5
Cardiff,110,NonManual,Sp,9
Cardiff,110,NonManual,Other,5
Newport,100,NonManual,NoCNS,1515
Newport,100,NonManual,An,1
Newport,100,NonManual,Sp,7
Newport,100,NonManual,Other,0
Swansea,95,NonManual,NoCNS,2394
Swansea,95,NonManual,An,9
Swansea,95,NonManual,Sp,5
Swansea,95,NonManual,Other,0
GlamorganE,42,NonManual,NoCNS,3163
GlamorganE,42,NonManual,An,9
GlamorganE,42,NonManual,Sp,14
GlamorganE,42,NonManual,Other,3
GlamorganW,39,NonManual,NoCNS,1979
GlamorganW,39,NonManual,An,5
GlamorganW,39,NonManual,Sp,10
GlamorganW,39,NonManual,Other,1
GlamorganC,161,NonManual,NoCNS,4838
GlamorganC,161,NonManual,An,11
GlamorganC,161,NonManual,Sp,12
GlamorganC,161,NonManual,Other,2
MonmouthV,83,NonManual,NoCNS,2362
MonmouthV,83,NonManual,An,6
MonmouthV,83,NonManual,Sp,8
MonmouthV,83,NonManual,Other,4
MonmouthOther,122,NonManual,NoCNS,1604
MonmouthOther,122,NonManual,An,3
MonmouthOther,122,NonManual,Sp,6
MonmouthOther,122,NonManual,Other,0
Cardiff,110,Manual,NoCNS,9424
Cardiff,110,Manual,An,31
Cardiff,110,Manual,Sp,33
Cardiff,110,Manual,Other,14
Newport,100,Manual,NoCNS,4610
Newport,100,Manual,An,3
Newport,100,Manual,Sp,15
Newport,100,Manual,Other,6
Swansea,95,Manual,NoCNS,5526
Swansea,95,Manual,An,19
Swansea,95,Manual,Sp,30
Swansea,95,Manual,Other,4
GlamorganE,42,Manual,NoCNS,13217
GlamorganE,42,Manual,An,55
GlamorganE,42,Manual,Sp,71
GlamorganE,42,Manual,Other,19
GlamorganW,39,Manual,NoCNS,8195
GlamorganW,39,Manual,An,30
GlamorganW,39,Manual,Sp,44
GlamorganW,39,Manual,Other,10
GlamorganC,161,Manual,NoCNS,7803
GlamorganC,161,Manual,An,25
GlamorganC,161,Manual,Sp,28
GlamorganC,161,Manual,Other,12
MonmouthV,83,Manual,NoCNS,9962
MonmouthV,83,Manual,An,36
MonmouthV,83,Manual,Sp,37
MonmouthV,83,Manual,Other,13
MonmouthOther,122,Manual,NoCNS,3172
MonmouthOther,122,Manual,An,8
MonmouthOther,122,Manual,Sp,13
MonmouthOther,122,Manual,Other,3
