"S" "y" "treatment"
"1" 28 36.8 "A"
"2" 54 55.2 "A"
"3" 31 59.9 "A"
"4" 63 75.5 "A"
"5" 75 91.3 "A"
"6" 58 56.7 "A"
"7" 79 98.1 "A"
"8" 31 57.7 "A"
"9" 25 31.8 "A"
"10" 18 23.2 "A"
"11" 70 79.6 "A"
"12" 38 32.5 "A"
"13" 36 44.6 "A"
"14" 38 27.5 "A"
"15" 47 61.2 "A"
"16" 54 68.8 "A"
"17" 59 40.5 "A"
"18" 45 67 "A"
"19" 41 53.5 "A"
"20" 10 26.9 "A"
"21" 26 45.4 "A"
"22" 11 31.3 "A"
"23" 79 95.5 "A"
"24" 50 59.6 "A"
"25" 52 71.1 "A"
"26" 42 55.3 "A"
"27" 65 66.7 "A"
"28" 36 66.8 "A"
"29" 43 48.2 "A"
"30" 13 22.6 "A"
"31" 35 80.8 "B"
"32" 27 64.5 "B"
"33" 43 82.8 "B"
"34" 71 121.2 "B"
"35" 25 60.3 "B"
"36" 24 50.2 "B"
"37" 36 80 "B"
"38" 68 104.1 "B"
"39" 16 60.6 "B"
"40" 35 84.8 "B"
"41" 12 45.9 "B"
"42" 22 74.5 "B"
"43" 51 85.6 "B"
"44" 71 115.7 "B"
"45" 24 61.6 "B"
"46" 64 89.7 "B"
"47" 17 53.2 "B"
"48" 70 113.9 "B"
"49" 32 58 "B"
"50" 52 89.3 "B"
"51" 41 102.2 "B"
"52" 22 41.5 "B"
"53" 31 62.7 "B"
"54" 66 101.5 "B"
"55" 60 100.3 "B"
"56" 25 44.8 "B"
"57" 13 55 "B"
"58" 69 115.4 "B"
"59" 76 118.4 "B"
"60" 12 25.2 "B"
"61" 33 79.6 "C"
"62" 12 37 "C"
"63" 26 57.6 "C"
"64" 43 98.3 "C"
"65" 34 76.7 "C"
"66" 78 148.8 "C"
"67" 71 122.8 "C"
"68" 71 126.9 "C"
"69" 60 107.9 "C"
"70" 24 65.9 "C"
"71" 54 121.5 "C"
"72" 47 104.4 "C"
"73" 14 53.8 "C"
"74" 21 64.6 "C"
"75" 36 90.6 "C"
"76" 68 133.1 "C"
"77" 66 115.5 "C"
"78" 16 38.1 "C"
"79" 58 126.2 "C"
"80" 15 42.9 "C"
"81" 67 116.1 "C"
"82" 39 62.9 "C"
"83" 79 142.9 "C"
"84" 15 83.8 "C"
"85" 42 92.9 "C"
"86" 52 115.8 "C"
"87" 61 135.2 "C"
"88" 44 99.8 "C"
"89" 17 68.8 "C"
"90" 56 117.1 "C"
