incomegp,house,children,singpar,agegp,bankacc,bsocacc,manage,ccarduse,cigbuy,xmasbuy,locintrn,prodebt
2,3,1,0,2,1,NA,5,2,1,1,2.829999924,2.710000038
5,2,3,0,2,1,NA,4,3,0,1,4.829999924,3.880000114
1,1,0,0,3,NA,NA,2,2,0,0,3.829999924,3.0599999430000002
3,3,0,0,4,1,0,5,2,0,1,4.829999924,4.2899999620000004
5,2,2,0,2,1,0,5,3,0,1,3.170000076,3.819999933
3,3,0,0,4,1,0,4,2,0,1,3.829999924,3.0599999430000002
4,2,0,0,2,1,0,5,2,0,1,2.829999924,2.880000114
1,1,0,0,4,1,0,5,1,0,1,4.670000076,NA
2,3,0,0,4,1,0,5,NA,0,0,NA,NA
1,3,0,0,4,1,NA,5,2,0,1,NA,NA
1,3,0,0,3,1,NA,5,2,0,1,4.829999924,3.75999999
4,2,0,0,2,1,0,4,2,0,1,5.329999924,3.589999914
2,1,1,0,4,1,0,4,1,0,0,4.329999924,3.289999962
4,2,0,0,3,1,NA,2,3,0,1,3.829999924,4.2899999620000004
2,3,0,0,4,1,0,5,1,0,1,4.329999924,2.470000029
2,3,0,0,4,1,0,5,1,0,1,4.329999924,2.6500000950000002
1,2,1,1,1,NA,0,5,1,NA,NA,4.329999924,3.289999962
5,NA,0,0,4,1,NA,1,3,0,1,4,5.179999828
2,3,2,0,4,0,1,4,2,0,1,3.329999924,3.6500000950000002
5,3,0,0,4,1,0,5,3,0,1,NA,2.75999999
NA,1,1,0,2,1,1,5,1,0,1,4.829999924,3.9400000570000002
2,2,2,1,3,1,0,4,1,1,1,4.170000076,3.470000029
1,3,2,0,2,0,0,4,1,1,1,4.329999924,1.75999999
3,2,1,0,1,0,1,4,1,1,1,4.170000076,3.180000067
5,2,0,0,3,0,1,4,1,0,0,3.5,NA
2,2,2,0,3,0,1,4,1,0,1,3.670000076,3.819999933
1,1,2,1,2,0,1,5,1,0,1,4.829999924,4.349999905
2,2,5,0,2,0,1,NA,1,1,1,3.329999924,3.470000029
1,2,2,0,3,0,0,3,NA,1,0,3.170000076,2.710000038
2,2,2,1,2,1,0,2,2,0,1,4.170000076,3.880000114
4,2,0,0,3,1,1,4,3,0,1,4.329999924,3.589999914
1,1,2,0,2,NA,NA,2,NA,1,1,NA,4.590000153
NA,2,3,0,2,1,0,4,1,0,1,5.329999924,3.6500000950000002
1,1,0,0,1,1,0,3,1,0,0,2.829999924,2.9400000570000002
NA,1,2,1,1,NA,NA,4,1,0,1,2.670000076,3
2,2,4,0,2,1,0,4,NA,1,1,4.170000076,2.470000029
4,1,3,0,1,1,1,4,1,1,NA,4.170000076,NA
2,2,1,0,2,1,0,3,1,1,1,4.829999924,3.119999886
4,1,1,0,3,1,0,4,NA,1,1,NA,3.6500000950000002
NA,1,3,0,1,1,0,5,1,0,1,4.670000076,3.0599999430000002
3,2,3,0,2,1,0,5,3,1,1,4,NA
