team,league,runs
Baltimore,American,782
Boston,American,845
Chicago White Sox,American,811
Cleveland,American,805
Detroit,American,821
Kansas City,American,691
Los Angeles Angels,American,765
Minnesota,American,829
New York Yankees,American,789
Oakland,American,646
Seattle,American,671
Tampa Bay,American,774
Texas,American,901
Toronto,American,714
Arizona,National,720
Atlanta,National,753
Chicago Cubs,National,855
Cincinnati,National,704
Colorado,National,747
Florida,National,770
Houston,National,712
Los Angeles Dodgers,National,700
Milwaukee,National,750
New York Mets,National,799
Philadelphia,National,799
Pittsburgh,National,735
San Diego,National,637
San Francisco,National,640
St Louis,National,779
Washington,National,641
