id "context" "words"
"1" "same" 25
"2" "same" 26
"3" "same" 17
"4" "same" 15
"5" "same" 14
"6" "same" 17
"7" "same" 14
"8" "same" 20
"9" "same" 11
"10" "same" 21
"11" "different" 11
"12" "different" 21
"13" "different" 9
"14" "different" 6
"15" "different" 7
"16" "different" 14
"17" "different" 12
"18" "different" 4
"19" "different" 7
"20" "different" 19
"21" "imaginary" 14
"22" "imaginary" 15
"23" "imaginary" 29
"24" "imaginary" 10
"25" "imaginary" 12
"26" "imaginary" 22
"27" "imaginary" 14
"28" "imaginary" 24
"29" "imaginary" 22
"30" "imaginary" 12
"31" "photograph" 11
"32" "photograph" 15
"33" "photograph" 23
"34" "photograph" 21
"35" "photograph" 18
"36" "photograph" 24
"37" "photograph" 14
"38" "photograph" 27
"39" "photograph" 12
"40" "photograph" 11
"41" "placebo" 8
"42" "placebo" 20
"43" "placebo" 10
"44" "placebo" 7
"45" "placebo" 15
"46" "placebo" 7
"47" "placebo" 1
"48" "placebo" 17
"49" "placebo" 11
"50" "placebo" 4
