id,date,code,text
232,2016-09-08,HAU,Toronto's Medical Officer of Health has upgraded the Heat Warning to an Extended Heat Warning
231,2016-09-07,HAE,Toronto's Medical Officer of Health has continued the Heat Warning for today
230,2016-09-06,HA,Toronto's Medical Officer of Health has issued a Heat Warning
228,2016-08-13,EHAE,Toronto's Medical Officer of Health has continued the Extended Heat Warning for today
227,2016-08-12,EHAE,Toronto's Medical Officer of Health has continued the Extended Heat Warning for today
226,2016-08-11,HAU,Toronto's Medical Officer of Health has upgraded the Heat Warning to an Extended Heat Warning
225,2016-08-10,HAE,Toronto's Medical Officer of Health has continued the Heat Warning for today
224,2016-08-09,HA,Toronto's Medical Officer of Health has issued a Heat Warning
222,2016-08-05,HAE,Toronto's Medical Officer of Health has continued the Heat Warning for today
221,2016-08-04,HA,Toronto's Medical Officer of Health has issued a Heat Warning
219,2016-07-24,EHAE,Toronto's Medical Officer of Health has continued the Extended Heat Warning for today
218,2016-07-23,HAU,Toronto's Medical Officer of Health has upgraded the Heat Warning to an Extended Heat Warning
217,2016-07-22,HAE,Toronto's Medical Officer of Health has continued the Heat Warning for today
216,2016-07-21,HA,Toronto's Medical Officer of Health has issued a Heat Warning
214,2016-07-14,HAU,Toronto's Medical Officer of Health has upgraded the Heat Warning to an Extended Heat Warning
213,2016-07-13,HAE,Toronto's Medical Officer of Health has continued the Heat Warning for today
212,2016-07-12,HA,Toronto's Medical Officer of Health has issued a Heat Warning
210,2016-07-07,EHA,Toronto's Medical Officer of Health has issued an Extended Heat Warning
209,2016-07-06,HAE,Toronto's Medical Officer of Health has continued the Heat Warning for today
208,2016-07-05,HA,Toronto's Medical Officer of Health has issued a Heat Warning
206,2016-06-20,HAE,Toronto's Medical Officer of Health has continued the Heat Warning for today
205,2016-06-19,HA,Toronto's Medical Officer of Health has issued a Heat Warning
203,2015-09-08,EHAE,Toronto's Medical Officer of Health has continued the Extended Heat Warning for today
202,2015-09-07,HAU,Toronto's Medical Officer of Health has upgraded the Heat Warning to an Extended Heat Warning
201,2015-09-06,HAE,Toronto's Medical Officer of Health has continued the Heat Warning for today
200,2015-09-05,HA,Toronto's Medical Officer of Health has issued a Heat Warning
198,2015-08-17,HAE,Toronto's Medical Officer of Health has continued the Heat Warning for today
197,2015-08-16,HA,Toronto's Medical Officer of Health has issued a Heat Warning
195,2015-07-30,EHAE,Toronto's Medical Officer of Health has continued the Extended Heat Warning for today
194,2015-07-29,HAU,Toronto's Medical Officer of Health has upgraded the Heat Warning to an Extended Heat Warning
