feet,inch,lbs,months,sex,meters,ht
5,4,115,245,f,NA,64
5,5,148,266,f,NA,65
5,4,150,288,f,NA,64
NA,NA,128,252,f,1.65,NA
5,7,128,273,f,NA,67
5,8,160,227,f,NA,68
6,0,220,288,m,NA,72
6,0,195,248,m,NA,72
4,11,108,255,f,NA,59
5,5,170,240,f,NA,65
5,6,120,224,m,NA,66
5,7.75,182,233,f,NA,67.75
5,5,125,218,f,NA,65
5,4,125,243,f,NA,64
5,5,125,324,f,NA,65
5,2,140,264,m,NA,62
5,6,150,233,m,NA,66
5,2,124,276,f,NA,62
5,5,125,288,m,NA,65
5,6,145,252,m,NA,66
5,9,190,288,m,NA,69
6,2,160,240,m,NA,74
6,0,160,246,m,NA,72
6,0,189,257,m,NA,72
5,7,125,231,f,NA,67
5,2,195,236,f,NA,62
6,3,175,238,NA,NA,75
5,3,115,240,f,NA,63
5,6,165,230,f,NA,66
5,4,170,216,f,NA,64
5,2,143,252,f,NA,62
6,0,160,236,m,NA,72
6,3,190,232,m,NA,75
5,6,139,237,f,NA,66
5,8,168,276,m,NA,68
5,4,110,228,f,NA,64
5,6,120,241,f,NA,66
5,2,110,337,f,NA,62
6,1,175,264,m,NA,73
