Year,Site,Transect,Temp,ObservCond,Bay,ObservCondFactor3,bird,count
1986,10,101,4.5,Good,Uyak,Good,BAGO,0
1986,10,101,4.5,Good,Uyak,Good,BLSC,0
1986,10,101,4.5,Good,Uyak,Good,COME,0
1986,10,101,4.5,Good,Uyak,Good,COMU,11
1986,10,101,4.5,Good,Uyak,Good,CORM,0
1986,10,101,4.5,Good,Uyak,Good,HADU,0
1986,10,101,4.5,Good,Uyak,Good,HOGR,0
1986,10,101,4.5,Good,Uyak,Good,LOON,1
1986,10,101,4.5,Good,Uyak,Good,MAMU,4
1986,10,101,4.5,Good,Uyak,Good,OLDS,5
1986,10,101,4.5,Good,Uyak,Good,PIGU,0
1986,10,101,4.5,Good,Uyak,Good,RBME,0
1986,10,101,4.5,Good,Uyak,Good,RNGR,0
1986,10,101,4.5,Good,Uyak,Good,SUSC,0
1986,10,101,4.5,Good,Uyak,Good,WWSC,0
1987,10,101,4.8,Excellent,Uyak,ExcellentIdeal,BAGO,0
1987,10,101,4.8,Excellent,Uyak,ExcellentIdeal,BLSC,0
1987,10,101,4.8,Excellent,Uyak,ExcellentIdeal,COME,0
1987,10,101,4.8,Excellent,Uyak,ExcellentIdeal,COMU,14
1987,10,101,4.8,Excellent,Uyak,ExcellentIdeal,CORM,1
1987,10,101,4.8,Excellent,Uyak,ExcellentIdeal,HADU,0
1987,10,101,4.8,Excellent,Uyak,ExcellentIdeal,HOGR,0
1987,10,101,4.8,Excellent,Uyak,ExcellentIdeal,LOON,22
1987,10,101,4.8,Excellent,Uyak,ExcellentIdeal,MAMU,6
1987,10,101,4.8,Excellent,Uyak,ExcellentIdeal,OLDS,0
1987,10,101,4.8,Excellent,Uyak,ExcellentIdeal,PIGU,0
1987,10,101,4.8,Excellent,Uyak,ExcellentIdeal,RBME,0
1987,10,101,4.8,Excellent,Uyak,ExcellentIdeal,RNGR,0
1987,10,101,4.8,Excellent,Uyak,ExcellentIdeal,SUSC,0
1987,10,101,4.8,Excellent,Uyak,ExcellentIdeal,WWSC,3
1988,10,101,4.5,Excellent,Uyak,ExcellentIdeal,BAGO,0
1988,10,101,4.5,Excellent,Uyak,ExcellentIdeal,BLSC,0
1988,10,101,4.5,Excellent,Uyak,ExcellentIdeal,COME,0
1988,10,101,4.5,Excellent,Uyak,ExcellentIdeal,COMU,1
1988,10,101,4.5,Excellent,Uyak,ExcellentIdeal,CORM,0
1988,10,101,4.5,Excellent,Uyak,ExcellentIdeal,HADU,0
1988,10,101,4.5,Excellent,Uyak,ExcellentIdeal,HOGR,0
1988,10,101,4.5,Excellent,Uyak,ExcellentIdeal,LOON,0
1988,10,101,4.5,Excellent,Uyak,ExcellentIdeal,MAMU,3
1988,10,101,4.5,Excellent,Uyak,ExcellentIdeal,OLDS,1
1988,10,101,4.5,Excellent,Uyak,ExcellentIdeal,PIGU,0
1988,10,101,4.5,Excellent,Uyak,ExcellentIdeal,RBME,0
1988,10,101,4.5,Excellent,Uyak,ExcellentIdeal,RNGR,0
1988,10,101,4.5,Excellent,Uyak,ExcellentIdeal,SUSC,0
1988,10,101,4.5,Excellent,Uyak,ExcellentIdeal,WWSC,0
1989,10,101,2.7,Excellent,Uyak,ExcellentIdeal,BAGO,0
1989,10,101,2.7,Excellent,Uyak,ExcellentIdeal,BLSC,0
1989,10,101,2.7,Excellent,Uyak,ExcellentIdeal,COME,0
1989,10,101,2.7,Excellent,Uyak,ExcellentIdeal,COMU,17
1989,10,101,2.7,Excellent,Uyak,ExcellentIdeal,CORM,0
1989,10,101,2.7,Excellent,Uyak,ExcellentIdeal,HADU,0
1989,10,101,2.7,Excellent,Uyak,ExcellentIdeal,HOGR,0
1989,10,101,2.7,Excellent,Uyak,ExcellentIdeal,LOON,0
1989,10,101,2.7,Excellent,Uyak,ExcellentIdeal,MAMU,0
1989,10,101,2.7,Excellent,Uyak,ExcellentIdeal,OLDS,0
1989,10,101,2.7,Excellent,Uyak,ExcellentIdeal,PIGU,0
1989,10,101,2.7,Excellent,Uyak,ExcellentIdeal,RBME,0
1989,10,101,2.7,Excellent,Uyak,ExcellentIdeal,RNGR,0
1989,10,101,2.7,Excellent,Uyak,ExcellentIdeal,SUSC,0
