pct.a.surf pct.a.base fines voids rut.depth viscosity run
4.68 4.87 8.4 4.916 6.75 2.8 1
5.19 4.5 6.5 4.563 13 1.4 1
4.82 4.73 7.9 5.321 14.75 1.4 1
4.85 4.76 8.3 4.865 12.6 3.3 1
4.86 4.95 8.4 3.776 8.25 1.7 1
5.16 4.45 7.4 4.397 10.67 2.9 1
4.82 5.05 6.8 4.867 7.28 3.7 1
4.86 4.7 8.6 4.828 12.67 1.7 1
4.78 4.84 6.7 4.865 12.58 0.92 1
5.16 4.76 7.7 4.034 20.6 0.68 1
4.57 4.82 7.4 5.45 3.58 6 1
4.61 4.65 6.7 4.853 7 4.3 1
5.07 5.1 7.5 4.257 26.2 0.6 1
4.66 5.09 8.2 5.144 11.67 1.8 1
5.42 4.41 5.8 3.718 7.67 6 1
5.01 4.74 7.1 4.715 12.25 4.4 1
4.97 4.66 6.5 4.625 0.76 88 0
4.01 4.72 8 4.977 1.35 62 0
4.96 4.9 6.8 4.322 1.44 50 0
5.2 4.7 8.2 5.087 1.6 58 0
4.8 4.6 6.6 5.971 1.1 90 0
4.98 4.69 6.4 4.647 0.85 66 0
5.35 4.76 7.3 5.115 1.2 140 0
5.04 4.8 7.8 5.939 0.56 240 0
4.8 4.8 7.4 5.916 0.72 420 0
4.83 4.6 6.7 5.471 0.47 500 0
4.66 4.72 7.2 4.602 0.33 180 0
4.67 4.5 6.3 5.043 0.26 270 0
4.72 4.7 6.8 5.075 0.76 170 0
5 5.07 7.2 4.334 0.80 98 0
4.7 4.8 7.7 5.705 2 35 0
