price,Overall.Qual,Overall.Cond,Year.Built,Full.Bath,Bedroom.AbvGr
215000,6,5,1960,1,3
105000,5,6,1961,1,2
172000,6,6,1958,1,3
244000,7,5,1968,2,3
189900,5,5,1997,2,3
195500,6,6,1998,2,3
213500,8,5,2001,2,2
191500,8,5,1992,2,2
236500,8,5,1995,2,2
189000,7,5,1999,2,3
175900,6,5,1993,2,3
185000,6,7,1992,2,3
180400,6,5,1998,2,3
171500,7,5,1990,1,2
212000,8,5,1985,1,1
538000,8,5,2003,3,4
164000,8,7,1988,2,4
394432,9,2,2010,1,1
141000,4,5,1951,1,2
210000,6,6,1978,2,3
190000,6,6,1977,2,3
170000,7,6,1974,2,3
216000,7,5,2000,2,3
149000,6,7,1970,1,2
149900,5,6,1971,1,3
142000,5,6,1968,1,3
126000,4,5,1970,1,2
115000,4,5,1971,1,3
184000,7,5,1999,2,2
96000,6,5,1971,1,2
105500,5,5,1971,1,3
88000,6,5,1971,1,3
127500,6,5,1977,2,2
149900,6,6,1975,2,3
120000,7,6,1975,1,2
146000,6,5,1978,2,3
376162,9,5,2009,2,3
306000,8,5,2007,2,3
395192,9,5,2009,2,3
290941,8,5,2009,2,3
220000,7,5,2005,2,3
275000,9,5,2005,2,3
259000,8,5,2005,2,3
214000,7,5,2004,2,3
611657,9,5,2009,2,2
224000,7,5,2009,2,2
500000,9,5,2003,2,3
320000,8,5,2002,2,3
319900,9,5,2005,2,2
205000,8,5,2006,2,2
175500,7,5,2003,2,2
199500,6,5,2005,2,3
160000,7,5,2006,2,2
192000,8,5,2004,2,2
184500,7,5,2004,2,3
216500,6,5,2002,2,4
185088,7,5,2004,2,3
180000,7,5,2000,2,3
222500,7,5,2001,2,3
333168,9,5,1999,2,4
355000,8,5,1998,2,4
260400,7,5,1996,2,3
325000,8,5,1994,2,3
290000,8,7,1999,2,4
221000,7,5,1998,2,4
410000,8,5,1995,2,4
221500,8,5,2005,2,2
204500,7,5,2009,2,2
215200,7,5,2009,2,3
262500,8,5,2008,2,3
254900,7,5,2004,2,3
271500,6,5,2005,2,2
233000,7,5,2004,2,4
181000,7,5,2004,2,3
205000,7,5,1994,2,3
143000,6,5,1980,2,2
189000,6,5,1992,2,3
99500,6,5,1979,2,2
125000,6,5,1984,1,2
194500,7,7,1993,2,3
152000,6,5,1984,2,3
171000,6,6,1980,2,3
67500,5,5,1920,1,2
112000,6,5,1978,2,4
148000,5,7,1961,1,3
138500,5,8,1965,1,3
122000,5,5,1967,1,3
133000,5,5,1963,1,3
127000,5,8,1962,1,3
169000,6,6,1974,2,3
190000,7,5,1992,2,3
362500,8,5,1993,2,4
285000,8,5,1992,2,4
260000,7,5,2004,2,2
190000,7,5,2004,2,2
155000,7,5,2004,2,2
151000,7,5,2004,2,2
149500,7,5,2004,2,2
152000,6,5,2005,2,2
222000,7,5,2009,2,2
177500,6,5,2000,2,3
177000,6,5,2000,2,2
155000,7,5,1999,2,3
147110,7,5,2003,2,2
267916,8,5,2010,1,1
254000,8,5,2000,2,3
155000,8,5,1980,1,1
206000,8,6,1978,1,1
130500,6,8,1976,2,3
230000,7,5,2002,2,3
218500,6,6,1967,2,4
243500,6,5,1993,2,4
205000,6,7,1977,2,3
212500,6,5,1978,3,3
196500,7,5,1988,2,3
197500,6,7,1972,1,3
171000,6,6,1971,1,4
142250,5,5,1966,1,3
143000,6,5,1963,1,3
128950,4,5,1959,1,3
159000,5,5,1966,1,3
178900,5,6,1967,2,3
136300,6,5,1964,2,3
180500,5,7,1964,1,3
137500,6,7,1963,1,3
84900,5,6,1962,2,6
142125,5,6,1950,1,2
197600,5,7,1952,2,3
172500,6,6,1949,2,3
116500,5,7,1958,1,2
76500,3,2,1940,1,3
128000,5,5,1954,1,3
153000,6,6,1955,1,3
132000,5,6,1954,1,2
178000,6,8,1966,1,2
154300,5,5,1960,2,5
180000,7,5,1970,2,3
190000,6,6,1966,2,2
135000,5,5,1958,2,4
214000,7,5,2003,2,3
136000,5,5,1959,1,3
165500,5,5,1959,1,4
145000,5,6,1957,1,3
148000,6,6,1959,1,3
142000,5,5,1959,1,3
167500,5,5,1960,1,3
108538,5,5,1959,1,3
159500,6,5,1959,1,3
108000,4,5,1956,1,3
135000,5,7,1952,1,2
122500,5,6,1955,1,3
119000,5,5,1958,1,2
109000,5,7,1953,1,3
105000,4,7,1920,1,2
107500,5,7,1955,1,2
144900,5,7,1954,1,3
129000,5,7,1956,1,2
97500,6,5,1948,1,3
144000,6,5,1980,0,0
162000,5,7,1959,1,3
242000,7,7,1967,2,5
132000,6,8,1948,1,3
154000,5,7,1959,1,3
166000,5,4,1952,2,4
134800,5,7,1951,1,3
160000,6,6,1962,1,3
148000,5,6,1960,1,3
192000,6,7,1963,1,2
155000,6,5,1966,1,4
80400,4,5,1900,1,3
96500,4,7,1910,1,3
109500,5,7,1920,1,2
115000,5,6,1927,1,2
143000,5,7,1957,1,3
107400,3,6,1915,2,3
80000,4,6,1945,1,2
119000,5,7,1940,1,2
130000,5,7,1929,1,3
119000,6,7,1938,1,3
129000,5,7,1948,1,3
100000,5,6,1920,1,3
12789,2,2,1923,1,2
105900,6,8,1928,1,2
150000,8,9,1900,2,3
139000,5,6,1915,2,4
240000,8,9,1890,3,3
76500,5,3,1910,2,4
149700,6,7,1957,1,2
125500,4,7,1910,1,3
122500,4,6,1885,2,4
140750,6,7,1922,1,2
128500,5,6,1950,1,3
209500,7,7,1922,1,3
87000,4,7,1925,1,2
134000,6,7,1939,1,2
128000,6,6,1940,1,3
132000,5,6,1942,1,3
139900,6,7,1948,1,3
123900,5,7,1936,1,2
138400,5,5,1930,2,4
109500,6,5,1923,1,2
140000,7,6,1921,2,3
149500,4,5,1915,1,4
159900,6,8,1912,1,3
122000,6,8,1920,1,3
110000,5,5,1963,1,2
55000,4,5,1930,2,3
140000,5,9,1900,2,4
244400,7,7,1940,2,4
173000,5,5,1959,2,3
107500,5,3,1917,1,3
100000,5,4,1915,1,3
95000,6,5,1940,1,3
93369,4,1,1907,1,4
114900,5,7,1910,2,2
94000,5,8,1875,1,2
136000,4,3,1967,2,4
136500,4,5,1968,2,4
131500,5,4,1965,1,3
121500,5,6,1957,1,3
125000,5,5,1967,1,3
154000,5,8,1968,1,3
137900,5,7,1966,1,3
158000,6,7,1969,1,4
137250,5,5,1968,1,2
160250,5,5,1978,1,3
163000,5,5,1968,1,4
158900,6,5,1978,2,3
328000,7,5,1996,2,3
270000,7,7,1977,1,1
85000,4,4,1927,1,2
128000,4,7,1950,2,2
260000,7,6,1979,0,0
230000,6,5,1978,2,4
124000,3,4,1938,2,4
83000,5,5,1920,1,2
144500,6,7,1950,1,3
129000,5,6,1956,1,3
127000,4,6,1947,1,3
128000,5,7,1954,1,3
186000,6,5,2009,2,3
308030,7,5,2009,1,1
114000,5,3,1964,2,3
84900,4,7,1946,1,2
178000,6,5,1985,2,3
270000,7,5,1987,1,1
218000,6,7,1993,2,3
236000,7,5,1993,2,3
147000,6,6,1992,1,2
245350,8,5,2008,2,3
206000,7,5,2006,2,2
198900,7,5,2009,2,3
187000,7,5,2010,2,2
320000,7,5,1990,3,5
138500,6,8,1900,2,3
155000,6,7,1971,1,3
159000,5,5,1996,1,2
191000,7,5,1997,2,3
200500,6,5,1998,2,3
150000,5,8,1977,1,3
161750,6,7,1977,1,3
128200,5,6,1976,1,3
127000,5,6,1972,1,3
318000,8,5,2003,2,3
272000,8,5,2001,2,3
237000,7,6,2003,2,3
240000,7,5,1997,2,4
224900,7,5,1998,2,3
143750,6,5,2003,1,1
143000,6,5,2004,1,1
232000,8,5,2003,2,3
213000,7,5,2004,2,3
185500,7,5,2004,2,3
84900,3,6,1945,1,2
155891,5,6,1954,1,3
100000,5,5,1965,2,4
144000,5,6,1968,1,3
64000,4,5,1948,1,2
125200,6,6,1975,1,3
107000,6,5,1976,1,3
90000,4,5,1958,1,3
140000,4,5,2003,2,2
113000,6,4,1945,1,3
80000,4,4,1941,1,2
144500,5,6,1957,1,4
104000,5,6,1924,2,2
128000,6,4,1915,1,4
58500,3,3,1914,1,2
127000,5,6,1924,2,3
126000,6,6,1939,1,2
160000,4,6,1967,3,6
100000,5,2,1931,1,3
169000,6,7,1919,2,4
257500,7,6,1941,1,4
215000,5,6,1950,2,5
266500,7,9,1941,2,4
335000,7,8,1959,2,3
203135,7,6,1994,2,3
185000,8,6,1989,1,1
162500,8,5,1989,2,2
289000,7,8,1959,2,1
125500,4,8,1922,1,3
82000,2,5,1941,1,1
110000,6,5,1921,1,2
68400,4,4,1920,1,2
102776,4,7,1900,1,2
55993,5,5,1952,1,2
50138,4,7,1896,1,3
246000,8,5,2004,2,2
254900,8,5,1998,2,3
190000,6,7,1977,2,3
201000,7,5,2003,2,3
169900,6,5,1976,1,3
170000,6,5,1976,3,5
160000,5,5,1948,1,3
220000,7,5,2008,2,3
179781,7,5,2009,2,2
174000,5,5,2006,2,3
269500,8,5,2009,2,4
214900,7,5,2002,2,4
202900,8,5,2002,2,4
378500,9,5,2008,2,3
169000,5,5,1965,1,2
173500,5,5,2004,2,3
139000,6,5,1971,2,4
166500,5,5,1999,2,3
83500,4,5,1973,1,3
119500,5,6,1973,1,2
85000,5,3,1976,1,3
76000,4,7,1970,1,3
75500,4,6,1972,1,1
88250,4,4,1970,1,3
85500,4,6,1972,1,3
130000,5,7,1971,1,3
157900,5,7,1962,1,3
149900,5,7,1984,1,2
159000,5,2,1985,4,4
136000,5,5,1991,1,3
161000,5,5,1969,2,5
285000,8,5,1994,2,3
231000,6,5,1993,2,3
124500,6,5,1956,1,2
157000,6,5,1974,2,4
345000,8,7,1972,2,4
189500,6,5,1997,2,3
270000,8,5,2003,2,4
189000,7,5,1996,2,3
377500,9,5,2006,2,3
168500,7,5,1995,2,3
375000,8,5,2004,2,1
278000,8,5,2000,2,2
240000,8,5,1998,2,2
239500,8,5,1995,2,2
177500,7,5,1998,2,3
185000,7,5,1998,2,3
191000,6,5,1998,2,3
178000,6,7,1993,2,3
185000,6,8,1993,2,3
181316,6,5,1994,2,3
166000,6,5,1993,2,3
178000,6,5,1992,2,3
174000,6,5,1994,2,3
173000,6,6,1992,2,3
225000,7,5,1999,2,3
180500,7,5,1990,2,3
187500,8,5,1984,1,1
501837,9,5,2008,2,1
372500,8,5,2008,2,3
260000,7,5,2005,2,3
185000,5,6,1977,2,3
260000,7,7,1980,2,4
181000,6,5,1979,2,3
82500,7,5,1977,2,3
215000,6,7,1977,2,3
154000,7,6,1978,2,4
200000,6,6,1978,2,3
249000,7,7,1980,2,4
187500,7,5,1980,2,3
184000,6,5,1978,2,3
278000,8,5,1981,2,4
157000,7,5,1978,2,3
152000,7,5,1976,2,3
197500,5,7,1976,2,4
240900,7,5,2003,2,3
263435,8,5,2009,2,3
220000,8,5,2000,2,3
235000,8,5,2002,2,3
213000,5,7,1975,2,3
167900,6,6,1974,2,3
158000,7,5,1975,2,3
165000,6,5,1974,2,3
158000,6,6,1972,2,3
136000,5,5,1974,2,4
148500,5,6,1970,1,3
156000,6,8,1969,1,3
128000,5,5,1970,1,2
143000,5,7,1971,1,3
76500,4,6,1970,1,3
120500,4,6,1970,1,3
124500,4,7,1970,1,3
97000,4,6,1971,1,2
130000,4,7,1971,1,3
111000,6,5,1973,1,2
125000,5,6,1970,1,3
112000,5,5,1971,2,3
97000,6,6,1972,1,2
118000,6,8,1972,1,2
119500,5,7,1972,2,3
143750,6,6,1976,2,2
146000,6,5,1976,2,3
148500,6,6,1976,2,3
123000,7,5,1975,2,2
147000,6,5,1974,2,3
137900,6,5,1977,2,3
147000,6,5,1978,2,3
148500,6,6,1978,2,3
138000,6,5,1978,2,3
128500,7,6,1976,1,2
100000,5,5,1967,1,3
148800,5,7,1966,1,3
337500,10,5,2006,2,3
462000,9,5,2007,3,4
485000,9,5,2008,3,4
555000,10,5,2008,2,2
325000,9,5,2006,2,2
256300,8,5,2007,2,3
253293,8,5,2008,2,3
398800,9,5,2009,2,3
335000,9,5,2008,2,3
404000,9,5,2008,2,3
402861,10,5,2009,2,3
451950,10,5,2008,2,3
610000,10,5,2007,2,2
582933,9,5,2008,3,4
360000,9,5,2008,2,3
296000,8,5,2004,2,3
409900,8,5,2007,2,5
255500,8,5,2006,2,3
335000,9,5,2008,2,3
274900,8,5,2004,2,3
300000,9,5,2006,2,2
324000,9,5,2008,2,3
350000,9,5,2004,2,4
280000,8,5,2004,2,3
284000,8,5,2003,2,3
269500,7,5,2003,2,3
233170,7,5,2009,2,3
386250,10,5,2003,2,3
445000,9,5,2003,2,3
290000,8,5,2003,3,4
255900,8,5,2006,2,3
213000,6,5,2005,2,2
196000,6,5,2005,2,1
184500,6,5,2005,2,1
212500,7,5,2007,2,2
230000,7,5,2007,2,2
552000,10,5,2004,2,2
382500,8,5,2003,2,3
320000,9,5,2008,2,2
248500,9,5,2008,2,2
286500,8,5,2002,2,3
254000,8,5,2006,2,2
173000,7,5,2003,2,2
173000,7,5,2003,2,2
184000,7,5,2005,2,3
167800,6,5,2005,2,3
174000,6,5,2005,2,3
174000,6,5,2005,2,3
174000,7,5,2007,2,2
175900,7,5,2007,2,1
192500,7,5,2005,2,2
181000,7,5,2005,2,1
180000,7,5,2005,2,2
160200,7,5,2005,2,2
188500,7,5,2004,2,3
200000,6,5,2002,2,4
170000,7,5,2004,2,3
189500,7,5,2004,2,3
184100,8,5,2002,2,3
195500,7,5,2004,2,3
192000,7,5,2003,2,3
178000,7,5,2003,2,3
207500,7,5,2007,2,2
236000,7,5,2000,2,4
257500,8,5,2002,2,4
244000,6,5,2000,2,3
167000,7,5,2004,2,3
179000,6,5,2000,2,3
190000,6,5,2000,2,3
156000,7,5,1999,2,3
245000,7,5,1999,2,4
181000,6,5,1999,2,3
214000,7,5,1999,2,3
168000,7,6,1999,2,3
337000,8,5,1999,2,3
403000,8,5,1995,2,4
327000,8,5,2000,2,4
340000,8,5,1998,2,3
336000,8,5,1998,2,4
265000,7,5,1996,2,3
315000,8,5,1994,2,3
260000,7,5,1993,2,4
260000,7,5,1995,2,3
263550,8,5,1993,2,3
402000,8,7,1994,2,4
248000,7,6,1994,2,3
244600,8,5,2008,2,3
275000,8,5,2008,2,3
257500,8,5,2008,2,3
287090,8,5,2008,2,3
275500,8,5,2007,2,3
245000,8,5,2006,2,3
253000,7,5,2005,2,3
468000,9,5,2005,2,2
252678,7,5,2009,2,3
210000,8,5,2008,2,3
208300,6,5,2009,2,2
225000,7,5,2008,2,3
229456,8,5,2009,2,3
229800,7,5,2008,2,3
250000,9,5,2007,2,3
370878,9,5,2009,2,2
238500,8,5,2006,2,2
310000,10,5,2008,2,3
270000,8,5,2006,2,3
252000,8,5,2005,2,3
241000,7,5,2006,2,2
264500,8,5,2008,2,3
291000,7,5,2006,2,3
263000,7,5,2003,2,4
185000,7,5,2004,2,2
234500,7,5,2003,2,3
209000,7,5,2003,2,3
