i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
1,0,0,2,4,3,1,2,4,3,1,2,3,7,6,7,9,6,7,3,8,7,9,8,6,7,6,7,7,8,8,9,6,8,7,9,7,8,8,8,7,8,8,7,9,8,9,9,8,7,8,7,8,8,8,8,8,6,8,7,9,10,8,8,7,8,9,10,8,9,9
2,0,0,2,4,3,1,2,4,3,1,2,3,7,6,7,9,6,7,3,8,7,9,8,6,7,6,7,7,8,8,9,6,8,7,9,7,8,8,8,7,8,8,7,9,8,9,9,8,7,8,7,8,8,8,8,8,6,8,7,9,10,8,8,7,8,9,10,8,9,9
3,2,2,0,6,5,1,2,4,5,1,2,5,7,6,7,9,6,7,5,8,8,9,7,6,6,6,7,6,8,8,7,7,9,8,9,8,8,7,6,6,6,6,8,8,9,8,8,6,6,9,8,9,9,8,8,6,6,8,7,7,10,9,8,8,9,7,10,6,9,8
4,4,4,6,0,3,5,6,4,3,5,6,6,8,8,8,10,8,8,3,10,9,10,9,8,9,8,8,8,9,9,9,8,9,9,10,8,9,9,9,8,8,8,9,10,9,10,11,8,9,9,8,8,9,9,9,9,8,10,9,10,11,9,9,9,9,10,11,9,10,10
5,3,3,5,3,0,4,3,3,3,4,5,6,6,5,6,9,7,6,6,7,6,10,7,7,8,7,6,8,7,7,10,7,8,7,9,8,9,9,9,8,8,8,7,8,7,10,8,8,6,8,7,6,7,9,9,9,7,8,6,8,9,7,9,7,7,10,9,9,9,8
6,1,1,1,5,4,0,1,3,4,0,1,4,6,5,6,9,5,6,4,8,7,9,7,5,6,5,6,6,7,7,8,6,8,7,9,7,8,7,7,6,7,7,7,8,8,8,8,7,6,8,7,8,8,7,7,7,5,8,6,8,10,8,8,7,8,8,10,7,9,9
7,2,2,2,6,3,1,0,4,5,1,2,5,5,4,5,9,6,5,5,7,6,10,6,6,7,6,5,7,6,6,9,7,8,7,9,8,9,8,8,7,8,8,7,7,7,9,7,8,5,8,7,7,7,8,8,8,6,8,5,7,9,7,9,7,7,9,9,8,9,8
8,4,4,4,4,3,3,4,0,4,3,4,7,7,6,7,9,5,7,7,8,7,9,8,5,6,5,7,7,7,6,7,6,8,7,9,7,8,7,7,7,5,5,6,7,8,8,7,5,7,8,7,7,7,7,6,6,4,8,5,8,10,8,8,7,8,7,10,7,9,9
9,3,3,5,3,3,4,5,4,0,4,5,6,5,7,5,7,6,5,5,8,8,7,6,6,7,7,5,5,6,6,7,6,7,8,7,7,7,6,9,8,9,9,8,10,9,10,10,9,7,9,8,9,9,9,9,6,7,9,7,10,11,9,9,8,9,10,11,9,10,10
10,1,1,1,5,4,0,1,3,4,0,1,4,6,5,6,9,5,6,4,8,7,9,7,5,6,5,6,6,7,7,8,6,8,7,9,7,8,7,7,6,7,7,7,8,8,8,8,7,6,8,7,8,8,7,7,7,5,8,6,8,10,8,8,7,8,8,10,7,9,9
