working 3
working 3
working 3
keepinghouse 2
keepinghouse 2
keepinghouse 3
working 1
working 3
working 1
keepinghouse 2
working 1
working 2
keepinghouse 3
working 1
keepinghouse 4
keepinghouse 3
working 1
working 3
working 4
keepinghouse 3
keepinghouse 2
working 2
keepinghouse 4
working 2
keepinghouse 3
keepinghouse 1
keepinghouse 2
working 3
working 3
working 2
working 1
working 2
working 4
working 2
keepinghouse 2
keepinghouse 2
keepinghouse 3
keepinghouse 1
working 1
working 2
working 1
keepinghouse 3
working 1
keepinghouse 3
working 1
keepinghouse 3
working 1
keepinghouse 3
working 1
working 1
keepinghouse 1
working 4
keepinghouse 3
working 2
keepinghouse 1
working 3
working 4
retired 2
keepinghouse 3
keepinghouse 2
working 1
working 2
working 4
notworking 4
working 3
working 2
working 2
keepinghouse 4
keepinghouse 3
keepinghouse 1
keepinghouse 4
working 1
keepinghouse 2
keepinghouse 2
working 4
keepinghouse 1
notworking 1
keepinghouse 1
working 1
keepinghouse 3
working 4
keepinghouse 3
keepinghouse 4
keepinghouse 4
keepinghouse 4
keepinghouse 3
working 3
keepinghouse 2
working 2
keepinghouse 1
keepinghouse 4
keepinghouse 2
working 2
notworking 3
working 1
notworking 2
working 1
working 2
keepinghouse 2
keepinghouse 3
keepinghouse 2
keepinghouse 4
working 3
retired 1
retired 4
keepinghouse 3
keepinghouse 3
keepinghouse 1
keepinghouse 1
keepinghouse 3
working 1
keepinghouse 1
working 1
working 1
notworking 4
keepinghouse 2
working 4
working 2
working 2
working 2
keepinghouse 2
keepinghouse 2
keepinghouse 3
keepinghouse 1
keepinghouse 4
keepinghouse 4
keepinghouse 2
working 4
keepinghouse 4
retired 2
working 4
keepinghouse 4
retired 2
working 3
keepinghouse 1
retired 3
working 2
keepinghouse 2
keepinghouse 3
working 2
working 2
keepinghouse 3
working 2
working 1
notworking 3
working 2
keepinghouse 1
keepinghouse 4
working 1
keepinghouse 2
working 2
keepinghouse 2
keepinghouse 2
keepinghouse 1
keepinghouse 3
working 2
keepinghouse 2
working 3
keepinghouse 2
working 4
working 3
keepinghouse 4
working 2
school 1
keepinghouse 2
working 1
keepinghouse 1
keepinghouse 3
keepinghouse 3
keepinghouse 2
working 1
keepinghouse 3
working 3
keepinghouse 4
working 2
working 1
working 2
keepinghouse 2
school 2
keepinghouse 4
working 3
working 1
working 3
keepinghouse 2
keepinghouse 3
keepinghouse 1
keepinghouse 2
keepinghouse 1
working 1
working 2
keepinghouse 3
working 3
keepinghouse 4
keepinghouse 2
keepinghouse 3
keepinghouse 2
keepinghouse 3
working 1
working 4
keepinghouse 1
working 1
working 1
keepinghouse 1
retired 4
keepinghouse 4
working 1
working 2
keepinghouse 3
working 3
working 2
working 2
working 1
keepinghouse 3
working 3
working 4
working 1
working 1
notworking 3
working 2
working 2
retired 4
keepinghouse 4
working 4
working 4
keepinghouse 4
working 1
keepinghouse 3
working 1
working 1
keepinghouse 2
working 1
working 1
working 2
working 1
working 1
working 3
keepinghouse 2
keepinghouse 3
working 1
working 3
working 3
working 2
working 3
working 1
working 1
keepinghouse 3
working 1
keepinghouse 3
keepinghouse 4
working 2
retired 1
working 1
keepinghouse 3
school 2
working 1
keepinghouse 2
keepinghouse 2
keepinghouse 1
keepinghouse 2
working 1
notworking 2
working 2
keepinghouse 3
keepinghouse 2
keepinghouse 2
working 1
working 1
keepinghouse 1
working 1
working 1
retired 3
working 3
working 1
keepinghouse 2
keepinghouse 2
working 4
working 3
retired 3
keepinghouse 1
working 2
working 4
school 1
retired 4
keepinghouse 3
working 1
working 4
working 4
keepinghouse 4
working 1
keepinghouse 3
keepinghouse 2
working 2
keepinghouse 4
keepinghouse 2
keepinghouse 3
working 2
retired 3
retired 4
working 2
working 2
keepinghouse 3
keepinghouse 3
working 2
working 1
working 2
working 2
keepinghouse 3
keepinghouse 2
keepinghouse 4
working 1
keepinghouse 2
notworking 2
keepinghouse 3
keepinghouse 3
working 2
school 2
keepinghouse 2
keepinghouse 3
keepinghouse 1
keepinghouse 4
working 1
keepinghouse 4
working 4
working 3
working 1
keepinghouse 2
keepinghouse 4
working 3
keepinghouse 2
retired 3
working 3
retired 3
keepinghouse 4
keepinghouse 3
keepinghouse 3
keepinghouse 2
working 2
keepinghouse 3
keepinghouse 4
working 3
retired 2
working 3
keepinghouse 2
keepinghouse 1
working 1
retired 2
working 2
keepinghouse 1
keepinghouse 2
school 2
keepinghouse 2
retired 2
retired 2
retired 1
keepinghouse 4
working 4
working 2
retired 4
working 1
school 2
working 1
working 2
working 1
working 4
keepinghouse 1
working 2
working 2
working 2
working 3
keepinghouse 3
keepinghouse 3
notworking 3
keepinghouse 4
keepinghouse 2
keepinghouse 3
keepinghouse 3
working 2
working 3
keepinghouse 2
keepinghouse 3
keepinghouse 3
working 3
retired 2
retired 3
working 3
