Var1,Var2,Freq
9.4,142.24,0
9.5,142.24,0
9.6,142.24,0
9.7,142.24,0
9.8,142.24,0
9.9,142.24,0
10,142.24,1
10.1,142.24,0
10.2,142.24,0
10.3,142.24,0
10.4,142.24,0
10.5,142.24,0
10.6,142.24,0
10.7,142.24,0
10.8,142.24,0
10.9,142.24,0
11,142.24,0
11.1,142.24,0
11.2,142.24,0
11.3,142.24,0
11.4,142.24,0
11.5,142.24,0
11.6,142.24,0
11.7,142.24,0
11.8,142.24,0
11.9,142.24,0
12,142.24,0
12.1,142.24,0
12.2,142.24,0
12.3,142.24,0
12.4,142.24,0
12.5,142.24,0
12.6,142.24,0
12.7,142.24,0
12.8,142.24,0
12.9,142.24,0
13,142.24,0
13.1,142.24,0
13.2,142.24,0
13.3,142.24,0
13.4,142.24,0
13.5,142.24,0
9.4,144.78,0
9.5,144.78,0
9.6,144.78,0
9.7,144.78,0
9.8,144.78,0
9.9,144.78,0
10,144.78,0
10.1,144.78,0
10.2,144.78,0
10.3,144.78,1
10.4,144.78,0
10.5,144.78,0
10.6,144.78,0
10.7,144.78,0
10.8,144.78,0
10.9,144.78,0
11,144.78,0
11.1,144.78,0
11.2,144.78,0
11.3,144.78,0
11.4,144.78,0
11.5,144.78,0
11.6,144.78,0
11.7,144.78,0
11.8,144.78,0
11.9,144.78,0
12,144.78,0
12.1,144.78,0
12.2,144.78,0
12.3,144.78,0
12.4,144.78,0
12.5,144.78,0
12.6,144.78,0
12.7,144.78,0
12.8,144.78,0
12.9,144.78,0
13,144.78,0
13.1,144.78,0
13.2,144.78,0
13.3,144.78,0
13.4,144.78,0
13.5,144.78,0
9.4,147.32,0
9.5,147.32,0
9.6,147.32,0
9.7,147.32,0
9.8,147.32,0
9.9,147.32,1
10,147.32,0
10.1,147.32,0
10.2,147.32,2
10.3,147.32,1
10.4,147.32,1
10.5,147.32,0
10.6,147.32,0
10.7,147.32,1
10.8,147.32,0
10.9,147.32,0
11,147.32,0
11.1,147.32,0
11.2,147.32,0
11.3,147.32,0
11.4,147.32,0
11.5,147.32,0
11.6,147.32,0
11.7,147.32,0
11.8,147.32,0
11.9,147.32,0
12,147.32,0
12.1,147.32,0
12.2,147.32,0
12.3,147.32,0
12.4,147.32,0
12.5,147.32,0
12.6,147.32,0
12.7,147.32,0
12.8,147.32,0
12.9,147.32,0
13,147.32,0
13.1,147.32,0
13.2,147.32,0
13.3,147.32,0
13.4,147.32,0
13.5,147.32,0
9.4,149.86,0
9.5,149.86,0
9.6,149.86,0
9.7,149.86,0
9.8,149.86,0
9.9,149.86,0
10,149.86,1
10.1,149.86,1
10.2,149.86,2
10.3,149.86,3
10.4,149.86,1
10.5,149.86,1
10.6,149.86,1
10.7,149.86,2
10.8,149.86,2
10.9,149.86,0
11,149.86,2
11.1,149.86,3
11.2,149.86,3
11.3,149.86,1
11.4,149.86,0
11.5,149.86,0
11.6,149.86,0
11.7,149.86,0
11.8,149.86,0
11.9,149.86,0
12,149.86,0
12.1,149.86,0
12.2,149.86,0
12.3,149.86,0
12.4,149.86,0
12.5,149.86,0
12.6,149.86,0
12.7,149.86,0
12.8,149.86,0
12.9,149.86,0
13,149.86,0
13.1,149.86,0
13.2,149.86,0
13.3,149.86,0
13.4,149.86,0
13.5,149.86,0
9.4,152.4,0
9.5,152.4,0
9.6,152.4,0
9.7,152.4,0
9.8,152.4,0
9.9,152.4,1
10,152.4,2
10.1,152.4,3
10.2,152.4,2
10.3,152.4,2
10.4,152.4,2
10.5,152.4,3
10.6,152.4,4
10.7,152.4,4
10.8,152.4,5
10.9,152.4,2
11,152.4,6
11.1,152.4,3
11.2,152.4,2
11.3,152.4,0
11.4,152.4,3
11.5,152.4,0
11.6,152.4,2
11.7,152.4,0
11.8,152.4,1
11.9,152.4,1
12,152.4,0
12.1,152.4,0
12.2,152.4,0
12.3,152.4,0
12.4,152.4,0
12.5,152.4,0
12.6,152.4,0
12.7,152.4,0
12.8,152.4,0
12.9,152.4,0
13,152.4,0
13.1,152.4,0
13.2,152.4,0
13.3,152.4,0
13.4,152.4,0
13.5,152.4,0
9.4,154.94,0
9.5,154.94,1
9.6,154.94,0
9.7,154.94,0
9.8,154.94,0
9.9,154.94,0
10,154.94,0
10.1,154.94,1
10.2,154.94,1
10.3,154.94,2
10.4,154.94,3
10.5,154.94,7
10.6,154.94,5
10.7,154.94,9
10.8,154.94,6
10.9,154.94,6
11,154.94,12
11.1,154.94,12
11.2,154.94,7
11.3,154.94,5
11.4,154.94,4
11.5,154.94,5
11.6,154.94,1
11.7,154.94,2
11.8,154.94,0
11.9,154.94,1
12,154.94,0
12.1,154.94,0
12.2,154.94,0
12.3,154.94,0
12.4,154.94,0
12.5,154.94,0
12.6,154.94,0
12.7,154.94,0
12.8,154.94,0
12.9,154.94,0
13,154.94,0
13.1,154.94,0
13.2,154.94,0
13.3,154.94,0
13.4,154.94,0
13.5,154.94,0
9.4,157.48,0
9.5,157.48,0
9.6,157.48,0
9.7,157.48,0
9.8,157.48,1
9.9,157.48,1
10,157.48,2
10.1,157.48,0
10.2,157.48,0
10.3,157.48,3
10.4,157.48,3
10.5,157.48,6
10.6,157.48,9
10.7,157.48,14
10.8,157.48,14
10.9,157.48,14
11,157.48,15
11.1,157.48,22
11.2,157.48,21
11.3,157.48,10
11.4,157.48,9
11.5,157.48,11
11.6,157.48,4
11.7,157.48,9
11.8,157.48,2
11.9,157.48,2
12,157.48,1
12.1,157.48,0
12.2,157.48,1
12.3,157.48,0
12.4,157.48,1
12.5,157.48,0
12.6,157.48,0
12.7,157.48,0
12.8,157.48,0
12.9,157.48,0
13,157.48,0
13.1,157.48,0
13.2,157.48,0
13.3,157.48,0
13.4,157.48,0
13.5,157.48,0
9.4,160.02,0
9.5,160.02,0
9.6,160.02,0
9.7,160.02,0
9.8,160.02,0
9.9,160.02,0
10,160.02,0
10.1,160.02,1
10.2,160.02,2
10.3,160.02,5
10.4,160.02,4
10.5,160.02,4
10.6,160.02,14
10.7,160.02,16
10.8,160.02,27
10.9,160.02,24
11,160.02,31
11.1,160.02,26
11.2,160.02,30
11.3,160.02,24
11.4,160.02,29
11.5,160.02,17
11.6,160.02,13
11.7,160.02,17
11.8,160.02,11
11.9,160.02,12
12,160.02,4
12.1,160.02,2
12.2,160.02,2
12.3,160.02,0
12.4,160.02,1
12.5,160.02,1
12.6,160.02,0
12.7,160.02,0
12.8,160.02,0
12.9,160.02,0
13,160.02,0
13.1,160.02,0
13.2,160.02,0
13.3,160.02,0
13.4,160.02,0
13.5,160.02,0
9.4,162.56,0
9.5,162.56,0
9.6,162.56,0
9.7,162.56,0
9.8,162.56,0
9.9,162.56,0
10,162.56,0
10.1,162.56,1
10.2,162.56,0
10.3,162.56,0
10.4,162.56,3
10.5,162.56,3
10.6,162.56,6
10.7,162.56,15
10.8,162.56,10
10.9,162.56,27
11,162.56,37
11.1,162.56,24
11.2,162.56,38
11.3,162.56,26
11.4,162.56,56
11.5,162.56,33
11.6,162.56,37
11.7,162.56,30
11.8,162.56,15
11.9,162.56,10
12,162.56,8
12.1,162.56,4
12.2,162.56,5
12.3,162.56,4
12.4,162.56,1
12.5,162.56,0
12.6,162.56,0
12.7,162.56,0
12.8,162.56,0
12.9,162.56,0
13,162.56,0
13.1,162.56,0
13.2,162.56,0
13.3,162.56,0
13.4,162.56,0
13.5,162.56,0
9.4,165.1,0
9.5,165.1,0
9.6,165.1,0
9.7,165.1,0
9.8,165.1,0
9.9,165.1,0
10,165.1,1
10.1,165.1,0
10.2,165.1,1
10.3,165.1,0
10.4,165.1,3
10.5,165.1,1
10.6,165.1,3
10.7,165.1,7
10.8,165.1,7
10.9,165.1,14
11,165.1,27
11.1,165.1,26
11.2,165.1,29
11.3,165.1,39
11.4,165.1,58
11.5,165.1,57
11.6,165.1,39
11.7,165.1,37
11.8,165.1,35
11.9,165.1,27
12,165.1,19
12.1,165.1,13
12.2,165.1,6
12.3,165.1,8
12.4,165.1,2
12.5,165.1,1
12.6,165.1,1
12.7,165.1,1
12.8,165.1,0
12.9,165.1,0
13,165.1,0
13.1,165.1,0
13.2,165.1,0
13.3,165.1,0
13.4,165.1,0
13.5,165.1,0
9.4,167.64,0
9.5,167.64,0
9.6,167.64,0
9.7,167.64,0
9.8,167.64,0
9.9,167.64,0
10,167.64,0
10.1,167.64,0
10.2,167.64,0
10.3,167.64,0
10.4,167.64,0
10.5,167.64,3
10.6,167.64,1
10.7,167.64,3
10.8,167.64,1
10.9,167.64,10
11,167.64,17
11.1,167.64,24
11.2,167.64,27
11.3,167.64,26
11.4,167.64,26
11.5,167.64,38
11.6,167.64,48
11.7,167.64,48
11.8,167.64,41
11.9,167.64,32
12,167.64,42
12.1,167.64,22
12.2,167.64,23
12.3,167.64,10
12.4,167.64,7
12.5,167.64,3
12.6,167.64,0
12.7,167.64,1
12.8,167.64,1
12.9,167.64,0
13,167.64,3
13.1,167.64,0
13.2,167.64,1
13.3,167.64,0
13.4,167.64,0
13.5,167.64,0
9.4,170.18,0
9.5,170.18,0
9.6,170.18,0
9.7,170.18,0
9.8,170.18,0
9.9,170.18,0
10,170.18,0
10.1,170.18,0
10.2,170.18,0
10.3,170.18,0
10.4,170.18,0
10.5,170.18,1
10.6,170.18,0
10.7,170.18,1
10.8,170.18,2
10.9,170.18,4
11,170.18,10
11.1,170.18,7
11.2,170.18,20
11.3,170.18,24
11.4,170.18,22
11.5,170.18,34
11.6,170.18,38
11.7,170.18,45
11.8,170.18,34
11.9,170.18,35
12,170.18,39
12.1,170.18,28
12.2,170.18,17
12.3,170.18,13
12.4,170.18,12
12.5,170.18,12
12.6,170.18,3
12.7,170.18,7
12.8,170.18,2
12.9,170.18,1
13,170.18,0
13.1,170.18,1
13.2,170.18,1
13.3,170.18,0
13.4,170.18,0
13.5,170.18,0
9.4,172.72,0
9.5,172.72,0
9.6,172.72,0
9.7,172.72,0
9.8,172.72,0
9.9,172.72,0
10,172.72,0
10.1,172.72,0
10.2,172.72,0
10.3,172.72,0
10.4,172.72,0
10.5,172.72,0
10.6,172.72,0
10.7,172.72,2
10.8,172.72,1
10.9,172.72,1
11,172.72,6
11.1,172.72,4
11.2,172.72,4
11.3,172.72,7
11.4,172.72,10
11.5,172.72,25
11.6,172.72,27
11.7,172.72,24
11.8,172.72,29
11.9,172.72,19
12,172.72,22
12.1,172.72,15
12.2,172.72,16
12.3,172.72,20
12.4,172.72,4
12.5,172.72,11
12.6,172.72,5
12.7,172.72,5
12.8,172.72,3
12.9,172.72,2
13,172.72,1
13.1,172.72,1
13.2,172.72,0
13.3,172.72,0
13.4,172.72,0
13.5,172.72,0
9.4,175.26,0
9.5,175.26,0
9.6,175.26,0
9.7,175.26,0
9.8,175.26,0
9.9,175.26,0
10,175.26,0
10.1,175.26,0
10.2,175.26,0
10.3,175.26,0
10.4,175.26,0
10.5,175.26,1
10.6,175.26,1
10.7,175.26,0
10.8,175.26,0
10.9,175.26,0
11,175.26,0
11.1,175.26,1
11.2,175.26,1
11.3,175.26,2
11.4,175.26,11
11.5,175.26,11
11.6,175.26,12
11.7,175.26,9
11.8,175.26,10
11.9,175.26,10
12,175.26,16
12.1,175.26,27
12.2,175.26,11
12.3,175.26,23
12.4,175.26,7
12.5,175.26,8
12.6,175.26,7
12.7,175.26,5
12.8,175.26,1
12.9,175.26,2
13,175.26,0
13.1,175.26,0
13.2,175.26,1
13.3,175.26,0
13.4,175.26,0
13.5,175.26,0
9.4,177.8,0
9.5,177.8,0
9.6,177.8,0
9.7,177.8,0
9.8,177.8,0
9.9,177.8,0
10,177.8,0
10.1,177.8,0
10.2,177.8,0
10.3,177.8,0
10.4,177.8,0
10.5,177.8,0
10.6,177.8,0
10.7,177.8,0
10.8,177.8,0
10.9,177.8,0
11,177.8,0
11.1,177.8,0
11.2,177.8,0
11.3,177.8,0
11.4,177.8,0
11.5,177.8,2
11.6,177.8,2
11.7,177.8,9
11.8,177.8,5
11.9,177.8,9
12,177.8,8
12.1,177.8,10
12.2,177.8,8
12.3,177.8,6
12.4,177.8,7
