sunspots,year,since1900
5,1700,before
11,1701,before
16,1702,before
23,1703,before
36,1704,before
58,1705,before
29,1706,before
20,1707,before
10,1708,before
8,1709,before
3,1710,before
0,1711,before
0,1712,before
2,1713,before
11,1714,before
27,1715,before
47,1716,before
63,1717,before
60,1718,before
39,1719,before
28,1720,before
26,1721,before
22,1722,before
11,1723,before
21,1724,before
40,1725,before
78,1726,before
122,1727,before
103,1728,before
73,1729,before
47,1730,before
35,1731,before
11,1732,before
5,1733,before
16,1734,before
34,1735,before
70,1736,before
81,1737,before
111,1738,before
101,1739,before
73,1740,before
40,1741,before
20,1742,before
16,1743,before
5,1744,before
11,1745,before
22,1746,before
40,1747,before
60,1748,before
80.9,1749,before
83.4,1750,before
47.7,1751,before
47.8,1752,before
30.7,1753,before
12.2,1754,before
9.6,1755,before
10.2,1756,before
32.4,1757,before
47.6,1758,before
54,1759,before
62.9,1760,before
85.9,1761,before
61.2,1762,before
45.1,1763,before
36.4,1764,before
20.9,1765,before
11.4,1766,before
37.8,1767,before
69.8,1768,before
106.1,1769,before
100.8,1770,before
81.6,1771,before
66.5,1772,before
34.8,1773,before
30.6,1774,before
7,1775,before
19.8,1776,before
92.5,1777,before
154.4,1778,before
125.9,1779,before
84.8,1780,before
68.1,1781,before
38.5,1782,before
22.8,1783,before
10.2,1784,before
24.1,1785,before
82.9,1786,before
132,1787,before
130.9,1788,before
118.1,1789,before
89.9,1790,before
66.6,1791,before
60,1792,before
46.9,1793,before
41,1794,before
21.3,1795,before
16,1796,before
6.4,1797,before
4.1,1798,before
6.8,1799,before
14.5,1800,before
34,1801,before
45,1802,before
43.1,1803,before
47.5,1804,before
42.2,1805,before
28.1,1806,before
10.1,1807,before
8.1,1808,before
2.5,1809,before
0,1810,before
1.4,1811,before
5,1812,before
12.2,1813,before
13.9,1814,before
35.4,1815,before
45.8,1816,before
41.1,1817,before
30.1,1818,before
23.9,1819,before
15.6,1820,before
6.6,1821,before
4,1822,before
1.8,1823,before
8.5,1824,before
16.6,1825,before
36.3,1826,before
49.6,1827,before
64.2,1828,before
67,1829,before
70.9,1830,before
47.8,1831,before
27.5,1832,before
8.5,1833,before
13.2,1834,before
56.9,1835,before
121.5,1836,before
138.3,1837,before
103.2,1838,before
85.7,1839,before
64.6,1840,before
36.7,1841,before
24.2,1842,before
10.7,1843,before
15,1844,before
40.1,1845,before
61.5,1846,before
98.5,1847,before
124.7,1848,before
96.3,1849,before
66.6,1850,before
64.5,1851,before
54.1,1852,before
39,1853,before
20.6,1854,before
6.7,1855,before
4.3,1856,before
22.7,1857,before
54.8,1858,before
93.8,1859,before
95.8,1860,before
77.2,1861,before
59.1,1862,before
44,1863,before
47,1864,before
30.5,1865,before
16.3,1866,before
7.3,1867,before
37.6,1868,before
74,1869,before
139,1870,before
111.2,1871,before
101.6,1872,before
66.2,1873,before
44.7,1874,before
17,1875,before
11.3,1876,before
12.4,1877,before
3.4,1878,before
6,1879,before
32.3,1880,before
54.3,1881,before
59.7,1882,before
63.7,1883,before
63.5,1884,before
52.2,1885,before
25.4,1886,before
13.1,1887,before
6.8,1888,before
6.3,1889,before
7.1,1890,before
35.6,1891,before
73,1892,before
85.1,1893,before
78,1894,before
64,1895,before
41.8,1896,before
26.2,1897,before
26.7,1898,before
12.1,1899,before
9.5,1900,after
2.7,1901,after
5,1902,after
24.4,1903,after
42,1904,after
63.5,1905,after
53.8,1906,after
62,1907,after
48.5,1908,after
43.9,1909,after
18.6,1910,after
5.7,1911,after
3.6,1912,after
1.4,1913,after
9.6,1914,after
47.4,1915,after
57.1,1916,after
103.9,1917,after
80.6,1918,after
63.6,1919,after
37.6,1920,after
26.1,1921,after
14.2,1922,after
5.8,1923,after
16.7,1924,after
44.3,1925,after
63.9,1926,after
69,1927,after
77.8,1928,after
64.9,1929,after
35.7,1930,after
21.2,1931,after
11.1,1932,after
5.7,1933,after
8.7,1934,after
36.1,1935,after
79.7,1936,after
114.4,1937,after
109.6,1938,after
88.8,1939,after
67.8,1940,after
47.5,1941,after
30.6,1942,after
16.3,1943,after
9.6,1944,after
33.2,1945,after
92.6,1946,after
151.6,1947,after
136.3,1948,after
134.7,1949,after
83.9,1950,after
69.4,1951,after
31.5,1952,after
13.9,1953,after
4.4,1954,after
38,1955,after
141.7,1956,after
190.2,1957,after
184.8,1958,after
159,1959,after
112.3,1960,after
53.9,1961,after
37.5,1962,after
27.9,1963,after
10.2,1964,after
15.1,1965,after
47,1966,after
93.8,1967,after
105.9,1968,after
105.5,1969,after
104.5,1970,after
66.6,1971,after
68.9,1972,after
38,1973,after
34.5,1974,after
15.5,1975,after
12.6,1976,after
27.5,1977,after
92.5,1978,after
155.4,1979,after
154.7,1980,after
140.5,1981,after
115.9,1982,after
66.6,1983,after
45.9,1984,after
17.9,1985,after
13.4,1986,after
29.2,1987,after
100.2,1988,after
