height,weight,bat,throw,field,average
74,218,R,L,0,3.33
75,185,R,R,1,0.286
77,219,L,L,0,3.04
73,185,R,R,1,0.271
69,160,S,R,1,0.242
73,222,R,R,0,3.92
78,225,R,R,0,3.46
76,205,R,R,0,3.42
77,230,L,R,1,0.303
78,225,R,R,0,3.46
76,190,R,R,0,3.75
72,180,S,R,1,0.236
73,185,R,R,1,0.245
73,200,L,L,0,4.8
74,195,R,R,1,0.276
75,195,R,R,0,3.66
72,185,L,L,1,0.3
75,190,R,R,1,0.239
76,200,R,R,0,3.38
76,180,L,L,0,3.29
72,175,L,L,1,0.29
76,195,L,L,0,4.99
68,175,L,R,1,0.283
73,185,R,R,1,0.271
69,160,R,R,1,0.225
76,211,S,R,1,0.282
77,190,S,R,1,0.212
74,195,R,R,1,0.262
75,200,R,R,0,3.94
73,207,S,R,1,0.251
79,232,L,L,0,3.1
72,190,R,R,1,0.238
75,200,L,R,0,3.18
70,175,L,R,1,0.279
75,200,R,R,1,0.274
78,220,R,R,0,3.88
73,195,R,R,0,4.57
75,205,L,L,1,0.284
74,185,R,R,1,0.286
71,185,S,R,1,0.218
73,210,R,R,1,0.282
76,210,L,L,0,3.28
73,195,R,R,1,0.243
75,205,R,R,0,3.7
73,175,R,L,0,4.65
73,190,L,L,1,0.238
74,185,S,L,0,4.07
72,190,S,R,1,0.254
73,210,R,R,0,3.29
71,195,R,R,1,0.244
71,166,R,R,1,0.274
71,185,R,L,0,3.73
73,160,R,R,0,4.76
74,170,L,L,1,0.271
76,185,R,R,0,2.84
71,155,S,R,1,0.251
76,190,R,R,0,3.28
71,160,S,R,1,0.27
70,155,S,R,1,0.261
