y1983,y1993
416,871.7000122
613.7999878,660.5
494.2000122,670.7999878
297.7000122,576.5
772.5999756,1119.699951
476.3999939,578.7999878
375,495.2999878
453.1000061,621.2000122
1985.400024,2832.800049
826.7000122,1207.199951
456.7000122,733.2000122
252.1000061,258.3999939
238.6999969,281.3999939
553,977.2999878
283.7999878,508.2999878
181.1000061,278
326.6000061,510.7999878
322.2000122,535.5
640.9000244,984.5999756
159.6000061,130.8999939
807.0999756,1000.099976
576.7999878,779
716.7000122,770.0999756
190.8999939,338
280.3999939,411.7000122
477.2000122,740.4000244
212.6000061,169.8999939
217.6999969,348.6000061
655.2000122,696.7999878
125.0999985,125.6999969
553.0999756,625.7999878
686.7999878,934.9000244
914.0999756,1122.099976
409.6000061,681
53.70000076,83.30000305
397.8999939,525.9000244
423.3999939,622.7999878
487.7999878,510.2000122
342.7999878,427
355.2000122,394.5
616.7999878,944.5
120,194.5
402,746.2000122
512.2000122,806.2999878
256,290.5
132.6000061,109.5
292.5,374.8999939
371.7999878,534.5
171.8000031,211.5
190.8999939,275.7000122
237.1999969,319.5
