Date,Total.Steps,Aerobic.Steps,Aerobic.Walking.Time,Calories,Distance,Season,Weekday
2013-05-06,2181,0,0,99,0.68,Spring,Mon
2013-05-07,6773,0,0,339,2.13,Spring,Tue
2013-05-08,7830,5534,48,352,2.47,Spring,Wed
2013-05-09,4698,0,0,200,1.48,Spring,Thu
2013-05-10,10075,2464,23,504,3.18,Spring,Fri
2013-05-11,8690,1036,10,414,2.74,Spring,Sat
2013-05-13,10936,5925,53,524,3.45,Spring,Mon
2013-05-15,2834,0,0,132,0.89,Spring,Wed
2013-05-16,6139,0,0,327,1.93,Spring,Thu
2013-05-17,3006,0,0,148,0.94,Spring,Fri
2013-05-18,6243,0,0,281,1.97,Spring,Sat
2013-05-19,1935,0,0,71,0.61,Spring,Sun
2013-05-20,8344,1501,14,414,2.63,Spring,Mon
2013-05-21,3239,0,0,157,1.02,Spring,Tue
2013-05-22,3485,0,0,172,1.1,Spring,Wed
2013-05-23,5392,0,0,254,1.7,Spring,Thu
2013-05-24,6258,0,0,334,1.97,Spring,Fri
2013-05-25,6284,0,0,321,1.98,Spring,Sat
2013-05-26,2586,0,0,117,0.81,Spring,Sun
2013-05-27,6274,2276,21,307,1.98,Spring,Mon
2013-05-28,4552,1027,10,219,1.43,Spring,Tue
2013-05-29,4117,0,0,217,1.29,Spring,Wed
2013-05-30,6112,3181,29,281,1.92,Spring,Thu
2013-05-31,7567,3451,33,373,2.38,Spring,Fri
2013-06-01,4194,0,0,189,1.32,Summer,Sat
2013-06-02,3758,0,0,203,1.18,Summer,Sun
2013-06-03,8533,3530,34,512,3.77,Summer,Mon
2013-06-04,9704,4824,45,586,4.44,Summer,Tue
2013-06-05,7083,4035,39,420,3.24,Summer,Wed
2013-06-06,6662,4043,39,418,3.04,Summer,Thu
2013-06-07,8214,2444,22,502,3.75,Summer,Fri
2013-06-08,6801,0,0,427,3.11,Summer,Sat
2013-06-09,3112,0,0,158,1.42,Summer,Sun
2013-06-10,6966,3224,31,413,3.18,Summer,Mon
2013-06-11,7008,3316,31,416,3.2,Summer,Tue
2013-06-12,6119,1364,12,343,2.8,Summer,Wed
2013-06-13,6033,1742,16,368,2.76,Summer,Thu
2013-06-14,6744,0,0,393,3.08,Summer,Fri
2013-06-15,9124,0,0,550,4.17,Summer,Sat
2013-06-16,4112,0,0,222,1.88,Summer,Sun
2013-06-17,6637,3483,32,411,3.03,Summer,Mon
2013-06-18,6972,1473,14,428,3.19,Summer,Tue
2013-06-19,6013,0,0,357,2.75,Summer,Wed
2013-06-20,6038,0,0,364,2.76,Summer,Thu
2013-06-21,6325,0,0,368,2.89,Summer,Fri
2013-06-22,8106,0,0,459,3.71,Summer,Sat
2013-06-23,4301,0,0,251,1.96,Summer,Sun
2013-06-24,6154,3094,29,363,2.81,Summer,Mon
2013-06-25,6020,3277,31,355,2.75,Summer,Tue
2013-06-26,6066,1357,12,383,2.77,Summer,Wed
2013-06-27,7157,1843,17,424,3.27,Summer,Thu
2013-06-28,6360,1040,10,371,2.91,Summer,Fri
2013-06-29,6210,1304,12,351,2.84,Summer,Sat
2013-06-30,3889,0,0,205,1.78,Summer,Sun
2013-07-01,6013,2442,21,356,2.75,Summer,Mon
2013-07-02,6076,2965,27,357,2.78,Summer,Tue
2013-07-03,6037,1726,16,368,2.76,Summer,Wed
2013-07-04,6864,0,0,382,3.14,Summer,Thu
2013-07-05,6218,1807,17,375,2.84,Summer,Fri
2013-07-06,3051,0,0,146,1.39,Summer,Sat
2013-07-07,2682,0,0,155,1.22,Summer,Sun
2013-07-08,12519,7176,67,750,5.72,Summer,Mon
2013-07-09,3682,0,0,196,1.68,Summer,Tue
2013-07-10,6307,3450,32,394,2.88,Summer,Wed
2013-07-11,6332,3068,29,374,2.89,Summer,Thu
