"y" "x1" "x2" "x3" "x4" "x5" "x6"
"1" 0.8293 0.44716 4.68 4.87 -1 8.4 4.916
"2" 1.11394 0.14613 5.19 4.5 -1 6.5 4.563
"3" 1.16879 0.14613 4.82 4.73 -1 7.9 5.321
"4" 1.10037 0.51851 4.85 4.76 -1 8.3 4.865
"5" 0.91645 0.23045 4.86 4.95 -1 8.4 3.776
"6" 1.02816 0.4624 5.16 4.45 -1 7.4 4.397
"7" 0.86213 0.5682 4.82 5.05 -1 6.8 4.867
"8" 1.10278 0.23045 4.86 4.7 -1 8.6 4.828
"9" 1.09968 -0.03621 4.78 4.84 -1 6.7 4.865
"10" 1.31387 -0.16749 5.16 4.76 -1 7.7 4.034
"11" 0.55388 0.77815 4.57 4.82 -1 7.4 5.45
"12" 0.8451 0.63347 4.61 4.65 -1 6.7 4.853
"13" 1.4183 -0.22185 5.07 5.1 -1 7.5 4.257
"14" 1.06707 0.25537 4.66 5.09 -1 8.2 5.144
"15" 0.88479 0.77815 5.42 4.41 -1 5.8 3.718
"16" 1.08814 0.64345 5.01 4.74 -1 7.1 4.715
"17" -0.11919 1.94448 4.97 4.66 1 6.5 4.625
"18" 0.13033 1.79239 4.01 4.72 1 8 4.977
"19" 0.15836 1.69897 4.96 4.9 1 6.8 4.322
"20" 0.20412 1.76343 5.2 4.7 1 8.2 5.087
"21" 0.04139 1.95424 4.8 4.6 1 6.6 5.971
"22" 0.07058 1.81954 4.98 4.69 1 6.4 4.647
"23" 0.07918 2.14613 5.35 4.76 1 7.3 5.115
"24" 0.25181 2.38021 5.04 4.8 1 7.8 5.939
"25" 0.14267 2.62325 4.8 4.8 1 7.4 5.916
"26" 0.3279 2.69897 4.83 4.6 1 6.7 5.471
"27" 0.48149 2.25527 4.66 4.72 1 7.2 4.602
"28" 0.58503 2.43136 4.67 4.5 1 6.3 5.043
"29" 0.11919 2.23045 4.72 4.7 1 6.8 5.075
"30" 0.09691 1.99123 5 5.07 1 7.2 4.334
"31" 0.30102 1.54407 4.7 4.8 1 7.7 5.705
