field,soil,yield,water,herbicide
1,loam,76.7,29.5,7.5
2,loam,60.5,32.1,6.3
3,loam,96.1,40.7,4.2
4,loam,88.1,45.1,4.9
5,loam,50.2,34.1,11.7
6,loam,55.0,31.1,6.9
7,loam,65.4,21.6,4.3
8,loam,65.7,27.7,5.3
9,sandy,67.3,48.3,5.5
10,sandy,61.3,28.9,6.9
11,sandy,58.2,42.5,4.8
12,sandy,76.9,20.4,3
13,sandy,66.9,23.9,1.1
14,sandy,55.4,29.1,5
15,sandy,50.5,18.0,4.8
16,sandy,64.1,14.5,3.7
17,salty,62.8,25.9,2.9
18,salty,45,15.9,1.2
19,salty,47.8,36.1,4.1
20,salty,75.6,27.7,6.3
21,salty,46.6,46.9,3.6
22,salty,50.6,29.7,4.7
23,salty,45.7,27.6,6.2
24,salty,68.4,35.3,1.9
25,clay,52.5,39,3.1
26,clay,80.0,54.2,4
27,clay,54.7,32.1,5.7
28,clay,63.5,25.6,3
29,clay,46.3,31.8,7.4
30,clay,61.5,16.8,1.9
31,clay,62.9,25.8,2.4
32,clay,49.3,39.4,5.2
