deaths,when,seatbelt_law
1687,1969,no
1508,1969.0833333333333,no
1507,1969.1666666666667,no
1385,1969.25,no
1632,1969.3333333333335,no
1511,1969.4166666666667,no
1559,1969.5,no
1630,1969.5833333333335,no
1579,1969.6666666666667,no
1653,1969.7500000000002,no
2152,1969.8333333333335,no
2148,1969.9166666666667,no
1752,1970,no
1765,1970.0833333333335,no
1717,1970.166666666667,no
1558,1970.2500000000002,no
1575,1970.3333333333337,no
1520,1970.416666666667,no
1805,1970.5000000000002,no
1800,1970.5833333333337,no
1719,1970.666666666667,no
2008,1970.7500000000005,no
2242,1970.8333333333337,no
2478,1970.916666666667,no
2030,1971,no
1655,1971.0833333333337,no
1693,1971.1666666666672,no
1623,1971.2500000000005,no
1805,1971.3333333333337,no
1746,1971.4166666666672,no
1795,1971.5000000000005,no
1926,1971.583333333334,no
1619,1971.6666666666672,no
1992,1971.7500000000005,no
2233,1971.833333333334,no
2192,1971.9166666666672,no
2080,1972,no
1768,1972.083333333334,no
1835,1972.1666666666674,no
1569,1972.2500000000007,no
1976,1972.333333333334,no
1853,1972.4166666666674,no
1965,1972.5000000000007,no
1689,1972.5833333333342,no
1778,1972.6666666666674,no
1976,1972.7500000000007,no
2397,1972.8333333333342,no
2654,1972.9166666666674,no
2097,1973,no
1963,1973.0833333333342,no
1677,1973.1666666666674,no
1941,1973.250000000001,no
2003,1973.3333333333342,no
1813,1973.4166666666677,no
2012,1973.500000000001,no
1912,1973.5833333333342,no
2084,1973.6666666666677,no
2080,1973.750000000001,no
2118,1973.8333333333344,no
2150,1973.9166666666677,no
1608,1974,no
1503,1974.0833333333344,no
1548,1974.1666666666677,no
1382,1974.2500000000011,no
1731,1974.3333333333344,no
1798,1974.4166666666679,no
1779,1974.5000000000011,no
1887,1974.5833333333344,no
2004,1974.6666666666679,no
2077,1974.7500000000011,no
2092,1974.8333333333346,no
2051,1974.9166666666679,no
1577,1975,no
1356,1975.0833333333346,no
1652,1975.1666666666679,no
1382,1975.2500000000014,no
1519,1975.3333333333346,no
1421,1975.4166666666679,no
1442,1975.5000000000014,no
1543,1975.5833333333346,no
1656,1975.666666666668,no
1561,1975.7500000000014,no
1905,1975.8333333333346,no
2199,1975.916666666668,no
1473,1976,no
1655,1976.0833333333348,no
1407,1976.166666666668,no
1395,1976.2500000000016,no
1530,1976.3333333333348,no
1309,1976.416666666668,no
1526,1976.5000000000016,no
1327,1976.5833333333348,no
1627,1976.6666666666683,no
1748,1976.7500000000016,no
1958,1976.8333333333348,no
2274,1976.9166666666683,no
1648,1977,no
1401,1977.083333333335,no
1411,1977.1666666666683,no
1403,1977.2500000000016,no
1394,1977.333333333335,no
1520,1977.4166666666683,no
1528,1977.5000000000018,no
1643,1977.583333333335,no
1515,1977.6666666666683,no
1685,1977.7500000000018,no
2000,1977.833333333335,no
2215,1977.9166666666686,no
1956,1978,no
1462,1978.0833333333353,no
1563,1978.1666666666686,no
1459,1978.2500000000018,no
1446,1978.3333333333353,no
1622,1978.4166666666686,no
1657,1978.500000000002,no
1638,1978.5833333333353,no
1643,1978.6666666666686,no
1683,1978.750000000002,no
2050,1978.8333333333353,no
2262,1978.9166666666688,no
1813,1979,no
1445,1979.0833333333353,no
1762,1979.1666666666688,no
1461,1979.250000000002,no
1556,1979.3333333333355,no
1431,1979.4166666666688,no
1427,1979.500000000002,no
1554,1979.5833333333355,no
1645,1979.6666666666688,no
1653,1979.7500000000023,no
2016,1979.8333333333355,no
2207,1979.9166666666688,no
1665,1980,no
1361,1980.0833333333355,no
1506,1980.166666666669,no
1360,1980.2500000000023,no
1453,1980.3333333333358,no
1522,1980.416666666669,no
1460,1980.5000000000023,no
1552,1980.5833333333358,no
1548,1980.666666666669,no
1827,1980.7500000000025,no
1737,1980.8333333333358,no
1941,1980.916666666669,no
1474,1981,no
1458,1981.0833333333358,no
1542,1981.1666666666692,no
1404,1981.2500000000025,no
1522,1981.3333333333358,no
1385,1981.4166666666692,no
1641,1981.5000000000025,no
1510,1981.583333333336,no
1681,1981.6666666666692,no
1938,1981.7500000000025,no
1868,1981.833333333336,no
1726,1981.9166666666692,no
1456,1982,no
1445,1982.083333333336,no
1456,1982.1666666666695,no
1365,1982.2500000000027,no
1487,1982.333333333336,no
1558,1982.4166666666695,no
1488,1982.5000000000027,no
1684,1982.5833333333362,no
1594,1982.6666666666695,no
1850,1982.7500000000027,no
1998,1982.8333333333362,no
2079,1982.9166666666695,no
1494,1983,no
1057,1983.0833333333362,yes
1218,1983.1666666666695,yes
1168,1983.250000000003,yes
1236,1983.3333333333362,yes
1076,1983.4166666666697,yes
1174,1983.500000000003,yes
1139,1983.5833333333362,yes
1427,1983.6666666666697,yes
1487,1983.750000000003,yes
1483,1983.8333333333364,yes
1513,1983.9166666666697,yes
1357,1984,yes
1165,1984.0833333333364,yes
1282,1984.1666666666697,yes
1110,1984.2500000000032,yes
1297,1984.3333333333364,yes
1185,1984.41666666667,yes
1222,1984.5000000000032,yes
1284,1984.5833333333364,yes
1444,1984.66666666667,yes
1575,1984.7500000000032,yes
1737,1984.8333333333367,yes
1763,1984.91666666667,yes
