Player,Team,TotalMoney,YearlySalary,Position
A'Shawn Robinson,Lions,5.234,1.308,defensive_line
A.J. Bouye,Jaguars,67.5,13.5,defensive_back
A.J. Brown,Titans,5.652,1.413,receiver
A.J. Green,Bengals,60,15,receiver
A.J. Klein,Saints,15,5,linebacker
A.J. Moore,Texans,1.71,0.57,defensive_back
A.Q. Shipley,Cardinals,2.7,1.35,offensive_line
Aaron Brewer,Cardinals,4.15,1.038,offensive_line
Aaron Colvin,Redskins,0.805,0.805,defensive_back
Aaron Donald,Rams,135,22.5,defensive_line
Aaron Jones,Packers,2.602,0.65,running_back
Aaron Lynch,Bears,1.5,1.5,linebacker
Aaron Rodgers,Packers,134,33.5,quarterback
Aaron Stinnie,Titans,1.23,0.615,offensive_line
Abdullah Anderson,Bears,1.08,0.54,defensive_line
Abry Jones,Jaguars,15.5,3.875,defensive_line
Adam Butler,Patriots,1.67,0.557,defensive_line
Adam Choice,Seahawks,1.757,0.586,running_back
Adam Gotsis,Broncos,3.938,0.984,defensive_line
Adam Humphries,Titans,36,9,receiver
Adam Pankey,Packers,1.38,0.69,offensive_line
Adam Redmond,Cowboys,1.206,0.603,offensive_line
Adam Shaheen,Bears,5.911,1.478,tight_end
Adam Thielen,Vikings,64.8,16.2,receiver
Adam Vinatieri,Colts,3.875,3.875,kicker
Adarius Taylor,Browns,5,2.5,linebacker
Adoree' Jackson,Titans,11.283,2.821,defensive_back
Adrian Amos,Packers,36,9,defensive_back
Adrian Clayborn,Falcons,2,2,defensive_line
Adrian Peterson,Redskins,5.03,2.515,running_back
Adrian Phillips,Chargers,2,2,defensive_back
Ahkello Witherspoon,49ers,3.885,0.971,defensive_back
AJ Cann,Jaguars,15.055,5.018,offensive_line
AJ Cole,Raiders,1.758,0.586,kicker
AJ McCarron,Texans,3,3,quarterback
Akeem King,Seahawks,1.4,1.4,defensive_back
Akeem Spence,Jaguars,0.805,0.805,defensive_line
Akiem Hicks,Bears,48,12,defensive_line
Al-Quadin Muhammad,Colts,1.935,0.645,defensive_line
Al Woods,Seahawks,2.25,2.25,defensive_line
Albert Huggins,Eagles,1.08,0.54,defensive_line
Albert McClellan,Jets,0.93,0.93,linebacker
Albert Wilson,Dolphins,24,8,receiver
Aldrick Rosas,Giants,0.645,0.645,kicker
Alec Ingold,Raiders,1.765,0.588,running_back
Alec Ogletree,Giants,42,10.5,linebacker
Alejandro Villanueva,Steelers,24,6,offensive_line
Alex Anzalone,Saints,3.466,0.866,linebacker
Alex Armah,Panthers,2.4,0.6,running_back
Alex Bars,Bears,1.08,0.54,offensive_line
Alex Cappa,Buccaneers,3.369,0.842,offensive_line
Alex Erickson,Bengals,4.05,2.025,receiver
Alex Gray,Falcons,1.08,0.54,tight_end
Alex Lewis,Jets,2.832,0.708,offensive_line
Alex Light,Packers,1.713,0.571,offensive_line
Alex Mack,Falcons,45,9,offensive_line
Alex Okafor,Chiefs,18,6,defensive_line
Alex Redmond,Bengals,0.645,0.645,offensive_line
Alex Singleton,Eagles,1.08,0.54,linebacker
Alex Smith,Redskins,94,23.5,quarterback
Alex Tanney,Giants,1.788,0.894,quarterback
Alexander Johnson,Broncos,1.23,0.615,linebacker
Alexander Mattison,Vikings,3.471,0.868,running_back
Alfred Blue,Jaguars,0.895,0.895,running_back
Ali Marpet,Buccaneers,54.125,10.825,offensive_line
Allen Bailey,Falcons,10.5,5.25,defensive_line
Allen Hurns,Dolphins,2.5,2.5,receiver
Allen Lazard,Packers,0.495,0.495,receiver
Allen Robinson,Bears,42,14,receiver
Alshon Jeffery,Eagles,52,13,receiver
Alvin Kamara,Saints,3.858,0.964,running_back
Amani Hooker,Titans,3.256,0.814,defensive_back
Amani Oruwariye,Lions,2.843,0.711,defensive_back
Amari Cooper,Cowboys,22.663,5.666,receiver
Amba Etta-Tawo,Giants,0.495,0.495,receiver
Ameer Abdullah,Vikings,0.81,0.81,running_back
Andre Dillard,Eagles,12.372,3.093,offensive_line
Andre James,Raiders,1.765,0.588,offensive_line
Andre Patton,Chargers,1.08,0.54,receiver
Andre Roberts,Bills,4.6,2.3,receiver
Andre Smith,Bengals,1.03,1.03,offensive_line
Andre Smith,Panthers,2.549,0.637,linebacker
Andrew Adams,Buccaneers,0.72,0.72,defensive_back
Andrew Beck,Broncos,1.77,0.59,tight_end
Andrew Billings,Bengals,2.876,0.719,defensive_line
Andrew Brown,Bengals,1.08,0.54,defensive_line
Andrew Donnal,Dolphins,0.805,0.805,offensive_line
Andrew Lauderdale,49ers,0.495,0.495,offensive_line
Andrew Norwell,Jaguars,66.5,13.3,offensive_line
Andrew Van Ginkel,Dolphins,2.832,0.708,linebacker
Andrew Vollert,Chargers,1.08,0.54,tight_end
Andrew Whitworth,Rams,33.75,11.25,offensive_line
Andrew Wingard,Jaguars,1.76,0.587,defensive_back
Andrew Wylie,Chiefs,1.05,0.525,offensive_line
Andrus Peat,Saints,11.393,2.848,offensive_line
Andy Dalton,Bengals,96,16,quarterback
Andy Isabella,Cardinals,4.63,1.157,receiver
Andy Janovich,Broncos,5.7,1.9,running_back
Andy Lee,Cardinals,4,2,kicker
Angelo Blackson,Texans,12,4,defensive_line
Anthony Averett,Ravens,3.121,0.78,defensive_back
Anthony Barr,Vikings,67.5,13.5,linebacker
Anthony Brown,Cowboys,2.475,0.619,defensive_back
Anthony Castonzo,Colts,43.812,10.953,offensive_line
Anthony Chickillo,Steelers,8,4,linebacker
Anthony Firkser,Titans,1.05,0.525,running_back
Anthony Harris,Vikings,3.095,3.095,defensive_back
Anthony Hitchens,Chiefs,45,9,linebacker
Anthony Levine,Ravens,4.2,1.4,defensive_back
Anthony Miller,Bears,5.354,1.338,receiver
Anthony Nelson,Buccaneers,3.295,0.824,linebacker
Anthony Rush,Eagles,1.08,0.54,defensive_line
Anthony Sherman,Chiefs,1.02,1.02,running_back
Anthony Walker Jr.,Colts,2.665,0.666,linebacker
Anthony Zettel,Bengals,0.72,0.72,defensive_line
Antoine Bethea,Giants,6.5,3.25,defensive_back
Antonio Callaway,Browns,3.178,0.794,receiver
Antonio Hamilton,Giants,1,1,defensive_back
Antony Auclair,Buccaneers,1.685,0.562,tight_end
Antwaun Woods,Cowboys,1.05,0.525,defensive_line
Aqib Talib,Dolphins,57,9.5,defensive_back
Arden Key,Raiders,3.439,0.826,defensive_line
Arik Armstead,49ers,9.843,2.461,defensive_line
Armani Watts,Chiefs,3.121,0.78,defensive_back
Armon Watts,Vikings,2.689,0.672,defensive_line
Arthur Maulet,Jets,0.645,0.645,defensive_back
Artie Burns,Steelers,9.591,2.398,defensive_back
Ashton Dulin,Colts,1.08,0.54,receiver
Auden Tate,Bengals,2.46,0.615,receiver
Austin Blythe,Rams,2.402,0.6,offensive_line
Austin Bryant,Lions,3.253,0.813,defensive_line
Austin Calitro,Jaguars,0.57,0.57,linebacker
Austin Carr,Saints,1.673,0.558,receiver
Austin Corbett,Rams,7.518,1.88,offensive_line
Austin Cutting,Vikings,2.595,0.649,offensive_line
Austin Ekeler,Chargers,1.67,0.557,running_back
Austin Fort,Broncos,1.759,0.586,tight_end
Austin Hooper,Falcons,3.166,1.055,tight_end
Austin Johnson,Titans,5.662,1.416,defensive_line
Austin Reiter,Chiefs,4.55,2.275,offensive_line
Austin Schlottmann,Broncos,1.08,0.54,offensive_line
Austin Seibert,Browns,2.78,0.695,kicker
Avery Moss,Dolphins,1.23,0.615,defensive_line
Avery Williamson,Jets,22.5,7.5,linebacker
Avonte Maddox,Eagles,3.086,0.771,defensive_back
Azeez Al-Shaair,49ers,1.77,0.59,linebacker
B.J. Bello,Jets,0.645,0.645,linebacker
B.J. Finney,Steelers,3.095,3.095,offensive_line
B.J. Goodson,Packers,2.922,0.731,linebacker
B.J. Hill,Giants,4.048,1.012,defensive_line
B.W. Webb,Bengals,10.5,3.5,defensive_back
Baker Mayfield,Browns,32.683,8.171,quarterback
Barkevious Mingo,Texans,6.8,3.4,linebacker
Bashaud Breeland,Chiefs,2,2,defensive_back
Beau Allen,Buccaneers,4,4,defensive_line
Beau Benzschawel,Lions,1.765,0.588,offensive_line
Beau Brinkley,Titans,5.125,1.281,offensive_line
Ben Banogu,Colts,5.945,1.486,defensive_line
Ben Braunecker,Bears,2.7,1.35,tight_end
Ben Burr-Kirven,Seahawks,2.863,0.716,linebacker
Ben Garland,49ers,0.805,0.805,offensive_line
Ben Gedeon,Vikings,3.033,0.758,linebacker
Ben Ijalana,Jaguars,0.805,0.805,offensive_line
Ben Jones,Titans,13.5,6.75,offensive_line
Ben Koyack,Jaguars,0.72,0.72,tight_end
Ben Niemann,Chiefs,1.716,0.572,linebacker
Ben Powers,Ravens,3.218,0.804,offensive_line
Ben Roethlisberger,Steelers,68,34,quarterback
Ben Watson,Patriots,0.8,0.8,tight_end
Benardrick McKinney,Texans,50,10,linebacker
Benjamin Snell Jr.,Steelers,3.222,0.806,running_back
