animal,conc,brood1,brood2,brood3
1,0,3,14,10
2,0,5,12,15
3,0,6,11,17
4,0,6,12,15
5,0,6,15,15
6,0,5,14,15
7,0,6,12,15
8,0,5,13,12
9,0,3,10,11
10,0,6,11,14
11,80,6,11,16
12,80,5,12,16
13,80,6,11,18
14,80,5,12,16
15,80,8,13,15
16,80,3,9,14
17,80,5,9,13
18,80,7,12,12
19,80,5,13,14
20,80,3,12,14
21,160,6,12,11
22,160,6,12,11
23,160,2,8,13
24,160,6,10,11
25,160,6,11,13
26,160,6,13,12
27,160,6,12,12
28,160,5,10,11
29,160,6,13,10
30,160,6,12,11
31,235,4,13,6
32,235,6,10,5
33,235,2,5,0
34,235,6,0,6
35,235,6,13,8
36,235,6,0,10
37,235,7,0,6
38,235,4,2,9
39,235,6,8,7
40,235,7,0,10
41,310,6,0,0
42,310,6,0,0
43,310,7,0,0
44,310,0,0,0
45,310,5,10,0
46,310,5,0,0
47,310,6,0,0
48,310,4,0,0
49,310,6,0,0
50,310,5,0,0
