state,year,salary
Alabama,1994,81151
Alaska,1994,81648
Arizona,1994,75000
Arkansas,1994,60000
California,1994,120000
Colorado,1994,70000
Connecticut,1994,78000
Delaware,1994,95000
Florida,1994,101764
Georgia,1994,91092
Hawaii,1994,94780
Idaho,1994,75000
Illinois,1994,103097
Indiana,1994,77200
Iowa,1994,76700
Kansas,1994,76476
Kentucky,1994,86352
Louisiana,1994,73440
Maine,1994,70000
Maryland,1994,NA
Massachusetts,1994,75000
Michigan,1994,112025
Minnesota,1994,109053
Mississippi,1994,75600
Missouri,1994,90312
Montana,1994,55502
Nebraska,1994,65000
Nevada,1994,90000
New Hampshire,1994,86235
New Jersey,1994,85000
New Mexico,1994,90000
New York,1994,130000
North Carolina,1994,123300
North Dakota,1994,68280
Ohio,1994,115752
Oklahoma,1994,70000
Oregon,1994,80000
Pennsylvania,1994,105000
Rhode Island,1994,69900
South Carolina,1994,101959
South Dakota,1994,74649
Tennessee,1994,85000
Texas,1994,99122
Utah,1994,70000
Vermont,1994,NA
Virginia,1994,110000
Washington,1994,121000
West Virginia,1994,90000
Wisconsin,1994,92283
Wyoming,1994,70000
Alabama,1999,94655
Alaska,1999,81648
Arizona,1999,95000
Arkansas,1999,60000
California,1999,165000
Colorado,1999,90000
Connecticut,1999,78000
Delaware,1999,107000
Florida,1999,117240
Georgia,1999,115939
Hawaii,1999,94780
Idaho,1999,92500
Illinois,1999,140132
Indiana,1999,77200
Iowa,1999,104352
Kansas,1999,91742
Kentucky,1999,97067
Louisiana,1999,95000
Maine,1999,70000
Maryland,1999,120000
Massachusetts,1999,90000
Michigan,1999,127300
Minnesota,1999,120303
Mississippi,1999,83160
Missouri,1999,112755
Montana,1999,83672
Nebraska,1999,65000
Nevada,1999,117000
New Hampshire,1999,90547
New Jersey,1999,85000
New Mexico,1999,90000
New York,1999,179000
North Carolina,1999,113656
North Dakota,1999,76879
Ohio,1999,119235
Oklahoma,1999,101140
Oregon,1999,88300
Pennsylvania,1999,105035
Rhode Island,1999,95000
South Carolina,1999,106078
South Dakota,1999,87276
Tennessee,1999,85000
Texas,1999,115345
Utah,1999,93000
Vermont,1999,115763
Virginia,1999,124855
Washington,1999,132000
West Virginia,1999,90000
Wisconsin,1999,115699
Wyoming,1999,95000
