SO2,temp,mfgfirms,popn,wind,precip,raindays,lnSO2,lnmfg,lnpopn
10,70.3,213,582,6,7.05,36,2.302585092994046,5.3612921657094255,6.366470447731438
13,61,91,132,8.2,48.52,100,2.5649493574615367,4.51085950651685,4.882801922586371
12,56.7,453,716,8.7,20.66,67,2.4849066497880004,6.115892125483034,6.573680166960646
17,51.9,454,515,9,12.95,86,2.833213344056216,6.118097198041348,6.244166900663736
56,49.1,412,158,9,43.37,127,4.02535169073515,6.021023349349527,5.062595033026967
36,54,80,80,9,40.25,114,3.58351893845611,4.382026634673881,4.382026634673881
29,57.3,434,757,9.3,38.89,111,3.367295829986474,6.073044534100405,6.6293632534374485
14,68.4,136,529,8.8,54.47,116,2.6390573296152584,4.912654885736052,6.270988431858299
10,75.5,207,335,9,59.8,128,2.302585092994046,5.332718793265369,5.814130531825066
24,61.5,368,497,9.1,48.34,115,3.1780538303479458,5.908082938168931,6.208590026096629
110,50.6,3344,3369,10.4,34.44,122,4.700480365792417,8.114922974204593,8.122371243406553
28,52.3,361,746,9.7,38.74,121,3.332204510175204,5.8888779583328805,6.61472560020376
17,49,104,201,11.2,30.85,103,2.833213344056216,4.6443908991413725,5.303304908059076
8,56.6,125,277,12.7,30.58,82,2.0794415416798357,4.8283137373023015,5.6240175061873385
30,55.6,291,593,8.3,43.11,123,3.4011973816621555,5.673323267171493,6.385194398997726
9,68.3,204,361,8.4,56.77,113,2.1972245773362196,5.318119993844216,5.8888779583328805
47,55,625,905,9.6,41.31,111,3.8501476017100584,6.437751649736401,6.807934943699926
35,49.9,1064,1513,10.1,30.96,129,3.5553480614894135,6.96979066990159,7.321849713788356
29,43.5,699,744,10.6,25.94,137,3.367295829986474,6.54965074223381,6.612041034833092
14,54.5,381,507,10,37,99,2.6390573296152584,5.942799375126701,6.2285110035911835
56,55.9,775,622,9.5,35.89,105,4.02535169073515,6.652863029353347,6.432940092739179
14,51.5,181,347,10.9,30.18,98,2.6390573296152584,5.198497031265826,5.849324779946859
11,56.8,46,244,8.9,7.77,58,2.3978952727983707,3.828641396489095,5.497168225293202
46,47.6,44,116,8.8,33.36,135,3.828641396489095,3.784189633918261,4.7535901911063645
11,47.1,391,463,12.4,36.11,166,2.3978952727983707,5.968707559985366,6.137727054086234
23,54,462,453,7.1,39.04,132,3.1354942159291497,6.135564891081739,6.115892125483034
65,49.7,1007,751,10.9,34.99,155,4.174387269895637,6.914730892718563,6.621405651764134
26,51.5,266,540,8.6,37.01,134,3.258096538021482,5.583496308781699,6.29156913955832
69,54.6,1692,1950,9.6,39.93,115,4.23410650459726,7.433666540166168,7.575584651557793
61,50.4,347,520,9.4,36.22,147,4.110873864173311,5.849324779946859,6.253828811575473
94,50,343,179,10.6,42.75,125,4.543294782270004,5.8377304471659395,5.187385805840755
10,61.6,337,624,9.2,49.1,105,2.302585092994046,5.820082930352362,6.436150368369428
18,59.4,275,448,7.9,46,119,2.8903717578961645,5.616771097666572,6.104793232414985
9,66.2,641,844,10.9,35.94,78,2.1972245773362196,6.46302945692067,6.7381524945959574
10,68.9,721,1233,10.8,48.19,103,2.302585092994046,6.580639137284949,7.117205503164344
28,51,137,176,8.7,15.17,89,3.332204510175204,4.919980925828125,5.170483995038151
31,59.3,96,308,10.6,44.68,116,3.4339872044851463,4.564348191467836,5.730099782973574
26,57.8,197,299,7.6,42.59,115,3.258096538021482,5.2832037287379885,5.700443573390687
29,51.1,379,531,9.4,38.79,164,3.367295829986474,5.937536205082426,6.274762021241939
31,55.2,35,71,6.5,40.75,148,3.4339872044851463,3.5553480614894135,4.2626798770413155
16,45.7,569,717,11.8,29.07,123,2.772588722239781,6.343880434126331,6.57507584059962
