day,time,temp,activ
307,930,36.58,no
307,940,36.73,no
307,950,36.93,no
307,1000,37.15,no
307,1010,37.23,no
307,1020,37.24,no
307,1030,37.24,no
307,1040,36.9,no
307,1050,36.95,no
307,1100,36.89,no
307,1110,36.95,no
307,1120,37,no
307,1130,36.9,no
307,1140,36.99,no
307,1150,36.99,no
307,1200,37.01,no
307,1210,37.04,no
307,1220,37.04,no
307,1230,37.14,no
307,1240,37.07,no
307,1250,36.98,no
307,1300,37.01,no
307,1310,36.97,no
307,1320,36.97,no
307,1330,37.12,no
307,1340,37.13,no
307,1350,37.14,no
307,1400,37.15,no
307,1410,37.17,no
307,1420,37.12,no
307,1430,37.12,no
307,1440,37.17,no
307,1450,37.28,no
307,1500,37.28,no
307,1510,37.44,no
307,1520,37.51,no
307,1530,37.64,no
307,1540,37.51,no
307,1550,37.98,yes
307,1600,38.02,yes
307,1610,38,yes
307,1620,38.24,yes
307,1630,38.1,yes
307,1640,38.24,yes
307,1650,38.11,yes
307,1700,38.02,yes
307,1710,38.11,yes
307,1720,38.01,yes
307,1730,37.91,yes
307,1740,37.96,yes
307,1750,38.03,yes
307,1800,38.17,yes
307,1810,38.19,yes
307,1820,38.18,yes
307,1830,38.15,yes
307,1840,38.04,yes
307,1850,37.96,yes
307,1900,37.84,yes
307,1910,37.83,yes
307,1920,37.84,yes
307,1930,37.74,yes
307,1940,37.76,yes
307,1950,37.76,yes
307,2000,37.64,yes
307,2010,37.63,yes
307,2020,38.06,yes
307,2030,38.19,yes
307,2040,38.35,yes
307,2050,38.25,yes
307,2100,37.86,yes
307,2110,37.95,yes
307,2120,37.95,yes
307,2130,37.76,yes
307,2140,37.6,yes
307,2150,37.89,yes
307,2200,37.86,yes
307,2210,37.71,yes
307,2220,37.78,yes
307,2230,37.82,yes
307,2240,37.76,yes
307,2250,37.81,yes
307,2300,37.84,yes
307,2310,38.01,yes
307,2320,38.1,yes
307,2330,38.15,yes
307,2340,37.92,yes
307,2350,37.64,yes
308,0,37.7,yes
308,10,37.46,yes
308,20,37.41,yes
308,30,37.46,yes
308,40,37.56,yes
308,50,37.55,yes
308,100,37.75,yes
308,110,37.76,yes
308,120,37.73,yes
308,130,37.77,yes
308,140,38.01,yes
308,150,38.04,yes
308,200,38.07,yes
