School,Minority,Sex,SES,MathAch
59,No,Female,-1.528,5.876
59,No,Female,-0.588,19.708
59,No,Male,-0.528,20.349
59,No,Male,-0.668,8.781
59,No,Male,-0.158,17.898
59,No,Male,0.022,4.583
59,No,Female,-0.618,-2.832
59,No,Male,-0.998,0.523
59,No,Female,-0.888,1.527
59,No,Male,-0.458,21.521
59,No,Female,-1.448,9.475
59,No,Female,-0.658,16.057
59,No,Male,-0.468,21.178
59,No,Female,-0.988,20.178
59,No,Male,0.332,20.349
59,No,Female,-0.678,20.508
59,No,Male,-0.298,19.338
59,Yes,Male,-1.528,4.145
59,No,Female,0.042,2.927
59,No,Male,-0.078,16.405
59,No,Female,0.062,13.653
59,No,Female,-0.128,6.558
59,No,Female,0.472,9.653
59,No,Male,-0.468,3.154
59,Yes,Female,-1.248,4.753
59,No,Male,-0.628,21.721
59,No,Female,0.832,5.166
59,No,Female,-0.568,6.399
59,No,Female,-0.258,6.821
59,No,Female,-0.138,9.255
59,No,Female,-0.478,3.745
59,No,Female,-0.948,0.858
59,No,Female,0.282,11.542
59,No,Female,-0.118,13.255
59,No,Male,-0.878,10.557
59,No,Male,-0.938,0.868
59,No,Male,-0.548,8.296
59,Yes,Male,0.142,-1.688
59,No,Female,0.972,2.059
59,No,Male,0.372,6.714
59,Yes,Male,-1.658,0.122
59,No,Female,-1.068,2.381
59,No,Female,-0.248,16.336
59,No,Female,-1.398,6.134
59,No,Female,0.752,23.584
59,No,Female,0.012,14.053
59,No,Female,-0.418,2.183
57,No,Female,-0.788,7.857
57,Yes,Male,-0.328,10.171
57,No,Male,0.472,15.699
57,No,Female,0.352,22.919
57,Yes,Female,-1.468,10.664
57,No,Female,0.202,13.543
57,No,Male,-0.518,18.207
57,Yes,Male,-0.158,5.552
57,No,Male,0.042,7.416
57,No,Male,0.682,18.792
57,No,Male,1.262,1.575
57,No,Female,0.152,3.534
57,No,Female,-0.678,20.173
57,No,Female,0.332,10.772
57,No,Female,-0.728,2.619
57,No,Female,1.262,21.3
57,No,Male,0.612,19.527
57,No,Female,0.692,18.402
57,No,Female,1.082,20.69
57,No,Male,0.222,21.437
57,No,Male,0.032,7.519
57,No,Male,-0.118,18.397
57,No,Male,-0.488,4.617
57,No,Male,0.322,23.578
57,No,Male,0.592,12.81
39,Yes,Female,-0.148,12.668
39,Yes,Male,-0.858,0.781
39,Yes,Female,-1.568,4.968
39,Yes,Male,-0.898,23.172
39,Yes,Female,-0.288,8.278
39,Yes,Female,-1.088,6.244
39,Yes,Female,-1.388,1.326
39,Yes,Male,-1.148,2.359
39,Yes,Female,-0.558,6.757
39,Yes,Female,-0.698,6.251
39,Yes,Female,0.142,3.404
39,Yes,Male,0.522,22.201
39,Yes,Male,0.732,-1.353
39,Yes,Female,-0.248,-0.014
39,Yes,Female,0.322,5.216
39,Yes,Female,0.052,3.587
39,Yes,Female,-0.028,11.162
39,Yes,Female,-0.898,5.982
39,Yes,Male,-0.818,2.814
39,Yes,Female,-1.408,7.272
39,Yes,Male,-1.258,8.895
39,Yes,Male,-0.608,8.773
39,Yes,Female,1.242,12.176
39,No,Male,-0.688,3.052
39,Yes,Female,-0.828,6.834
39,Yes,Female,-0.698,3.255
39,Yes,Female,-0.498,6.355
39,Yes,Male,-0.658,11.589
39,Yes,Female,-0.778,8.08
39,Yes,Female,-0.098,19.822
39,Yes,Female,-1.028,14.239
39,Yes,Female,-0.418,1.17
39,Yes,Female,-0.408,-1.127
39,Yes,Male,0.352,10.84
39,Yes,Female,-1.628,6.778
39,Yes,Female,-0.698,9.449
39,Yes,Male,-0.168,5.995
39,Yes,Female,-0.718,4.765
39,Yes,Female,-1.008,14.399
39,Yes,Male,-0.178,6.588
39,Yes,Male,0.392,11.026
39,Yes,Female,-0.358,7.095
39,Yes,Male,-0.628,12.721
39,Yes,Male,-0.038,5.52
39,Yes,Female,0.972,7.353
39,Yes,Female,0.252,7.095
39,Yes,Female,0.332,9.999
39,Yes,Male,-0.308,10.715
125,No,Male,0.422,13.233
125,No,Male,0.562,13.952
125,Yes,Male,-0.058,13.757
125,No,Male,0.952,13.97
125,No,Male,0.622,23.434
125,No,Male,0.832,9.162
125,No,Male,1.512,23.818
125,No,Male,0.622,15.998
125,Yes,Male,0.332,16.039
125,No,Male,0.442,24.993
125,Yes,Male,0.582,15.657
125,No,Male,1.102,16.258
125,No,Male,0.892,10.546
125,Yes,Male,0.802,17.615
125,Yes,Male,-0.568,21.116
125,Yes,Male,0.522,6.493
125,Yes,Male,0.102,2.512
125,Yes,Male,-0.348,22.393
125,No,Male,0.552,21.488
125,No,Male,0.682,22.676
64,No,Female,0.882,12.862
64,Yes,Female,0.932,8.961
64,Yes,Female,-0.158,4.756
64,Yes,Female,0.362,21.405
64,No,Female,1.372,20.748
64,Yes,Female,0.132,18.362
64,No,Female,0.132,14.752
64,Yes,Female,-0.008,11.29
64,Yes,Female,-0.108,10.493
64,Yes,Female,0.612,10.956
64,Yes,Female,0.482,21.405
64,No,Female,0.502,23.355
64,Yes,Female,0.482,12.283
64,Yes,Female,0.472,9.257
64,No,Female,-0.578,11.502
64,Yes,Female,1.152,20.039
64,Yes,Female,-0.288,21.405
64,Yes,Female,0.942,23.736
64,Yes,Female,0.722,11.027
64,Yes,Female,-0.108,17.203
64,Yes,Female,1.462,10.661
64,Yes,Female,-0.028,7.031
64,No,Female,0.702,13.677
64,Yes,Female,0.082,13.373
64,Yes,Female,-0.108,10.121
64,Yes,Female,0.322,10.394
64,Yes,Female,0.302,6.973
64,No,Female,-0.098,11.064
64,Yes,Female,-0.848,11.531
64,Yes,Female,-1.248,8.253
64,Yes,Female,0.122,7.142
64,Yes,Female,0.272,3.22
64,No,Female,0.582,15.784
64,Yes,Female,0.642,17.246
64,Yes,Female,0.952,9.337
64,Yes,Female,-0.258,15.555
64,Yes,Female,0.492,8.382
64,No,Female,0.992,11.621
64,Yes,Female,0.832,4.81
64,Yes,Female,-0.068,17.869
64,Yes,Female,-0.088,8.057
64,Yes,Female,0.972,11.794
64,No,Female,0.542,18.939
64,Yes,Female,0.132,20.261
64,Yes,Female,-0.008,10.066
64,No,Female,0.812,20.236
64,No,Female,1.122,4.508
64,No,Female,0.062,18.827
10,Yes,Male,0.032,-1.347
10,No,Female,-1.088,8.054
10,No,Male,0.372,15.655
10,No,Male,-0.568,11.648
10,No,Male,-0.328,11.629
10,No,Female,-0.018,18.687
10,Yes,Male,-1.208,-0.827
10,No,Male,-0.098,7.87
10,No,Male,0.942,18.115
10,No,Female,-1.408,3.792
10,No,Male,0.122,11.03
10,No,Female,0.362,7.564
10,Yes,Female,-0.708,3.465
10,No,Male,0.252,15.038
10,No,Female,0.312,10.184
10,No,Female,-0.678,2.933
10,No,Male,-0.148,8.438
10,No,Female,-0.168,7.519
10,No,Male,1.092,18.735
10,No,Female,0.232,10.19
10,No,Male,0.422,16.294
10,No,Male,1.282,10.65
10,No,Male,-0.248,10.301
10,No,Male,0.952,17.811
10,No,Female,-0.038,14.646
10,No,Female,-0.398,17.191
10,No,Male,0.162,8.69
10,No,Male,0.682,21.142
10,No,Male,-0.668,16.499
10,No,Male,-0.038,14.591
77,No,Male,0.322,16.663
77,Yes,Female,0.212,-2.155
77,Yes,Female,0.682,0.085
77,No,Female,-0.148,18.804
77,Yes,Female,-0.468,2.409
77,No,Female,0.842,16.759
77,Yes,Male,0.072,18.948
77,No,Female,0.332,10.593
77,No,Male,-0.858,15.557
77,No,Male,0.902,23.419
77,Yes,Male,1.242,0.333
77,No,Male,-0.738,-2.002
77,No,Male,0.362,24.041
77,Yes,Male,0.712,-2.657
77,No,Female,0.452,7.603
77,Yes,Male,-0.598,5.803
77,Yes,Male,-1.028,3.931
77,No,Male,-0.338,8.268
77,No,Male,-0.948,1.344
