Year  Country	Magnitude
-1300	GREECE	6
-479	GREECE	6.7
-426	GREECE	7.1
-373	GREECE	7.3
-330	GREECE	7
-227	GREECE	7.2
-57	ALBANIA	6.6
-26	CYPRUS_ISLAND	7.3
20	GEORGIA	6.5
40	BLACK_SEA	6.5
46	GREECE	6.2
50	GEORGIA	5.5
62	GREECE	6.2
66	GREECE	6.9
103	UKRAINE	7
142	GREECE	7
148	GREECE	7
365	GREECE	8
426	GREECE	7.1
447	TURKEY	7.3
542	TURKEY	6.8
543	TURKEY	6.8
543	BULGARIA	7.5
551	GREECE	7.1
551	SYRIA	7.1
554	TURKEY	7
557	TURKEY	7.5
684	JAPAN	8.4
701	JAPAN_SEA	7
704	JAPAN	7
740	TURKEY	7.3
744	JAPAN	6.4
745	JAPAN	6.5
766	JAPAN	6.5
818	JAPAN	7.9
850	JAPAN	7
863	JAPAN	7
869	JAPAN	8.6
887	JAPAN	6.6
887	JAPAN	8.6
922	JAPAN	7
1026	JAPAN	7.5
1039	TURKEY	6.8
1039	TURKEY	6.8
1088	JAPAN	7
1096	JAPAN	8.2
1222	CYPRUS_ISLAND	6.6
1241	JAPAN	7
1257	JAPAN	7.5
1257	JAPAN	7
1273	ALBANIA	6.5
1293	JAPAN	7.1
1303	GREECE	8
1304	GREECE	8
1331	JAPAN	7
1341	JAPAN	7
1341	TURKEY	6.5
1344	TURKEY	6.9
1360	JAPAN	7
1361	JAPAN	8.4
1389	GREECE	6.8
1403	JAPAN	7
1406	JAPAN	6.2
1408	JAPAN	7
1427	BLACK_SEA	7
1433	JAPAN	7.1
1448	JAPAN	7
1481	GREECE	7.1
1494	GREECE	6.8
1495	JAPAN	7.1
1498	JAPAN	6.4
1498	JAPAN	8.6
1508	GREECE	7.1
1509	TURKEY	7.7
1510	JAPAN	6.7
1510	JAPAN	7
1520	JAPAN	7
1562	CHILE	8
1570	CHILE	8.8
1575	CHILE	8.5
1586	JAPAN	7.9
1586	PERU	8.5
1589	JAPAN	6.7
1590	PERU	7.7
1596	JAPAN	6.9
1597	JAPAN	6.4
1602	JAPAN	7.2
1604	PERU	8.5
1605	JAPAN	7.9
1605	JAPAN	8.1
1606	JAPAN	6.7
1611	JAPAN	8
1614	JAPAN	7.7
1615	UKRAINE	6
1615	CHILE	7.5
1616	JAPAN	7
1616	JAPAN	7.5
1619	PERU	8.6
1619	JAPAN	6.4
1622	GREECE	6.6
1627	PHILIPPINES	8
1629	GREECE	7
1629	GREECE	7
1629	INDONESIA	7
1633	JAPAN	7
1633	GREECE	6.9
1640	JAPAN	6.5
1640	SOUTH_CHINA_SEA	5.8
1642	JAPAN	6.7
1644	JAPAN	6.9
1645	PHILIPPINES	8
1649	YELLOW_SEA	6.5
1650	GREECE	6.3
1650	UKRAINE	7
1657	CHILE	8
1661	SOUTH_CHINA_SEA	6.4
1662	JAPAN	7.6
1666	JAPAN	6.4
1667	JAPAN	6.7
1668	TURKEY	6.6
1670	YELLOW_SEA	6.7
1670	JAPAN	6.4
1672	GREECE	6.5
1674	INDONESIA	6.8
1674	INDONESIA	6
1677	JAPAN	8
1677	JAPAN	7.4
1678	PERU	8.2
1681	CHILE	7.5
1687	CHILE	7.3
1687	PERU	8.5
1688	TURKEY	7
1688	TURKEY	7
1690	WEST_INDIES	8
1692	JAMAICA	7.7
1694	JAPAN	7
1698	JAPAN	6
1700	YELLOW_SEA	6.5
1703	JAPAN	8.2
1704	JAPAN	6.9
1704	JAPAN	8.4
1707	JAPAN	8.4
1708	JAPAN	6.8
1711	INDONESIA	7
1711	JAPAN	6.7
1715	CHILE	7.5
1715	JAPAN	6.6
1725	PERU	7.8
1726	JAPAN	6.6
1730	CHILE	8.7
1732	JAPAN	6.5
1737	RUSSIA	8.3
1737	RUSSIA	7.5
1737	CHILE	8
1738	GREECE	6.5
1741	JAPAN	6.9
1741	JAPAN	6.9
1742	RUSSIA	7
1746	PERU	8
1748	GREECE	6.8
1751	JAPAN	6.6
1751	CHILE	6
1751	DOMINICAN_REPUBLIC	7.3
1754	EAST_CHINA_SEA	6
1754	INDONESIA	6.5
1754	MEXICO	7.8
1755	PORTUGAL	8
1757	INDONESIA	7.5
1757	INDONESIA	7.5
1762	JAPAN	6.6
1763	JAPAN	8
1763	JAPAN	7.8
1763	JAPAN	7.1
1765	SOUTH_CHINA_SEA	6
1766	JAPAN	6.9
1766	TURKEY	6.5
1766	VENEZUELA	7.5
1768	INDONESIA	7.5
1768	JAPAN	6.5
1769	JAPAN	7.4
1770	INDONESIA	7
1771	JAPAN	7.4
1780	RUSSIA	7.5
1782	SOUTH_CHINA_SEA	7
1782	JAPAN	7.3
1782	JAPAN	7.3
1784	MEXICO	5
1787	MEXICO	8.2
1787	MEXICO	7.2
1788	USA	8
1788	USA	8
1789	JAPAN	7.4
1791	RUSSIA	6.8
1791	RUSSIA	6.8
1791	JAPAN	6.5
1791	GREECE	7
1792	JAPAN	6.4
1792	JAPAN	6.9
1792	RUSSIA	8.4
1793	JAPAN	6.9
1793	JAPAN	8.3
1797	INDONESIA	8
1799	JAPAN	6.4
1802	ROMANIA	7.5
1802	JAPAN	6.6
1804	GREECE	6.7
1804	JAPAN	7.1
1804	JAPAN	7.1
1806	PERU	7.5
1808	JAPAN	6.5
1810	JAPAN	6.6
1811	USA	8.5
1811	USA	8
1812	USA	8.4
1812	USA	8.8
1812	USA	7
1812	USA	7.7
1815	INDONESIA	7
1817	GREECE	6.8
1818	INDONESIA	7
1818	INDONESIA	8.5
1819	CHILE	8.5
1820	MEXICO	8
1820	INDONESIA	7.5
1821	GREECE	6.5
1821	GREECE	6.5
1821	ROMANIA	6.7
1822	CHILE	8.5
1823	INDONESIA	6.8
1825	GREECE	6.8
1825	HONDURAS	6.3
1827	ECUADOR	7
1828	PERU	8.2
1828	JAPAN	6.4
1828	PHILIPPINES	7.5
1833	ALBANIA	6.4
1833	INDONESIA	8.2
1833	JAPAN	7.4
1834	JAPAN	6.4
1834	MEXICO	7
1835	CHILE	8.5
1835	CHILE	8.5
1835	JAPAN	7.6
1836	CHILE	7.5
1836	JAPAN	5.9
1836	INDONESIA	7.5
1837	MEXICO	6.5
1837	INDONESIA	7.2
1837	CHILE	8.5
1838	ROMANIA	6.9
1839	JAPAN	7.3
1840	INDONESIA	7
1840	PHILIPPINES	6.5
1840	USA	5.2
1841	RUSSIA	8.4
1841	INDONESIA	6
1842	HAITI	7.7
1843	INDONESIA	7.2
1843	INDONESIA	6
1843	GUADELOUPE	8.3
1843	JAPAN	8.4
1843	NEW_ZEALAND	7.7
1843	CROATIA	6.5
1843	GREECE	6.5
1845	INDONESIA	7
1845	MEXICO	8.5
1846	INDONESIA	7.2
1846	JAPAN	6.9
1848	NEW_ZEALAND	7.1
1848	NEW_ZEALAND	7
1849	NORTHERN_MARIANA_ISLANDS	7.5
1849	GUAM	7.5
1849	RUSSIA	7.5
1849	CHILE	6.7
1849	CHILE	7.5
1851	TURKEY	7.2
1851	CHILE	7.2
1851	ALBANIA	6.6
1852	PHILIPPINES	7.5
1852	INDONESIA	6.8
1852	INDONESIA	8.2
1852	MEXICO	7
1852	MEXICO	7
1852	INDONESIA	7
1853	VENEZUELA	6.7
1853	GREECE	7
1853	RUSSIA	7
1854	INDONESIA	6
1854	RUSSIA	7
1854	RUSSIA	7
1854	COSTA_RICA	7.2
1854	COSTA_RICA	7.2
1854	JAPAN	8.3
1854	JAPAN	8.4
1855	NEW_ZEALAND	8
1855	USA	6
1855	USA	6.3
1855	JAPAN	7
1855	JAPAN	7
1856	USA	5.5
1856	HONDURAS	7.5
1856	JAPAN	7.8
1856	GREECE	8.3
1856	GREECE	6.6
1856	INDONESIA	6.6
1856	USA	6.6
1857	PAPUA_NEW_GUINEA	8
1857	INDONESIA	7
1857	JAPAN	6.4
1858	CHILE	6.5
1858	INDONESIA	7.4
1859	INDONESIA	7
1859	INDONESIA	7.2
1859	GUATEMALA	6.2
1859	INDONESIA	6.7
1859	CHILE	7.7
1859	GUATEMALA	7
1860	DOMINICAN_REPUBLIC	7.5
1861	INDONESIA	8.5
1861	INDONESIA	7
1861	INDONESIA	7
1861	INDONESIA	6.8
1861	INDONESIA	6.5
1861	JAPAN	7.4
1861	JAPAN	7.4
1861	GREECE	7.3
1862	USA	5.8
1863	PHILIPPINES	6.5
1863	VANUATU	7.5
1863	JAPAN	6.4
1864	INDONESIA	7.8
1865	USA	7
1865	PHILIPPINES	6
1865	TONGA	8
1866	ALBANIA	6.5
1866	GREECE	6
1866	GREECE	7.8
1866	ALBANIA	6.3
1866	GREECE	6
1867	GREECE	7.1
1867	USA	7.5
1867	EAST_CHINA_SEA	7
1868	USA	7.5
1868	CHILE	8.5
1868	CHILE	8.5
1868	CHILE	8.5
1868	ECUADOR	7.7
1868	USA	6.8
1869	PHILIPPINES	7
1869	PERU	6.5
1869	CHILE	6.8
1869	PERU	7.5
1869	CHILE	6.8
1869	UKRAINE	6
1869	GREECE	6.9
1871	USA	7
1871	CHILE	7.5
1871	PERU	7
1871	CHILE	7.5
1872	PERU	6.5
1872	SOUTH_CHINA_SEA	6
1872	JAPAN	7
1872	USA	7.8
1872	USA	3.7
1873	PAPUA_NEW_GUINEA	8
1873	USA	6.7
1873	PAPUA_NEW_GUINEA	8
1875	MEXICO	6.5
1875	VANUATU	8
1875	VANUATU	7
1875	UKRAINE	5.5
1876	INDONESIA	6.8
1877	CHILE	8
1877	CHILE	8.5
1877	CHILE	8.3
1877	CHILE	7.9
1878	VANUATU	7.5
1878	CHILE	7.9
1878	VANUATU	8
1880	PHILIPPINES	7.5
1880	CHILE	7.7
1880	USA	6.3
1880	USA	6.3
1881	FIJI	7
1881	RUSSIA	7
1882	COSTA_RICA	8
1882	INDONESIA	7.5
1882	SOUTH_CHINA_SEA	6.2
1884	USA	5.6
1885	INDONESIA	7.2
1885	INDONESIA	6.8
1886	GREECE	7.5
1887	MEXICO	8
1889	PHILIPPINES	6.8
1889	PHILIPPINES	6.8
1889	INDONESIA	8
1889	INDONESIA	6
1891	TIMOR_SEA	7
1892	GUAM	7.5
1892	MALAYSIA	7.5
1892	INDONESIA	7
1892	JAPAN	6.5
1893	GREECE	6.5
1893	RUSSIA	7
1893	JAPAN	6.9
1894	JAPAN	7.9
1894	GREECE	7
1894	TURKEY	6.7
1894	JAPAN	7
1894	USA	7.1
1895	SOLOMON_SEA	7.5
1895	JAPAN	6.8
1895	USA	6.7
1896	JAPAN	7.6
1896	JAPAN	7.6
1896	INDONESIA	6.8
1897	JAPAN	7.4
1897	INDONESIA	5.5
1897	MEXICO	7
1897	JAPAN	7.7
1897	CELEBES_SEA	8.5
1897	PHILIPPINES	8.6
1898	USA	6.2
1898	JAPAN	7.8
1898	CHILE	6.5
1899	GREECE	6.6
1899	USA	8.3
1899	USA	8.2
1899	USA	8.9
1899	USA	8
1899	INDONESIA	7.5
1899	INDONESIA	7.8
1899	MELANESIA	7.5
1899	JAPAN	7.2
