sampling,dry_density
Pitcher.sampling,101.1
Block.sampling,107.1
Pitcher.sampling,111.1
Block.sampling,105
Pitcher.sampling,107.6
Block.sampling,98
Pitcher.sampling,98.1
Block.sampling,97.9
Pitcher.sampling,99.5
Block.sampling,103.3
Pitcher.sampling,98.7
Block.sampling,104.6
Pitcher.sampling,103.3
Block.sampling,100.1
Pitcher.sampling,108.9
Block.sampling,98.2
Pitcher.sampling,109.1
Block.sampling,97.9
Pitcher.sampling,104.1
Block.sampling,103.2
Pitcher.sampling,110
Block.sampling,96.9
Pitcher.sampling,98.4
Pitcher.sampling,105.1
Pitcher.sampling,104.5
Pitcher.sampling,105.7
Pitcher.sampling,103.3
Pitcher.sampling,100.3
Pitcher.sampling,102.6
Pitcher.sampling,101.7
Pitcher.sampling,105.4
Pitcher.sampling,99.6
Pitcher.sampling,103.3
Pitcher.sampling,102.1
Pitcher.sampling,104.3
