lead         elevation   slopeface
    3.475      2000         W
    3.359      2000         W
    3.877      2000         W
        4      2500         W
    3.618      2500         W
    2.644      2500         W
    4.575      3000         W
      8.6      3000         W
    6.952      3000         E
    4.349      3000         E
      7.1      3000         E
    2.917      2500         E
     3.82      2500         E
    5.901      2500         E
    6.504      2000         E
    4.973      2000         E
    8.279      2000         E
    7.627      2000         W
    5.935      2000         W
    6.409      2000         W
    5.288      2500         W
   10.741      2500         W
     6.06      2500         W
   16.135      3000         W
   21.288      3000         W
   22.836      3000         W
    9.193      3000         E
    4.599      3000         E
    9.962      3000         E
    9.287      2500         E
   29.134      2500         E
   10.592      2500         E
    6.593      2000         E
    2.729      2000         E
    5.989      2000         E
    4.559      2000         W
   24.382      2000         W
    6.309      2000         W
    5.855      2500         W
    3.246      2500         W
    4.927      2500         W
        3      3000         W
     4.22      3000         W
    3.029      3000         W
     4.53      3000         E
    3.088      3000         E
    9.544      3000         E
   11.618      2500         E
    7.692      2500         E
    6.877      2500         E
    7.409      2000         E
     3.38      2000         E
    3.562      2000         E
    5.761      2000         W
     4.31      2000         W
    5.964      2000         W
    5.201      2500         W
    5.245      2500         W
    6.171      2500         W
    3.752      3000         W
    3.216      3000         W
    5.209      3000         W
    2.631      3000         E
    4.194      3000         E
    5.504      3000         E
    5.413      2500         E
    7.181      2500         E
    6.589      2500         E
    6.182      2000         E
    3.706      2000         E
