area,cost
Rural,5223
Rural,5782
Rural,8892
Rural,7405
Rural,8460
Rural,4353
Rural,9296
Rural,5227
Rural,6535
Rural,10238
Rural,4346
Rural,4973
Rural,11191
Rural,5225
Rural,4027
Rural,6538
Regional,7455
Regional,4142
Regional,6278
Regional,9158
Regional,7733
Regional,4288
Regional,7054
Regional,8308
Regional,11391
Regional,3339
Regional,6801
Regional,3835
Regional,7224
Regional,5445
Regional,5841
Metropol,5807
Metropol,6943
Metropol,4925
Metropol,4556
Metropol,2696
Metropol,6177
Metropol,5477
Metropol,5656
Metropol,5621
Metropol,4324
Metropol,5493
Metropol,6306
Metropol,5073
Metropol,8435
Metropol,5450
