date,time,no,no2,pm10,co2,temp,humi
2013-01-01,01:00,6,31,182,776,21.5,46.2
2013-01-01,02:00,6,30,166,800,21.6,47.3
2013-01-01,03:00,4,27,124,799,21.8,47
2013-01-01,04:00,3,25,85,715,21.6,45.8
2013-01-01,05:00,4,26,102,622,21.2,45.9
2013-01-01,06:00,3,26,146,563,20.9,46
2013-01-01,07:00,7,30,134,538,20.9,45.4
2013-01-01,08:00,7,30,144,523,21,45.4
2013-01-01,09:00,7,31,128,517,20.9,45.2
2013-01-01,10:00,7,34,116,535,20.7,43.8
2013-01-01,11:00,12,36,117,581,20.6,43
2013-01-01,12:00,13,37,128,636,20.7,41
2013-01-01,13:00,10,36,160,645,20.9,38.8
2013-01-01,14:00,16,41,164,653,21,36.6
2013-01-01,15:00,19,44,159,674,21.1,35.5
2013-01-01,16:00,25,50,183,729,21.1,35.8
2013-01-01,17:00,38,56,190,761,21.2,36.4
2013-01-01,18:00,52,60,180,765,21.3,37.9
2013-01-01,19:00,41,62,180,689,21,38
2013-01-01,20:00,38,57,166,633,21.1,36.9
2013-01-01,21:00,19,53,157,591,20.7,36.4
2013-01-01,22:00,18,53,140,568,20.4,36.4
2013-01-01,23:00,13,50,144,539,20.1,36.7
2013-01-02,00:00,10,43,126,515,20,36.3
2013-01-02,01:00,5,36,98,478,19.6,36.5
2013-01-02,02:00,3,30,19,468,19.8,36.7
2013-01-02,03:00,2,27,9,465,19.4,37.2
2013-01-02,04:00,2,28,6,461,18.7,37.4
2013-01-02,05:00,5,33,11,466,18.8,37
2013-01-02,06:00,19,44,89,492,19.1,36.7
2013-01-02,07:00,74,60,161,535,19.3,37
2013-01-02,08:00,111,64,189,614,19.7,37.2
2013-01-02,09:00,107,60,225,667,19.9,38
2013-01-02,10:00,105,55,219,650,20.2,38
2013-01-02,11:00,76,53,232,692,20.4,38.5
2013-01-02,12:00,73,52,213,713,20.6,38.6
2013-01-02,13:00,52,50,229,712,20.8,38.7
2013-01-02,14:00,53,53,227,760,21.1,38.2
2013-01-02,15:00,53,53,224,797,21.2,38.9
2013-01-02,16:00,58,57,200,851,21.4,39
2013-01-02,17:00,93,57,229,880,21.4,40.3
2013-01-02,18:00,70,53,245,940,21.7,39.9
2013-01-02,19:00,56,47,247,802,21.6,40
2013-01-02,20:00,41,46,182,683,21.1,39.8
2013-01-02,21:00,29,48,180,618,20.9,39
2013-01-02,22:00,14,42,189,570,20.9,39.2
2013-01-02,23:00,15,39,185,554,20.7,41.7
2013-01-03,00:00,8,38,153,520,20.4,43.1
2013-01-03,01:00,3,32,109,461,20.1,44.4
2013-01-03,02:00,2,28,32,448,19.9,45.5
2013-01-03,03:00,2,25,23,445,19.8,46.3
2013-01-03,04:00,2,24,18,441,19.4,47.6
2013-01-03,05:00,4,27,9,450,19.4,48.2
2013-01-03,06:00,12,33,89,482,19.6,48.6
2013-01-03,07:00,43,44,144,533,20.1,48.5
2013-01-03,08:00,87,47,205,629,20.4,49.7
2013-01-03,09:00,121,46,253,686,20.7,50.1
2013-01-03,10:00,95,45,296,670,20.9,50.7
2013-01-03,11:00,82,44,216,697,21.1,50.9
2013-01-03,12:00,71,45,182,703,21.3,51
2013-01-03,13:00,55,46,178,698,21.3,50.9
2013-01-03,14:00,69,50,184,763,21.5,50.9
2013-01-03,15:00,55,45,194,813,21.7,51
2013-01-03,16:00,77,48,207,850,21.9,51
2013-01-03,17:00,84,48,220,919,22,51.2
2013-01-03,18:00,51,47,184,919,22.1,50.3
2013-01-03,19:00,47,50,124,883,22.2,49.3
2013-01-03,20:00,27,50,94,693,21.8,47.8
2013-01-03,21:00,11,43,83,630,21.7,46.1
2013-01-03,22:00,11,43,83,583,21.4,46.4
2013-01-03,23:00,6,36,70,559,21.1,46.8
2013-01-04,00:00,3,32,58,535,21,45.5
2013-01-04,01:00,2,32,31,469,20.2,46.8
