item,repl,CO,pulse
1,3,77.2,73
2,3,68.3,68
3,3,80.7,77
4,3,67.5,77
5,3,76.3,68
6,3,77.3,78
7,3,88,82
8,3,85.3,77
9,3,72.1,71
10,3,50.6,78
11,3,92.5,88
12,3,32.1,36
13,3,86.8,75
14,3,66.6,76
15,3,82.3,77
16,3,82.7,75
18,3,79,75
19,3,74,71
21,3,93.4,88
22,3,69,65
23,3,79.5,79
24,3,86,80
26,3,79.2,76
27,3,72.8,67
28,3,66.5,71
29,3,76.7,71
30,3,83.2,74
31,3,44.9,61
32,3,81.7,76
33,3,81.1,82
34,3,85.4,80
35,3,81.1,71
36,3,88.2,70
37,3,75,68
38,3,80.7,82
40,3,71.1,64
41,3,78.2,71
42,3,67.5,71
43,3,52.1,57
44,3,58.6,61
45,3,81,75
46,3,81.3,76
47,3,79.4,77
48,3,72.8,82
49,3,87.4,77
51,3,59.5,48
52,3,79.3,75
53,3,67.5,70
54,3,76.4,77
55,3,85.7,88
56,3,87.4,84
57,3,80.8,82
58,3,91.3,89
59,3,91.6,91
60,3,84.7,80
61,3,74.3,68
