 location       Appleton  Beloit  Fort.Atkinson  Madison  Marshfield  Milwaukee  Monroe  Superior  Wausau  Dubuque  St.Paul  Chicago
 Appleton              0     130             98  102      103         100        149     315       91      196      257       186
 Beloit              130       0             33  50       185         73         33      377       186     94       304       97
 Fort.Atkinson        98      33              0  36       164         54         58      359       166     119      287       113
 Madison             102      50             36  0        138         77         47      330       139     95       258       146
 Marshfield          103     185            164  138      0           184        170     219       45      186      161       276
 Milwaukee           100      73             54  77       184         0          107     394       181     168      322       92
 Monroe              149      33             58  47       170         107        0       362       186     61       289       130
 Superior            315     377            359  330      219         394        362     0         223     351      162       467
 Wausau               91     186            166  139      45          181        186     223       0       215      175       275
 Dubuque             196      94            119  95       186         168        61      351       215     0        274       184
 St.Paul             257     304            287  258      161         322        289     162       175     274      0         395
 Chicago             186      97            113  146      276         93         130     467       275     184      395       0
