Product,Preference,Sweetness,Bitter,Crisp
Bolero_E,4.669902912621359,3.176470588235294,2.5533980582524274,3.52
Bolero_L,5.339805825242719,4.349514563106796,2.029126213592233,3.883495145631068
Major_E,4.300970873786408,2.6601941747572817,2.436893203883495,2.6699029126213594
Major_L,4.7254901960784315,3.1844660194174756,2.5533980582524274,3.233009708737864
Navar_E,4.669902912621359,3.058252427184466,2.320388349514563,3.1067961165048543
Navar_L,5.038834951456311,3.7766990291262137,2.349514563106796,3.8446601941747574
Nelson_E,5.01980198019802,3.3398058252427183,1.9611650485436893,3.6310679611650487
Nelson_L,4.980582524271845,3.6893203883495147,2.378640776699029,3.9320388349514563
Turbo_E,4.271844660194175,2.950980392156863,2.2718446601941746,2.8155339805825244
Turbo_L,4.786407766990291,3.4901960784313726,2.4271844660194173,3.2135922330097086
Yukon_E,4.572815533980583,3,2.1553398058252426,3.174757281553398
Yukon_L,5.223300970873787,4.116504854368932,2.2233009708737863,3.6699029126213594
