year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1697,21.8,10.9,16.5,45.7,19.6,30,37.6,85.1,63.5,51.1,34.3,56.6
1698,66.5,7.9,56.9,49,73.4,53.3,103.9,42.7,73.7,79.8,102.4,35.8
1699,54.1,36.8,34.3,20.8,16.5,26.7,40.4,52.3,49,81.8,11.9,35.6
1700,23.9,46.7,9.4,46.5,42.2,46.5,25.9,49.5,89.9,104.1,32,62.7
1701,90.9,53.6,23.9,8.9,55.6,35.3,57.7,39.9,34.3,62.2,50,56.9
1702,59.7,44.4,14.5,66.3,39.4,82.3,26.7,41.9,49,48,85.1,62.7
1703,54.1,39.1,29,76.2,126,88.6,90.9,20.6,90.7,58.2,44.2,13
1704,24.6,13.5,97.5,28.7,13.5,40.1,39.1,19,45.2,24.6,54.4,80.8
1705,6.6,33.5,33.8,31.2,12.4,20.1,33.8,65.8,12.4,97.8,35.6,132.3
1706,65.8,47.2,45,56.1,56.1,53.3,75.4,68.8,61.5,69.3,77.5,63.5
1707,28.7,16.5,15,22.1,32,40.6,38.6,66,87.6,39.9,35.8,73.7
1708,87.1,14,61.5,29.2,61.2,70.4,33.5,89.4,44.2,6.9,26.2,59.4
1709,71.9,51.6,49.5,61.2,61.2,58.2,82.8,75.2,67.3,75.9,84.3,69.3
1710,49.8,35.8,34.3,42.4,42.4,40.4,56.9,51.8,46.5,52.6,58.4,48
1711,63.8,46,43.9,54.6,54.6,51.6,73.4,66.8,59.7,67.6,74.9,62
1712,64.5,46.5,44.2,55.1,55.1,52.3,73.9,67.3,59.9,67.8,74.7,62.2
1713,116.1,96.8,19,46.7,57.7,77.5,109.5,38.9,15.5,46.7,38.9,42.2
1714,10.7,32,36.3,34.5,17,30,38.1,34.5,34.5,28.2,21.3,23.6
1715,26.4,18.8,76.5,80.3,28.7,99.3,121.7,124.2,55.9,85.9,52.1,15.5
1716,52.6,10.4,11.9,30.5,57.7,50.3,27.2,12.7,59.9,96.5,26.9,43.7
1717,25.1,39.1,72.6,53.1,36.3,44.7,55.9,58.7,55.9,55.9,111.5,30.7
1718,50.3,25.1,50.3,53.1,44.7,50.3,33.5,16.8,44.7,75.4,103.1,83.8
1719,22.4,41.9,50.3,30.7,33.5,53.1,25.1,80.8,27.9,47.5,55.9,25.1
1720,11.2,75.4,53.1,53.1,61.5,47.5,111.8,66.8,53.1,83.8,55.9,47.5
1721,41.9,25.1,27.9,83.8,36.3,78.2,47.5,44.7,78.2,69.8,97.5,30.7
1722,16.8,22.4,55.9,27.9,50.3,39.1,111.5,64.3,11.2,50.3,50.3,25.1
1723,30.7,50.3,14,27.9,22.4,27.9,83.6,8.4,22.4,36.3,33.5,50.3
1724,83.6,27.9,50.3,27.9,33.5,55.9,83.8,61.5,53.1,33.5,36.3,39.1
1725,18.3,2.8,10.7,55.4,77.5,113.8,21.1,75.7,74.7,34.5,32.8,46.2
1726,110,18,40.9,19,50,95.2,117.6,2.3,138.9,27.4,36.8,101.3
1727,67.6,57.9,58.9,15,107.9,80,22.4,2,49,48.3,11.2,72.1
1728,86.6,17.8,69.8,97.3,45.5,129.3,129.3,47,47.2,64.3,60.7,28.2
1729,20.8,22.1,31.7,45,42.4,33.8,29.2,85.3,98.3,39.9,68.3,54.6
1730,12.7,34.5,100.8,18.8,49,105.4,67.1,0.5,58.9,69.1,43.9,42.2
1731,12.7,27.7,5.3,39.1,9.7,72.9,59.7,40.1,16.8,40.4,42.4,51.6
1732,16.8,65.5,37.1,63.2,104.9,29,41.9,37.8,30.5,89.4,38.6,49.8
1733,21.1,35.6,66,52.3,17,81.5,47.2,99.3,42.2,27.9,16,74.9
1734,29.7,56.9,52.8,13.2,123.4,94.7,32.8,52.1,29.5,62,52.3,126.2
1735,70.6,53.1,67.1,34.8,61,62.2,93.7,44.4,46.7,29.2,80.5,45
1736,89.9,65.5,52.6,17,35.1,69.1,33,48.3,36.6,79.8,24.1,88.4
1737,14.5,72.1,78.2,25.7,41.4,39.9,23.6,132.6,116.1,73.2,21.8,35.6
1738,40.6,25.1,69.1,46,34.5,92.7,31.2,53.3,68.3,100.3,57.7,49
1739,96.5,102.6,38.1,91.4,61.5,48.3,67.1,64.3,84.3,18.5,81.5,52.6
1740,3,7.6,23.6,53.8,30.7,26.2,38.9,65,48,18,77.2,97
1741,23.4,29.5,12.4,14,81.5,46.5,45,35.1,72.9,70.1,60.2,30.7
1742,63.8,33.3,2.5,39.1,38.1,52.8,49.8,2.5,61.7,53.1,70.9,17
1743,20.6,19.8,46.2,54.6,26.4,22.6,71.6,42.9,3.3,46.2,29,41.4
1744,13,40.6,39.4,111.8,13.5,43.4,23.9,51.3,86.9,169.9,42.4,13.5
1745,14.7,13.7,71.6,61.5,26.9,106.9,34.3,71.4,29.7,79.8,68.3,58.2
1746,63,60.5,49,35.8,42.4,94.5,47.2,20.6,42.7,43.4,40.6,47.2
1747,62.7,61.5,29.7,28.7,15.2,91.4,33,8.9,63,18.8,46.7,169.4
1748,14.2,27.2,63.2,63.8,23.1,57.1,23.4,44.2,26.4,38.4,15,115.8
1749,136.7,33,44.4,36.6,27.7,37.6,27.7,20.3,56.1,58.9,6.9,43.4
1750,64.5,58.7,26.7,69.1,35.3,30.2,51.8,21.6,45,52.6,84.8,72.1
1751,74.4,35.6,87.6,54.6,59.2,42.2,94.2,38.9,67.1,41.9,103.6,52.8
1752,49.5,51.1,31.2,25.1,45.5,55.6,59.7,38.6,32,9.4,31.5,63.8
1753,55.6,48,33,58.4,38.4,20.6,35.8,64.8,15.2,30.5,62,59.7
1754,58.4,37.8,51.8,27.2,30.2,53.1,36.8,71.4,1.8,56.6,67.6,109.7
1755,28.4,17.5,33,68.8,47.5,45.7,55.9,78,50.8,40.1,189,79.8
1756,56.1,47.5,64.3,97.5,12.4,61.5,53.6,97.8,30.5,79.2,33.3,49
1757,70.9,23.1,41.7,68.3,30.7,6.3,45.2,89.9,31.2,37.8,54.4,53.6
1758,44.7,58.4,40.1,27.7,31,48.3,129.8,85.1,30,36.6,58.2,40.6
1759,36.8,17.5,59.9,40.6,28.2,74.2,24.9,43.7,33.5,67.8,29.5,49.5
1760,55.6,73.7,14.2,6.6,30.2,63.8,50.5,58.2,73.4,81.5,37.3,49.5
1761,8.1,38.6,17.8,17.8,78.7,65.5,16.8,83.1,71.6,67.1,48.8,62.2
1762,62.5,33,52.1,6.9,12.4,42.2,21.1,85.1,47.2,140.7,42.7,2.8
1763,7.4,120.4,35.1,29.5,24.9,32.3,77.7,54.9,58.4,40.9,73.7,101.1
1764,117.6,49.5,24.9,44.2,35.6,30.2,69.8,83.6,33,41.1,44.4,60.7
1765,61.5,46.7,90.7,57.9,34.3,25.1,13,51.6,30.2,118.1,55.9,23.6
1766,3.3,61.7,62.7,35.8,88.6,75.9,143,23.4,11.9,60.7,26.9,44.2
